Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Greenway, AR",,retail,452319,Family Dollar,,,,36.0521382,-90.488966,,,n_1371000939,"shop=variety_store, brand=Family Dollar"
"Greenway, AR",,retail,445310,,"Marmaduke, 72443",,,36.1858385,-90.3833876,,,n_1570019036,"shop=alcohol, amenity=waste_basket"
"Greenway, AR",,retail,445120,Quick Stop,,,,36.1862668,-90.3844772,,,n_5646073262,shop=convenience
"Greenway, AR",,retail,445110,Walmart Supercenter,"1500 1st Street, Kennett, MO, 63857",+1 573-888-2084,https://www.walmart.com/store/190-kennett-mo,36.2388629,-90.0377099,,,w_205518992,"shop=supermarket, brand=Walmart, operator=Walmart"
"Greenway, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/rector/3829,36.258504,-90.2930952,,,w_393515674,"shop=variety_store, brand=Dollar General"
"Greenway, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/marmaduke/12181,36.1841414,-90.3855701,,,w_591305007,"shop=variety_store, brand=Dollar General"
"Greenway, AR",,retail,452210,Walmart,"1007 North Douglass Street, Malden, MO, 63863",+1 573-276-5735,https://www.walmart.com/store/453-malden-mo,36.5704129,-89.972365,,,w_669537701,"shop=department_store, brand=Walmart, operator=Walmart"
"Greenway, AR",,retail,445120,Casey's General Store,,,,36.2360015,-90.068964,,,w_856530862,"shop=convenience, brand=Casey's General Store"
"Greenway, AR",,retail,445120,Quick Stop 2,,,,35.9961143,-90.3432428,,,w_1184671409,shop=convenience
"Greenway, AR",,retail,445120,Mr. T's Express,"525 State Highway F, Cardwell, MO, 63829",,,35.9962881,-90.3425469,,,w_1184671413,shop=convenience
"Greenway, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/19979,36.0532053,-90.4595909,,,w_1203052403,"shop=variety_store, brand=Dollar General"
"Greenway, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/764,36.054208,-90.4879292,,,w_1203052404,"shop=variety_store, brand=Dollar General"
"Greenway, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/17203,36.070328,-90.5002888,,,w_1203052435,"shop=variety_store, brand=Dollar General"
"Greenway, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/12258,36.1130164,-90.5081542,,,w_1203412397,"shop=variety_store, brand=Dollar General"
"Greenway, AR",,retail,445110,Harps Food,,,,36.2583143,-90.2831163,,,w_1203412400,shop=supermarket
"Greenway, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/corning/1061,36.4130313,-90.5853332,,,w_1204086333,"shop=variety_store, brand=Dollar General"
"Greenway, AR",,retail,445110,Hays Supermarket,"402 East Kings Highway, Paragould, AR",,,36.0518361,-90.4820006,,,w_1383519541,shop=supermarket
"Greenway, AR",,retail,445120,Huck's Food & Fuel,"Saint Francis Street, Kennett, MO, 63857",,,36.2369795,-90.0625565,,,w_1390850650,"shop=convenience, brand=Huck's Food & Fuel"
