Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Guion, AR",,retail,445120,Snappy Mart,,,,36.2190308,-91.7564946,,,n_11118415971,shop=convenience
"Guion, AR",,retail,445120,Snappy Mart,,,,36.1486664,-92.1201235,,,n_11164370010,shop=convenience
"Guion, AR",,retail,452319,Dollar General,,,,35.8682745,-92.3077912,,,n_12450128212,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,453991,Tobacco Haven,,,,35.9443502,-91.5491924,,,n_12752973732,shop=tobacco
"Guion, AR",,retail,445120,Casey's General Store,,,,35.9408888,-91.5487735,,,n_12752973737,"shop=convenience, brand=Casey's General Store"
"Guion, AR",,retail,445210,Superior,,8702012375,,35.9358521,-91.5479008,,,n_12754619308,shop=butcher
"Guion, AR",,retail,445110,Walmart Supercenter,"409 Sylamore Avenue, Mountain View, AR, 72560",+1 870-269-4395,https://www.walmart.com/store/1114-mountain-view-ar,35.867208,-92.101783,,,w_480261193,"shop=supermarket, brand=Walmart, operator=Walmart"
"Guion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/drasco/11801,35.6337597,-91.946524,,,w_555383095,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,445110,Walmart Supercenter,"3150 Harrison Street, Batesville, AR, 72501",+1 870-793-9004,https://www.walmart.com/store/119-batesville-ar,35.7626457,-91.614053,,,w_563136675,"shop=supermarket, brand=Walmart, operator=Walmart"
"Guion, AR",,retail,445120,,,,,35.7619304,-91.6399252,,,w_564804864,shop=convenience
"Guion, AR",,retail,445110,Kroger,"303 South Saint Louis Street, Batesville, AR, 72501",+1 870-793-2143,https://www.kroger.com/stores/grocery/ar/batesville/batesville-ar/025/00687,35.7761271,-91.6396812,,,w_564804878,"shop=supermarket, brand=Kroger"
"Guion, AR",,retail,446110,Walgreens,"1045 South Saint Louis Street, Batesville, AR, 72501",+1-870-307-0262,https://www.walgreens.com/locator/walgreens-1045+s+saint+louis+st-batesville-ar-72501/id=12417,35.7691245,-91.640463,,,w_565125776,"shop=chemist, brand=Walgreens"
"Guion, AR",,retail,445120,Littlefield Express,"1509 South Saint Louis Street, Batesville, AR, 72501",+1-870-793-4316,,35.7642586,-91.640676,,,w_565864186,shop=convenience
"Guion, AR",,retail,445110,El Guero Mexican Store,"1009 Chaney Drive, Batesville, AR, 72501",+1-870-793-2130,,35.7649994,-91.6406466,,,w_565864189,shop=supermarket
"Guion, AR",,retail,452319,Dollar General,"858 North Central Avenue, Batesville, AR, 72501",,https://www.dollargeneral.com/store-directory/ar/batesville/765,35.7761635,-91.6589839,,,w_639129359,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,446110,Mitchell's Main Street Pharmacy,,,,35.8678656,-92.1153661,,,w_1057054926,shop=chemist
"Guion, AR",,retail,452319,Music and More General Store,,,,35.8816633,-92.1157537,,,w_1057419703,shop=general
"Guion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/cushman/21043,35.8655496,-91.7534955,,,w_1198567221,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/horseshoe-bend/7725,36.2208324,-91.757625,,,w_1198567228,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/batesville/16909,35.8205386,-91.5940798,,,w_1203422437,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/concord/23034,35.6629503,-91.8501763,,,w_1203422440,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/batesville/14497,35.7003442,-91.6242893,,,w_1204486475,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,452319,Dollar General,"333 North Main Street, Cave City, AR, 72521",,https://www.dollargeneral.com/store-directory/ar/cave-city/4309,35.9452748,-91.5496842,,,w_1204486488,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/mountain-view/2633,35.8601488,-92.0915067,,,w_1204577958,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/calico-rock/11552,36.1438761,-92.122881,,,w_1204577962,"shop=variety_store, brand=Dollar General"
"Guion, AR",,retail,445110,Aldi,,,,35.8633131,-92.1046788,,,w_1336010047,shop=supermarket
"Guion, AR",,retail,445110,Hometown Market,"111 North Main Street, Cave City, AR, 72521",+1-870-283-5187,https://cavecity.millershometownmarket.com/,35.9423318,-91.5493166,,,w_1373667051,shop=supermarket
"Guion, AR",,retail,445110,Harps,"1740 Batesville Boulevard, Batesville, AR, 72501",,,35.7073872,-91.6311029,,,w_1415438794,"shop=supermarket, brand=Harps"
