Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Holly Grove, AR",,retail,445310,The Liquor Store,,,,34.9039797,-91.1983524,,,n_1239627394,shop=alcohol
"Holly Grove, AR",,retail,445120,E-Z Mart,,,,34.6924189,-91.3097312,,,n_10221430618,shop=convenience
"Holly Grove, AR",,retail,445120,Double Quick,,,,34.5556121,-90.7689174,,,n_10866524869,shop=convenience
"Holly Grove, AR",,retail,445110,Az Mart,,,,34.5591816,-90.9098579,,,n_10866526204,shop=supermarket
"Holly Grove, AR",,retail,452210,Belk,,,,34.4803195,-91.5592472,,,n_11138927263,"shop=department_store, brand=Belk"
"Holly Grove, AR",,retail,445110,Foot Gigant,,,,34.4785139,-91.5522367,,,n_11138927268,shop=supermarket
"Holly Grove, AR",,retail,445120,,,,,34.9130725,-91.1944521,,,n_11159138277,shop=convenience
"Holly Grove, AR",,retail,445120,Martins Grocery & Deli,,,,34.8183084,-91.4061284,,,w_1068024776,shop=convenience
"Holly Grove, AR",,retail,445120,Superstop,"1201 North Main Street, Brinkley, AR, 72021",+1-870-589-2021,,34.9030681,-91.1978707,,,w_1126855361,shop=convenience
"Holly Grove, AR",,retail,445120,,"1414 North Main Street, Brinkley, AR, 72021",,,34.9057427,-91.1973134,,,w_1126855370,shop=convenience
"Holly Grove, AR",,retail,445120,Victory Fuels,"1415 North Main Street, Brinkley, AR, 72021",+1-870-734-1124,,34.9059449,-91.1984173,,,w_1126855372,shop=convenience
"Holly Grove, AR",,retail,452319,Dollar General,"914 North Main Street, Brinkley, AR, 72021",+1-479-668-3157,https://www.dollargeneral.com/store-directory/ar/brinkley/216,34.899384,-91.1937237,,,w_1127496037,"shop=variety_store, brand=Dollar General"
"Holly Grove, AR",,retail,445120,Pumps Food Mart,"714 South Main Street, Brinkley, AR, 72021",+1-870-734-2220,,34.8781071,-91.1950018,,,w_1128177183,shop=convenience
"Holly Grove, AR",,retail,445120,K-Stop & Foodmart,"128 South Main Street, Brinkley, AR, 72021",+1-870-589-2750,,34.8861404,-91.1949712,,,w_1128390184,shop=convenience
"Holly Grove, AR",,retail,445120,Flash Market,"1920 North Main Street, Brinkley, AR, 72021",+1-870-734-3120,,34.9118732,-91.1954291,,,w_1130257133,shop=convenience
"Holly Grove, AR",,retail,445120,One9 Fuel Stop,"2101 US 49, Brinkley, AR, 72021",+1-870-638-4135,https://locations.pilotflyingj.com/us/ar/brinkley/2101-highway-49,34.9125923,-91.1962238,,,w_1130257137,shop=convenience
"Holly Grove, AR",,retail,453991,Henard 1 Stop Tobacco Shop,"1215 North Main Street, Brinkley, AR, 72021",+1-870-734-2378,,34.9034724,-91.1982136,,,w_1130844234,shop=tobacco
"Holly Grove, AR",,retail,445110,Edwards Food Giant,"1413 Pinecrest Street, Brinkley, AR, 72021",+1-870-589-2369,,34.9055537,-91.2005916,,,w_1136125178,shop=supermarket
"Holly Grove, AR",,retail,452319,Family Dollar,"1421 Pinecrest Street, Brinkley, AR, 72021",+1-870-527-6231,,34.90628,-91.2005828,,,w_1136125182,"shop=variety_store, brand=Family Dollar"
"Holly Grove, AR",,retail,452319,Dollar Tree,"1421 Pinecrest Street, Brinkley, AR, 72021",+1-870-527-6231,,34.9065703,-91.2005813,,,w_1136125183,"shop=variety_store, brand=Dollar Tree"
"Holly Grove, AR",,retail,445110,Walmart Supercenter,"406 East 22nd Street, Stuttgart, AR, 72160",+1 870-673-3349,https://www.walmart.com/store/102-stuttgart-ar,34.4770476,-91.5490773,,,w_1201431066,"shop=supermarket, brand=Walmart"
"Holly Grove, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/marvell/1320,34.5578103,-90.907645,,,w_1201478537,"shop=variety_store, brand=Dollar General"
"Holly Grove, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/clarendon/3557,34.6929487,-91.3050487,,,w_1201478547,"shop=variety_store, brand=Dollar General"
"Holly Grove, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/de-valls-bluff/20703,34.7823232,-91.4579809,,,w_1201524743,"shop=variety_store, brand=Dollar General"
"Holly Grove, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/hazen/3958,34.7862944,-91.5665408,,,w_1201524749,"shop=variety_store, brand=Dollar General"
"Holly Grove, AR",,retail,452319,Family Dollar,,,,34.7820125,-91.568285,,,w_1201524751,"shop=variety_store, brand=Family Dollar"
"Holly Grove, AR",,retail,452319,Family Dollar,,,,34.5599064,-90.9137306,,,w_1300109867,"shop=variety_store, brand=Family Dollar"
"Holly Grove, AR",,retail,445120,Double Quick,,,,34.5593456,-90.9105919,,,w_1300109869,shop=convenience
"Holly Grove, AR",,retail,445120,,,,,34.5608489,-90.9134289,,,w_1300109871,shop=convenience
