Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Horseshoe Lake, AR",,retail,452319,Family Dollar,,,,35.2091828,-90.2033703,,,n_1239655076,"shop=variety_store, brand=Family Dollar"
"Horseshoe Lake, AR",,retail,445120,Murphy's USA,,,,34.9630631,-89.8842357,,,n_1966288851,shop=convenience
"Horseshoe Lake, AR",,retail,452319,Family Dollar,,,,35.1511747,-89.9795944,,,n_2796565775,"shop=variety_store, brand=Family Dollar"
"Horseshoe Lake, AR",,retail,445110,Kroger,"1366 Poplar Avenue, Memphis, TN, 38104",+1 901-272-7881,https://www.kroger.com/stores/grocery/tn/memphis/poplar-cleveland/025/00415,35.1452795,-90.0147635,,,n_2796596190,"shop=supermarket, brand=Kroger"
"Horseshoe Lake, AR",,retail,445110,Superlo Foods,2269 Lamar Avenue,,,35.1057449,-89.9878279,,,n_2796632932,shop=supermarket
"Horseshoe Lake, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/tn/memphis/4082/,35.0380894,-90.0258147,,,n_2937717076,"shop=variety_store, brand=Dollar Tree"
"Horseshoe Lake, AR",,retail,452319,Family Dollar,,,,35.0559579,-90.0255111,,,n_2937717077,"shop=variety_store, brand=Family Dollar"
"Horseshoe Lake, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ms/southaven/1472/,34.9610217,-89.9928585,,,n_3792860862,"shop=variety_store, brand=Dollar Tree"
"Horseshoe Lake, AR",,retail,445120,Midtown Mini Mart,"634 North McLean Boulevard, Memphis, TN, 38107",,,35.1552223,-89.9973117,,,n_4150307084,shop=convenience
"Horseshoe Lake, AR",,retail,446120,Omololu International,"3163 Bellbrook Drive, Memphis, TN, 38116",+1-901-332-3335,https://omololu.com/,35.0621386,-90.0276624,,,n_4505623871,shop=beauty
"Horseshoe Lake, AR",,retail,453110,"Piano's Flowers & Gifts, Inc","4532 Elvis Presley Blvd, Memphis, TN, 38116",+1 901-345-7670,https://www.pianosflowers.net/,35.0249256,-90.0246521,,,n_4541073586,shop=florist
"Horseshoe Lake, AR",,retail,445110,Walmart Neighborhood Market,"2401 Goodman Road West, Horn Lake, MS, 38637",+1 662-342-5929,https://www.walmart.com/store/3593-horn-lake-ms,34.961086,-90.032598,,,n_5315598255,"shop=supermarket, brand=Walmart, operator=Walmart"
"Horseshoe Lake, AR",,retail,452210,Target,"5150 Goodman Road, Olive Branch, MS, 38654-7903",+1 662-892-3031,https://www.target.com/sl/olive-branch-west/2442,34.9654223,-89.8980653,,,n_5371373401,"shop=department_store, brand=Target"
"Horseshoe Lake, AR",,retail,445120,K Circle Convenience Store,,,,35.1381234,-90.0001139,,,n_6058652407,shop=convenience
"Horseshoe Lake, AR",,retail,445310,Tip Top Liquors and Wine,,,,35.1373322,-89.9986059,,,n_6058691208,shop=alcohol
"Horseshoe Lake, AR",,retail,452319,Dollar Tree,995 East Parkway South,,https://www.dollartree.com/locations/tn/memphis/5940/,35.1180939,-89.9849384,,,n_6551416188,"shop=variety_store, brand=Dollar Tree"
"Horseshoe Lake, AR",,retail,445120,B & G Food Mart,1076 South Cooper Street,,,35.1164299,-89.9910164,,,n_6551423285,shop=convenience
"Horseshoe Lake, AR",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-4028+goodman+rd+w-horn+lake-ms-38637/id=6754,34.9636571,-90.061291,,,n_7149757390,"shop=chemist, brand=Walgreens"
"Horseshoe Lake, AR",,retail,445110,Kroger,"3095 Goodman Road East, Southaven, MS, 38672",+1 662-536-3741,https://www.kroger.com/stores/grocery/ms/southaven/goodman-getwell/025/00464,34.9609009,-89.9347129,,,n_7196452590,"shop=supermarket, brand=Kroger"
