Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Huttig, AR",,retail,445110,Brookshire's,"1018 East Highway 2, Farmerville, LA, 71241",+1-318-368-2244,,32.7685237,-92.390421,,,n_6108513029,"shop=supermarket, brand=Brookshire's"
"Huttig, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/crossett/2844/,33.1369061,-91.9402403,,,n_10588005439,"shop=variety_store, brand=Dollar Tree"
"Huttig, AR",,retail,452319,Dollar General,"3711 Highway 15, Spearsville, LA, 71277",,,32.9069647,-92.5206611,,,n_12223900070,"shop=variety_store, brand=Dollar General"
"Huttig, AR",,retail,452319,Family Dollar,,,,33.1314324,-91.9603994,,,w_128149969,"shop=variety_store, brand=Family Dollar"
"Huttig, AR",,retail,445110,Brookshire's,"1600 South Florida Street, Crossett, AR, 71635",+1-870-364-2511,,33.1166456,-91.9600661,,,w_128150126,shop=supermarket
"Huttig, AR",,retail,445110,Walmart Supercenter,"910 Unity Road, Crossett, AR, 71635",+1 870-364-2165,https://www.walmart.com/store/167-crossett-ar,33.1362426,-91.9422096,,,w_128150920,"shop=supermarket, brand=Walmart, operator=Walmart"
"Huttig, AR",,retail,445110,Walmart Supercenter,"833 Sterlington Highway, Farmerville, LA, 71241",+1 318-368-2535,https://www.walmart.com/store/1110-farmerville-la,32.7734693,-92.394414,,,w_217542709,"shop=supermarket, brand=Walmart, operator=Walmart"
"Huttig, AR",,retail,452319,Dollar General,"1080 South Main Street, Farmerville, LA, 71241",,https://www.dollargeneral.com/store-directory/la/farmerville/9072,32.7608373,-92.4122751,,,w_675911572,"shop=variety_store, brand=Dollar General"
"Huttig, AR",,retail,445120,Chevron,"378 Highway 2, Sterlington, LA, 71281",,,32.6996502,-92.0978062,,,w_677818224,"shop=convenience, amenity=fuel, brand=Chevron, operator=Simpson's One Stop"
"Huttig, AR",,retail,452319,Dollar General,"151 Ruggs Circle, Farmerville, LA, 71241",,https://www.dollargeneral.com/store-directory/la/farmersville/17995,32.7212045,-92.2197761,,,w_926153338,"shop=variety_store, brand=Dollar General"
"Huttig, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/la/bastrop/11724,32.8325534,-91.8767045,,,w_1181983604,"shop=variety_store, brand=Dollar General"
"Huttig, AR",,retail,452319,Dollar General,"3300 Main Street, Marion, LA, 71260",,https://www.dollargeneral.com/store-directory/la/marion/16059,32.9001174,-92.2513357,,,w_1195317117,"shop=variety_store, brand=Dollar General"
"Huttig, AR",,retail,452319,Family Dollar,"505 South Main Street, Farmerville, LA, 71241",,,32.7708698,-92.4049457,,,w_1301678181,"shop=variety_store, brand=Family Dollar"
"Huttig, AR",,retail,445120,Delta Mini Mart USA,"410 South Main Street, Farmerville, LA, 71241",,,32.7712882,-92.4057302,,,w_1301683793,shop=convenience
"Huttig, AR",,retail,445120,Antioch Store,"4960 Highway 2, Farmerville, LA, 71241",3183687227,,32.7482842,-92.2642819,,,w_1304609809,shop=convenience
"Huttig, AR",,retail,446110,Matte's Health Mart,"314 Main Street, Marion, LA, 71260",,,32.9011961,-92.2460145,,,w_1308542882,shop=chemist
"Huttig, AR",,retail,452319,,"3298 Highway 143, Marion, LA, 71260",,,32.8309424,-92.1460931,,,w_1314574630,shop=general
"Huttig, AR",,retail,445120,Marion Food Mart,"280 Main Street, Marion, LA, 71260",,,32.9010326,-92.2471918,,,w_1315889265,shop=convenience
