Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Jennette, AR",,retail,452319,Family Dollar,,,,35.2091828,-90.2033703,,,n_1239655076,"shop=variety_store, brand=Family Dollar"
"Jennette, AR",,retail,452319,Family Dollar,,,,35.1511747,-89.9795944,,,n_2796565775,"shop=variety_store, brand=Family Dollar"
"Jennette, AR",,retail,445110,Kroger,"1366 Poplar Avenue, Memphis, TN, 38104",+1 901-272-7881,https://www.kroger.com/stores/grocery/tn/memphis/poplar-cleveland/025/00415,35.1452795,-90.0147635,,,n_2796596190,"shop=supermarket, brand=Kroger"
"Jennette, AR",,retail,445110,Superlo Foods,2269 Lamar Avenue,,,35.1057449,-89.9878279,,,n_2796632932,shop=supermarket
"Jennette, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/tn/memphis/4082/,35.0380894,-90.0258147,,,n_2937717076,"shop=variety_store, brand=Dollar Tree"
"Jennette, AR",,retail,452319,Family Dollar,,,,35.0559579,-90.0255111,,,n_2937717077,"shop=variety_store, brand=Family Dollar"
"Jennette, AR",,retail,445120,Midtown Mini Mart,"634 North McLean Boulevard, Memphis, TN, 38107",,,35.1552223,-89.9973117,,,n_4150307084,shop=convenience
"Jennette, AR",,retail,446120,Omololu International,"3163 Bellbrook Drive, Memphis, TN, 38116",+1-901-332-3335,https://omololu.com/,35.0621386,-90.0276624,,,n_4505623871,shop=beauty
"Jennette, AR",,retail,453110,"Piano's Flowers & Gifts, Inc","4532 Elvis Presley Blvd, Memphis, TN, 38116",+1 901-345-7670,https://www.pianosflowers.net/,35.0249256,-90.0246521,,,n_4541073586,shop=florist
"Jennette, AR",,retail,452319,Family Dollar,,,,35.2760742,-90.4692175,,,n_5436375922,"shop=variety_store, brand=Family Dollar"
"Jennette, AR",,retail,445120,K Circle Convenience Store,,,,35.1381234,-90.0001139,,,n_6058652407,shop=convenience
"Jennette, AR",,retail,445310,Tip Top Liquors and Wine,,,,35.1373322,-89.9986059,,,n_6058691208,shop=alcohol
"Jennette, AR",,retail,452319,Dollar Tree,995 East Parkway South,,https://www.dollartree.com/locations/tn/memphis/5940/,35.1180939,-89.9849384,,,n_6551416188,"shop=variety_store, brand=Dollar Tree"
"Jennette, AR",,retail,445120,B & G Food Mart,1076 South Cooper Street,,,35.1164299,-89.9910164,,,n_6551423285,shop=convenience
"Jennette, AR",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-4028+goodman+rd+w-horn+lake-ms-38637/id=6754,34.9636571,-90.061291,,,n_7149757390,"shop=chemist, brand=Walgreens"
"Jennette, AR",,retail,452319,Cordelia's Market,"737 Harbor Bend Road, Memphis, TN, 38103",+1-901-526-4772,https://cordeliasmarket.com,35.1611316,-90.0536725,,,n_7359362818,shop=general
"Jennette, AR",,retail,453991,Whatever,"2027 Madison Avenue, Memphis, TN, 38104",+1-901-590-0084,https://whatevershopmemphis.com,35.1369086,-89.9936595,,,n_7447594216,shop=tobacco
"Jennette, AR",,retail,445230,Curb Market,"1350 Concourse Avenue, Memphis, TN, 38104",,https://curbmarket901.com/,35.1518794,-90.0140373,,,n_7799209078,shop=greengrocer
"Jennette, AR",,retail,446191,Juice Bar,"1350 Concourse Avenue, Memphis, TN, 38104",,https://ilovejuicebar.com/,35.1519186,-90.0145828,,,n_7799231188,shop=health_food
"Jennette, AR",,retail,445120,Petro,3900 Petro Road,1 (870) 702-5540,,35.1543551,-90.135907,,,n_8086364364,shop=convenience
"Jennette, AR",,retail,445110,Kroger,"300 West Service Road, West Memphis, AR, 72301",+1 870-732-2692,https://www.kroger.com/stores/grocery/ar/west-memphis/w-memphis/025/00469,35.1681193,-90.1920318,,,n_8389289058,"shop=supermarket, brand=Kroger"
"Jennette, AR",,retail,445110,ALDI,"4065 Goodman Road West, Horn Lake, MS, 38637",+1 833-470-7076,https://stores.aldi.us/ms/horn-lake/4065-goodman-road-west,34.9619158,-90.0618115,,,n_8663463359,"shop=supermarket, brand=ALDI"
"Jennette, AR",,retail,445110,Viet Hoa Food Market,"40 North Cleveland Street, Memphis, TN, 38104",+1-901-726-9388,https://www.viethoafood.com/,35.1398789,-90.0158553,,,n_8816103393,shop=supermarket
"Jennette, AR",,retail,446120,Royal Bee Beauty,"1330 Jackson Avenue, Memphis, TN, 38107",,,35.1584507,-90.0138521,,,n_8829770814,shop=beauty
"Jennette, AR",,retail,446120,Nail Art,"1334 Jackson Avenue, Memphis, TN, 38107",,,35.1584398,-90.0137093,,,n_8829770815,shop=beauty
"Jennette, AR",,retail,446120,Nina's Nails,,,,35.1390063,-90.0160706,,,n_8846474166,shop=beauty
"Jennette, AR",,retail,445120,Tiger Mart,,,,34.9922068,-90.023506,,,n_9644659789,"shop=convenience, brand=Tiger Mart"
"Jennette, AR",,retail,452319,Dollar Tree,,,,35.5285434,-90.4325951,,,n_9948399561,"shop=variety_store, brand=Dollar Tree"
"Jennette, AR",,retail,446120,Feathers Spa,,,,35.1418372,-90.0515752,,,n_10251522158,shop=beauty
"Jennette, AR",,retail,445120,Hop-In,,,,35.0205887,-90.0259,,,n_10751841011,shop=convenience
"Jennette, AR",,retail,446120,American Nails,,,,35.1387637,-89.9792651,,,n_10751880705,shop=beauty
"Jennette, AR",,retail,445120,Love's,,,,35.1537864,-90.1383451,,,n_11051805634,"shop=convenience, brand=Love's"
"Jennette, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/west-memphis/1731,35.1450901,-90.1962731,,,n_11273078211,"shop=variety_store, brand=Dollar General"
"Jennette, AR",,retail,445120,Marathon,,,,35.1060916,-89.9858272,,,n_11522491623,"shop=convenience, brand=Marathon"
"Jennette, AR",,retail,445110,Kroger,"2632 Frayser Boulevard, Memphis, TN, 38127",+1 901-353-8284,https://www.kroger.com/stores/grocery/tn/memphis/frayser/025/00425,35.2226893,-89.9767774,,,n_11802569670,"shop=supermarket, brand=Kroger"
"Jennette, AR",,retail,445110,,,,,35.0662437,-90.0702642,,,n_12074300037,shop=supermarket
"Jennette, AR",,retail,445120,,,,,35.0592284,-90.6881394,,,n_12166252852,shop=convenience
"Jennette, AR",,retail,445120,TA,,,,35.1363989,-90.4881082,,,n_12166255031,"shop=convenience, brand=TA"
"Jennette, AR",,retail,445120,,,,,35.1359832,-90.4892002,,,n_12166255035,shop=convenience
"Jennette, AR",,retail,445120,PJ’s,,,,35.1470042,-90.2918492,,,n_12166260857,shop=convenience
"Jennette, AR",,retail,445120,,,,,35.146995,-90.2923439,,,n_12166260858,shop=convenience
"Jennette, AR",,retail,445120,City Market,"66 South Main Street, Memphis, TN, 38103",+1-901-729-6152,,35.1433151,-90.053445,,,n_12304992002,shop=convenience
"Jennette, AR",,retail,445120,Circle K,"3971 Goodman Road West, Horn Lake, MS, 38637",+1 662-280-1946,,34.9619921,-90.0598653,,,n_12310192529,"shop=convenience, brand=Circle K"
"Jennette, AR",,retail,445120,Mapco,"2120 Frayser Boulevard, Memphis, TN, 38127",+1 901-358-5374,,35.2176481,-89.9928122,,,n_12350253871,"shop=convenience, brand=Mapco"
"Jennette, AR",,retail,445120,,,,,35.0611191,-90.0312212,,,n_12361541029,shop=convenience
"Jennette, AR",,retail,452319,Blues City General Store,,,,35.140035,-90.0530689,,,n_12461877454,shop=general
"Jennette, AR",,retail,445120,Sandra's Sundries,,,,35.1481814,-90.0521816,,,n_12463093243,shop=convenience
"Jennette, AR",,retail,445120,,,,,35.0643079,-90.0583796,,,n_12670934955,shop=convenience
"Jennette, AR",,retail,445120,,,,,34.8386629,-90.3008673,,,w_142440759,"shop=convenience, amenity=fuel"
"Jennette, AR",,retail,445120,,,,,34.8193759,-90.3154959,,,w_142440760,"shop=convenience, amenity=fuel"
"Jennette, AR",,retail,445120,,,,,34.8587729,-90.2480657,,,w_142440762,"shop=convenience, amenity=fuel"
"Jennette, AR",,retail,445120,,,,,34.8163892,-90.3954339,,,w_142440763,"shop=convenience, amenity=fuel"
"Jennette, AR",,retail,445120,Tiger Mart,,,,35.0538907,-90.0243765,,,w_166639921,"shop=convenience, brand=Tiger Mart"
"Jennette, AR",,retail,445120,Phillips 66,,,,35.0505729,-90.0256657,,,w_166639923,shop=convenience
"Jennette, AR",,retail,445120,Flying J,"3400 Service Loop Road, West Memphis, AR, 72301",,,35.1541741,-90.1439223,,,w_219424152,shop=convenience
"Jennette, AR",,retail,445120,City Market Groceries & Deli,"836 South Cooper Street, Memphis, TN, 38104",,,35.1229222,-89.9904768,,,w_225041077,shop=convenience
"Jennette, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/memphis/6647,35.1263184,-89.980088,,,w_227222919,"shop=variety_store, brand=Dollar General"
"Jennette, AR",,retail,445120,,,,,35.1374791,-90.0055971,,,w_239268378,shop=convenience
"Jennette, AR",,retail,445120,,,,,35.1354756,-90.0057189,,,w_239268380,shop=convenience
"Jennette, AR",,retail,446120,Dabbles Hair Company,,,,35.1372192,-89.9903131,,,w_280177231,shop=beauty
"Jennette, AR",,retail,445110,The Fresh Market,,,,35.1333625,-89.9896516,,,w_280420612,"shop=supermarket, brand=The Fresh Market"
"Jennette, AR",,retail,446110,Walgreens,"1863 Union Avenue, Memphis, TN, 38104",,,35.1345803,-89.9993135,,,w_280949916,"shop=chemist, brand=Walgreens"
"Jennette, AR",,retail,445110,ALDI,"4056 Elvis Presley Boulevard, Memphis, TN, 38116",+1 833-470-4070,https://stores.aldi.us/tn/memphis/4056-elvis-presley-blvd,35.0381618,-90.0242349,,,w_290216988,"shop=supermarket, brand=ALDI"
"Jennette, AR",,retail,452319,Family Dollar,,,,35.0367027,-90.0265297,,,w_290216994,"shop=variety_store, brand=Family Dollar"
"Jennette, AR",,retail,452210,Sears,"209 Shoppingway Boulevard, West Memphis, AR, 72301",,,35.1672059,-90.1888809,,,w_384668097,"shop=department_store, brand=Sears"
"Jennette, AR",,retail,446110,Walgreens,"1800 North Missouri Street, West Memphis, AR, 72301",,https://www.walgreens.com/locator/walgreens-1800+n+missouri+st-west+memphis-ar-72301/id=5789,35.1672208,-90.1861429,,,w_384668101,"shop=chemist, brand=Walgreens"
"Jennette, AR",,retail,445110,Cash Saver,"1620 Madison Avenue, Memphis, TN, 38104",+1-901-272-0171,https://www.memphiscashsaver.com/,35.1393739,-90.0070803,,,w_391736398,shop=supermarket
"Jennette, AR",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/memphis-tn-pharmacies/2115-union-ave-memphis-tn-38104/storeid=4992,35.1335562,-89.9907905,,,w_405550555,"shop=chemist, brand=CVS Pharmacy"
"Jennette, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/memphis/11455,35.2218185,-89.9736496,,,w_483293664,"shop=variety_store, brand=Dollar General"
"Jennette, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/memphis/12833,35.1071019,-89.988162,,,w_483295949,"shop=variety_store, brand=Dollar General"
