Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Jericho, AR",,retail,452319,Family Dollar,,,,35.2091828,-90.2033703,,,n_1239655076,"shop=variety_store, brand=Family Dollar"
"Jericho, AR",,retail,445310,Buster's Liquors & Wines,,,,35.1269037,-89.9457104,,,n_1403547449,shop=alcohol
"Jericho, AR",,retail,445110,High Point Grocery,"469 High Point Terrace, 38122",,https://www.highpointgrocery.com/,35.1444938,-89.9376722,,,n_2326594332,shop=supermarket
"Jericho, AR",,retail,445310,Lucchesi's Deli & Beer Store,"3358 Poplar Avenue, Memphis, TN, 38111",+19014523002,,35.1293815,-89.9500449,,,n_2351816060,shop=alcohol
"Jericho, AR",,retail,452210,Target,"601 Colonial Road, Memphis, TN, 38117-5132",+1 901-685-9240,https://www.target.com/sl/memphis-central/90,35.1134618,-89.9029842,,,n_2605168284,"shop=department_store, brand=Target"
"Jericho, AR",,retail,445110,Superlo Foods,,,,35.1135539,-89.9041402,,,n_2605170032,shop=supermarket
"Jericho, AR",,retail,452319,Family Dollar,,,,35.1511747,-89.9795944,,,n_2796565775,"shop=variety_store, brand=Family Dollar"
"Jericho, AR",,retail,445110,Kroger,"1366 Poplar Avenue, Memphis, TN, 38104",+1 901-272-7881,https://www.kroger.com/stores/grocery/tn/memphis/poplar-cleveland/025/00415,35.1452795,-90.0147635,,,n_2796596190,"shop=supermarket, brand=Kroger"
"Jericho, AR",,retail,445110,Superlo Foods,2269 Lamar Avenue,,,35.1057449,-89.9878279,,,n_2796632932,shop=supermarket
"Jericho, AR",,retail,452210,Macy's,,,https://www.macys.com/stores/tn/memphis/oak-court-mall_795.html,35.1165897,-89.911828,,,n_2918109268,"shop=department_store, brand=Macy's"
"Jericho, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/tn/memphis/4082/,35.0380894,-90.0258147,,,n_2937717076,"shop=variety_store, brand=Dollar Tree"
"Jericho, AR",,retail,452319,Family Dollar,,,,35.0559579,-90.0255111,,,n_2937717077,"shop=variety_store, brand=Family Dollar"
"Jericho, AR",,retail,445120,Midtown Mini Mart,"634 North McLean Boulevard, Memphis, TN, 38107",,,35.1552223,-89.9973117,,,n_4150307084,shop=convenience
"Jericho, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/millington/14328,35.2909358,-89.9195145,,,n_4434583773,"shop=variety_store, brand=Dollar General"
"Jericho, AR",,retail,446120,Omololu International,"3163 Bellbrook Drive, Memphis, TN, 38116",+1-901-332-3335,https://omololu.com/,35.0621386,-90.0276624,,,n_4505623871,shop=beauty
"Jericho, AR",,retail,453110,"Piano's Flowers & Gifts, Inc","4532 Elvis Presley Blvd, Memphis, TN, 38116",+1 901-345-7670,https://www.pianosflowers.net/,35.0249256,-90.0246521,,,n_4541073586,shop=florist
"Jericho, AR",,retail,452319,Dollar General,"4111 Summer Avenue, Memphis, TN, 38122",(901) 452-1618,https://www.dollargeneral.com/store-directory/tn/memphis/11958,35.1484713,-89.9237661,,,n_4944605516,"shop=variety_store, brand=Dollar General"
"Jericho, AR",,retail,452210,Dillard's Women,,+1 901-685-0382,https://www.dillards.com/stores/tennessee/oak-court-mall-memphis/0410,35.1174825,-89.9146473,,,n_5194759509,"shop=department_store, brand=Dillard's"
"Jericho, AR",,retail,452210,Dillard's Men Children & Home,,,,35.1167421,-89.9136126,,,n_5194759510,shop=department_store
"Jericho, AR",,retail,446120,Brow Art 23,,,,35.1170352,-89.913534,,,n_5224953859,shop=beauty
"Jericho, AR",,retail,445292,Godiva Chocolatier,,,,35.1172899,-89.91338,,,n_5224953863,"shop=chocolate, brand=Godiva Chocolatier"
"Jericho, AR",,retail,446120,Nail Pro,,,,35.1174145,-89.9133515,,,n_5224953866,shop=beauty
"Jericho, AR",,retail,446120,Bath & Body Works,,,,35.1172187,-89.9138387,,,n_5224953871,"shop=cosmetics, brand=Bath & Body Works"
"Jericho, AR",,retail,446120,Dream Spa,,,,35.1172406,-89.914053,,,n_5224978183,shop=beauty
"Jericho, AR",,retail,446120,Regis Salon,,,,35.1167791,-89.9127622,,,n_5224978188,shop=beauty
"Jericho, AR",,retail,445110,Walmart Neighborhood Market,"2401 Goodman Road West, Horn Lake, MS, 38637",+1 662-342-5929,https://www.walmart.com/store/3593-horn-lake-ms,34.961086,-90.032598,,,n_5315598255,"shop=supermarket, brand=Walmart, operator=Walmart"
"Jericho, AR",,retail,445292,Dinstuhl's,,,,35.1191712,-89.9113205,,,n_5317191846,shop=confectionery
"Jericho, AR",,retail,452319,Family Dollar,,,,35.2760742,-90.4692175,,,n_5436375922,"shop=variety_store, brand=Family Dollar"
"Jericho, AR",,retail,445110,Kroger,"799 Truse Parkway, Memphis, TN, 38117",+1 901-682-2989,https://www.kroger.com/stores/grocery/tn/memphis/truse-pkwy/025/00491,35.1098869,-89.894219,,,n_5716494761,"shop=supermarket, brand=Kroger"
"Jericho, AR",,retail,445120,K Circle Convenience Store,,,,35.1381234,-90.0001139,,,n_6058652407,shop=convenience
"Jericho, AR",,retail,445310,Tip Top Liquors and Wine,,,,35.1373322,-89.9986059,,,n_6058691208,shop=alcohol
"Jericho, AR",,retail,445110,Hometown Supermarket,"132 Greenwood Avenue, Lepanto, AR, 72354",1(870) 475-2319,,35.6148556,-90.3316301,,,n_6540968646,"shop=supermarket, operator=Bill Manget"
"Jericho, AR",,retail,445310,,,,,35.6134313,-90.340424,,,n_6541001047,shop=alcohol
"Jericho, AR",,retail,452319,Dollar General,"329 West Broad Street, Lepanto, AR, 72354",,,35.6130517,-90.3373635,,,n_6541001467,"shop=variety_store, brand=Dollar General"
"Jericho, AR",,retail,453110,The Lepanto Flower Shop,"214 Greenwood Ave, Lepanto, AR, 72354",,,35.612232,-90.3307363,,,n_6541068496,shop=florist
"Jericho, AR",,retail,452319,Dollar Tree,995 East Parkway South,,https://www.dollartree.com/locations/tn/memphis/5940/,35.1180939,-89.9849384,,,n_6551416188,"shop=variety_store, brand=Dollar Tree"
"Jericho, AR",,retail,445120,B & G Food Mart,1076 South Cooper Street,,,35.1164299,-89.9910164,,,n_6551423285,shop=convenience
"Jericho, AR",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-4028+goodman+rd+w-horn+lake-ms-38637/id=6754,34.9636571,-90.061291,,,n_7149757390,"shop=chemist, brand=Walgreens"
"Jericho, AR",,retail,452319,Cordelia's Market,"737 Harbor Bend Road, Memphis, TN, 38103",+1-901-526-4772,https://cordeliasmarket.com,35.1611316,-90.0536725,,,n_7359362818,shop=general
"Jericho, AR",,retail,453991,Whatever,"2027 Madison Avenue, Memphis, TN, 38104",+1-901-590-0084,https://whatevershopmemphis.com,35.1369086,-89.9936595,,,n_7447594216,shop=tobacco
"Jericho, AR",,retail,452210,Ross,"8540 Highway 51 North, Millington, TN, 38053",+1 901-873-0866,,35.3587292,-89.8904733,,,n_7604103046,"shop=department_store, brand=Ross"
"Jericho, AR",,retail,452319,Five Below,,+1 901-872-2250,https://locations.fivebelow.com/tn/millington/8540-us-highway-51-n,35.3590758,-89.8903192,,,n_7604103049,"shop=variety_store, brand=Five Below"
"Jericho, AR",,retail,445110,Kroger,"8039 US Highway 51 North, Millington, TN, 38053",+1 901-872-6741,https://www.kroger.com/stores/grocery/tn/millington/millington/025/00393,35.3465307,-89.9069284,,,n_7604103057,"shop=supermarket, brand=Kroger"
"Jericho, AR",,retail,452210,Big Lots,"8055 US Highway 51 North, Millington, TN, 38053",+1 901-873-1855,https://local.biglots.com/tn/millington/8055-us-hwy-51-n,35.3471369,-89.9063833,,,n_7604103058,"shop=department_store, brand=Big Lots"
"Jericho, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/millington/2698,35.3449892,-89.9070471,,,n_7604103061,"shop=variety_store, brand=Dollar General"
"Jericho, AR",,retail,446110,Walgreens,"Millington, TN, 38053",,https://www.walgreens.com/locator/walgreens-7994+us+highway+51+n-millington-tn-38053/id=7792,35.3445436,-89.9059497,,,n_7604103064,"shop=chemist, brand=Walgreens"
"Jericho, AR",,retail,445110,Save-A-Lot,,,https://savealot.com/grocery-stores/millington-38053-45041/,35.3388255,-89.9136248,,,n_7604103075,"shop=supermarket, brand=Save-A-Lot"
"Jericho, AR",,retail,445120,Shell,"1920 Whitten Road, Memphis, TN, 38133",+1-901-371-0617,https://shell.us,35.178168,-89.835564,,,n_7678030748,"shop=convenience, brand=Shell"
"Jericho, AR",,retail,445230,Curb Market,"1350 Concourse Avenue, Memphis, TN, 38104",,https://curbmarket901.com/,35.1518794,-90.0140373,,,n_7799209078,shop=greengrocer
"Jericho, AR",,retail,446191,Juice Bar,"1350 Concourse Avenue, Memphis, TN, 38104",,https://ilovejuicebar.com/,35.1519186,-90.0145828,,,n_7799231188,shop=health_food
"Jericho, AR",,retail,452319,Family Dollar,"3500 Ramill Road, Memphis, TN, 38128",+1-901-377-3493,,35.2211053,-89.9263877,,,n_7934700936,"shop=variety_store, brand=Family Dollar"
"Jericho, AR",,retail,446120,Splendid Nails,"5010 Park Avenue, Memphis, TN, 38117",+1-901-685-6485,,35.1071442,-89.8947865,,,n_7940305568,shop=beauty
"Jericho, AR",,retail,445310,Yorkshire Liquors,"5669 Quince Road, Memphis, TN, 38119",+1-901-767-1971,,35.0886807,-89.874366,,,n_7998537387,shop=alcohol
"Jericho, AR",,retail,445120,Petro,3900 Petro Road,1 (870) 702-5540,,35.1543551,-90.135907,,,n_8086364364,shop=convenience
"Jericho, AR",,retail,446120,Special Nails,,,,35.1013396,-89.8582174,,,n_8256842322,shop=beauty
