Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Jerome, AR",,retail,445110,Piggly Wiggly,,,,33.6243729,-91.7908756,,,n_2349431069,"shop=supermarket, brand=Piggly Wiggly"
"Jerome, AR",,retail,445110,Save-A-Lot,,,https://savealot.com/grocery-stores/monticello-71655-24253/,33.630536,-91.7964234,,,n_2349898988,"shop=supermarket, brand=Save-A-Lot"
"Jerome, AR",,retail,445110,Tobacco store,"110 Crooked Bayou Drive, McGehee, AR, 71654",,,33.6107216,-91.3814912,,,n_4632400191,shop=supermarket
"Jerome, AR",,retail,446110,Walgreens,"640 West Gaines Avenue, Monticello, AR, 71655",,https://www.walgreens.com/locator/walgreens-640+w+gaines+st-monticello-ar-71655/id=10666,33.6302875,-91.8013933,,,n_6579148534,"shop=chemist, brand=Walgreens"
"Jerome, AR",,retail,452319,Family Dollar,,,,33.6300623,-91.8008038,,,n_6579148555,"shop=variety_store, brand=Family Dollar"
"Jerome, AR",,retail,452319,Dollar Tree,,,,33.2306573,-91.7967,,,n_10588029049,"shop=variety_store, brand=Dollar Tree"
"Jerome, AR",,retail,452319,Family Dollar,,,,33.2306714,-91.7968754,,,n_10588029050,"shop=variety_store, brand=Family Dollar"
"Jerome, AR",,retail,445110,,,,,33.2298563,-91.7987636,,,n_10588029051,shop=supermarket
"Jerome, AR",,retail,452319,Dollar General,"605 North Main Street, Hamburg, AR, 71646",,https://www.dollargeneral.com/store-directory/ar/hamburg/138,33.2304119,-91.7981904,,,n_10588029052,"shop=variety_store, brand=Dollar General"
"Jerome, AR",,retail,445120,,,,,33.2300509,-91.7971856,,,n_10588029055,shop=convenience
"Jerome, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/hamburg/17940,33.3535461,-91.8479667,,,n_10588049396,"shop=variety_store, brand=Dollar General"
"Jerome, AR",,retail,445120,Love's,,,https://www.loves.com/locations/689,33.3305663,-91.2930527,,,n_11702013970,"shop=convenience, brand=Love's"
"Jerome, AR",,retail,453991,Tobacco & Vape Plus,"1832 MS-1, Greenville, MS, 38701",662-702-3293,https://tobaccovapeplus.com,33.3691651,-91.0389185,,,n_11782477582,"shop=tobacco, operator=Ibrahim Mohsen"
"Jerome, AR",,retail,452319,Family Dollar,,,,33.3829569,-91.0396177,,,n_12385162014,"shop=variety_store, brand=Family Dollar"
"Jerome, AR",,retail,445110,Kroger,"1778 Highway 1 South, Greenville, MS, 38701",+1 662-332-0231,https://www.kroger.com/stores/grocery/ms/greenville/greenville/025/00429,33.3697857,-91.037952,,,w_577203867,"shop=supermarket, brand=Kroger"
"Jerome, AR",,retail,452210,Walmart,"1001 Us 65 South, McGehee, AR, 71654",+1 870-222-4184,https://www.walmart.com/store/289-mcgehee-ar,33.6042312,-91.3819147,,,w_729205800,"shop=department_store, brand=Walmart, operator=Walmart"
"Jerome, AR",,retail,445110,Walmart Supercenter,"1831 Martin Luther King Junior Boulevard, Greenville, MS, 38701",+1 662-332-9026,https://www.walmart.com/store/182-greenville-ms,33.367712,-91.0438769,,,w_886816972,"shop=supermarket, brand=Walmart, operator=Walmart"
"Jerome, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ms/greenville/7514,33.3637036,-91.0414585,,,w_886823920,"shop=variety_store, brand=Dollar General"
"Jerome, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ms/greenville/13068,33.4434036,-91.0404641,,,w_1168328422,"shop=variety_store, brand=Dollar General"
"Jerome, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/monticello/22501,33.6292918,-91.7772635,,,w_1200994297,"shop=variety_store, brand=Dollar General"
"Jerome, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/portland/19802,33.2385953,-91.5084762,,,w_1201131522,"shop=variety_store, brand=Dollar General"
"Jerome, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/eudora/11065,33.1109262,-91.2579514,,,w_1201131535,"shop=variety_store, brand=Dollar General"
"Jerome, AR",,retail,452319,Family Dollar,,,,33.3209125,-91.2929478,,,w_1201131538,"shop=variety_store, brand=Family Dollar"
"Jerome, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/lake-village/4392,33.3264131,-91.2928606,,,w_1201131543,"shop=variety_store, brand=Dollar General"
"Jerome, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/dermott/23037,33.5256658,-91.4312502,,,w_1201131562,"shop=variety_store, brand=Dollar General"
