Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Leslie, AR",,retail,445110,Lewis Grocery and Ryan`s Deli,,,,35.8287565,-92.5594283,,,n_3319755577,shop=supermarket
"Leslie, AR",,retail,452210,Antique Mall,,,,35.8285529,-92.5588136,,,n_3319761220,shop=department_store
"Leslie, AR",,retail,445120,Arkansas Handmade,,,,35.8291629,-92.559986,,,n_3370897492,shop=convenience
"Leslie, AR",,retail,445120,Elk & Eagle Trading Post,,,,35.8292865,-92.5599585,,,n_3372380772,shop=convenience
"Leslie, AR",,retail,453991,Tobacco World,"296 Ingram Street, Clinton, AR, 72031",,,35.5988662,-92.4616697,,,n_9354217510,shop=tobacco
"Leslie, AR",,retail,446120,Beyond Deep Therapeutic Massage,"296 Ingram Street, Clinton, AR, 72031",+1-501-757-3377,,35.5989013,-92.461854,,,n_9354217512,shop=beauty
"Leslie, AR",,retail,452319,Dollar General,,,,35.8682745,-92.3077912,,,n_12450128212,"shop=variety_store, brand=Dollar General"
"Leslie, AR",,retail,445110,Walmart Supercenter,"1966 Highway 65 South, Clinton, AR, 72031",+1 501-745-2498,https://www.walmart.com/store/788-clinton-ar,35.5667653,-92.4544104,,,w_479558198,"shop=supermarket, brand=Walmart, operator=Walmart"
"Leslie, AR",,retail,445310,Gravity BrewWorks,"11512 Highway 14 East, Big Flat, AR, 72617",8704482077,http://gravitybrewworks.com,36.0083015,-92.3788361,,,w_997334586,shop=beverages
"Leslie, AR",,retail,446110,Mitchell's Main Street Pharmacy,,,,35.8678656,-92.1153661,,,w_1057054926,shop=chemist
"Leslie, AR",,retail,452319,Music and More General Store,,,,35.8816633,-92.1157537,,,w_1057419703,shop=general
"Leslie, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/clinton/3979,35.5965273,-92.4569197,,,w_1097874572,"shop=variety_store, brand=Dollar General"
"Leslie, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/saint-joe/19424,36.0282574,-92.8000147,,,w_1204643870,"shop=variety_store, brand=Dollar General"
"Leslie, AR",,retail,452319,Family Dollar,,,,35.9087482,-92.66177,,,w_1204643877,"shop=variety_store, brand=Family Dollar"
"Leslie, AR",,retail,445110,Harps,,,,35.9104914,-92.6499689,,,w_1204643878,"shop=supermarket, brand=Harps"
"Leslie, AR",,retail,452319,Dollar General,"Marshall, AR, 72650",,https://www.dollargeneral.com/store-directory/ar/marshall/971,35.9108076,-92.6441263,,,w_1204643879,"shop=variety_store, brand=Dollar General"
"Leslie, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/leslie/17627,35.8320914,-92.5681341,,,w_1204643881,"shop=variety_store, brand=Dollar General"
"Leslie, AR",,retail,445120,,"540 Dave Creek Parkway, Fairfield Bay, AR, 72088",,,35.6073866,-92.2694084,,,w_1291050581,shop=convenience
"Leslie, AR",,retail,445120,Alfred Fountain Grocery,"36386 AR 27, Tilly, AR, 72679",,,35.7205237,-92.8238161,,,w_1309077093,shop=convenience
"Leslie, AR",,retail,452319,The Old Snowball House,,,,35.9068339,-92.8215612,,,w_1357454744,shop=general
