Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Parkdale, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/crossett/2844/,33.1369061,-91.9402403,,,n_10588005439,"shop=variety_store, brand=Dollar Tree"
"Parkdale, AR",,retail,452319,Dollar Tree,,,,33.2306573,-91.7967,,,n_10588029049,"shop=variety_store, brand=Dollar Tree"
"Parkdale, AR",,retail,452319,Family Dollar,,,,33.2306714,-91.7968754,,,n_10588029050,"shop=variety_store, brand=Family Dollar"
"Parkdale, AR",,retail,445110,,,,,33.2298563,-91.7987636,,,n_10588029051,shop=supermarket
"Parkdale, AR",,retail,452319,Dollar General,"605 North Main Street, Hamburg, AR, 71646",,https://www.dollargeneral.com/store-directory/ar/hamburg/138,33.2304119,-91.7981904,,,n_10588029052,"shop=variety_store, brand=Dollar General"
"Parkdale, AR",,retail,445120,,,,,33.2300509,-91.7971856,,,n_10588029055,shop=convenience
"Parkdale, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/hamburg/17940,33.3535461,-91.8479667,,,n_10588049396,"shop=variety_store, brand=Dollar General"
"Parkdale, AR",,retail,452319,Dollar General,"704 East Main Street, Oak Grove, LA, 71263",,https://www.dollargeneral.com/store-directory/la/oak-grove/3888,32.8614435,-91.3817595,,,n_10968932587,"shop=variety_store, brand=Dollar General"
"Parkdale, AR",,retail,445120,Love's,,,https://www.loves.com/locations/689,33.3305663,-91.2930527,,,n_11702013970,"shop=convenience, brand=Love's"
"Parkdale, AR",,retail,452319,Family Dollar,,,,33.1314324,-91.9603994,,,w_128149969,"shop=variety_store, brand=Family Dollar"
"Parkdale, AR",,retail,445110,Brookshire's,"1600 South Florida Street, Crossett, AR, 71635",+1-870-364-2511,,33.1166456,-91.9600661,,,w_128150126,shop=supermarket
"Parkdale, AR",,retail,445110,Walmart Supercenter,"910 Unity Road, Crossett, AR, 71635",+1 870-364-2165,https://www.walmart.com/store/167-crossett-ar,33.1362426,-91.9422096,,,w_128150920,"shop=supermarket, brand=Walmart, operator=Walmart"
"Parkdale, AR",,retail,445110,Walmart Supercenter,"705 South Constitution Avenue, Oak Grove, LA, 71263",+1 318-428-9631,https://www.walmart.com/store/1108-oak-grove-la,32.8535134,-91.3951772,,,w_357498923,"shop=supermarket, brand=Walmart, operator=Walmart"
"Parkdale, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/la/pioneer/23371,32.7833094,-91.4155324,,,w_1181098685,"shop=variety_store, brand=Dollar General"
"Parkdale, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/la/kilbourne/21091,32.9994759,-91.313918,,,w_1181098689,"shop=variety_store, brand=Dollar General"
"Parkdale, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/portland/19802,33.2385953,-91.5084762,,,w_1201131522,"shop=variety_store, brand=Dollar General"
"Parkdale, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/eudora/11065,33.1109262,-91.2579514,,,w_1201131535,"shop=variety_store, brand=Dollar General"
"Parkdale, AR",,retail,452319,Family Dollar,,,,33.3209125,-91.2929478,,,w_1201131538,"shop=variety_store, brand=Family Dollar"
"Parkdale, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/lake-village/4392,33.3264131,-91.2928606,,,w_1201131543,"shop=variety_store, brand=Dollar General"
