Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Peach Orchard, AR",,retail,452319,Family Dollar,,,,36.0521382,-90.488966,,,n_1371000939,"shop=variety_store, brand=Family Dollar"
"Peach Orchard, AR",,retail,445310,,"Marmaduke, 72443",,,36.1858385,-90.3833876,,,n_1570019036,"shop=alcohol, amenity=waste_basket"
"Peach Orchard, AR",,retail,452319,Carroll's Variety Store,,,,36.2610464,-90.9697679,,,n_3362592989,shop=variety_store
"Peach Orchard, AR",,retail,446120,Studio B Salon and Dayspa,,,,36.2619166,-90.9701305,,,n_3362592994,"shop=beauty, operator=Brittany Steimel"
"Peach Orchard, AR",,retail,452210,Walmart,"1600 West Main Street, Walnut Ridge, AR, 72476",+1 870-886-6605,https://www.walmart.com/store/57-walnut-ridge-ar,36.07663,-90.97439,,,n_5315597525,"shop=department_store, brand=Walmart, operator=Walmart"
"Peach Orchard, AR",,retail,445120,Quick Stop,,,,36.1862668,-90.3844772,,,n_5646073262,shop=convenience
"Peach Orchard, AR",,retail,445110,Harps Food Store,"1609 North Thomasville Street, Pocahontas, AR, 72455",,,36.2723963,-90.9757761,,,n_6936032864,shop=supermarket
"Peach Orchard, AR",,retail,445110,NEA Full Spectrum,"12001 Highway 49 North, Brookland, AR, 72417",(870) 634-6412,https://www.neafullspectrummedicine.com/,35.960958,-90.5664335,,,n_9790492535,"shop=supermarket, brand=Cannabis, operator=NEA Full Spectrum"
"Peach Orchard, AR",,retail,452319,Dollar General,"Pocahontas, AR, 72455",,https://www.dollargeneral.com/store-directory/ar/pocahontas/19434,36.2548976,-90.9731431,,,n_11160235301,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,445310,The Party Store,"7205 US 49, Paragould, AR, 72450",870-236-7827,,35.9710439,-90.5551331,,,n_11284643189,shop=alcohol
"Peach Orchard, AR",,retail,452319,Dollar Tree,,,,36.2500358,-90.9608839,,,n_11984568820,"shop=variety_store, brand=Dollar Tree"
"Peach Orchard, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/rector/3829,36.258504,-90.2930952,,,w_393515674,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,445110,Walmart Supercenter,"1415 Highway 67 South, Pocahontas, AR, 72455",+1 870-892-7703,https://www.walmart.com/store/71-pocahontas-ar,36.2487424,-90.9633526,,,w_480306546,"shop=supermarket, brand=Walmart, operator=Walmart"
"Peach Orchard, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/marmaduke/12181,36.1841414,-90.3855701,,,w_591305007,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,445110,ALDI,"2810 West Kingshighway, Paragould, AR, 72450",+1 855-955-2534,https://stores.aldi.us/ar/paragould/2810-w-kingshighway,36.0593992,-90.524571,,,w_934749515,"shop=supermarket, brand=ALDI"
"Peach Orchard, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/12506,36.0194528,-90.5251327,,,w_1203052384,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,445120,Kum & Go,,,https://www.kumandgo.com/store-locator?details=0349,36.0200487,-90.5265967,,,w_1203052386,"shop=convenience, brand=Kum & Go"
"Peach Orchard, AR",,retail,445110,Walmart Neighborhood Market,"2600 Linwood Drive, Paragould, AR, 72450",+1 870-586-7946,https://www.walmart.com/store/5780-paragould-ar,36.0301971,-90.523232,,,w_1203052391,"shop=supermarket, brand=Walmart"
"Peach Orchard, AR",,retail,452210,American Freight,,,,36.0440825,-90.5101593,,,w_1203052398,"shop=department_store, brand=American Freight"
"Peach Orchard, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/19979,36.0532053,-90.4595909,,,w_1203052403,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/764,36.054208,-90.4879292,,,w_1203052404,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,445120,Kum & Go,,,https://www.kumandgo.com/store-locator?details=0398,36.0606836,-90.5474407,,,w_1203052409,"shop=convenience, brand=Kum & Go"
"Peach Orchard, AR",,retail,452319,Dollar General,,,,36.0602999,-90.5460771,,,w_1203052410,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,445120,Kum & Go,,,https://www.kumandgo.com/store-locator?details=0394,36.0605066,-90.5205577,,,w_1203052420,"shop=convenience, brand=Kum & Go"
"Peach Orchard, AR",,retail,445120,Casey's General Store,,,,36.0569771,-90.5111446,,,w_1203052426,"shop=convenience, brand=Casey's General Store"
"Peach Orchard, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/17203,36.070328,-90.5002888,,,w_1203052435,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/12258,36.1130164,-90.5081542,,,w_1203412397,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,445110,Harps Food,,,,36.2583143,-90.2831163,,,w_1203412400,shop=supermarket
"Peach Orchard, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pocahontas/14855,36.256619,-91.0455287,,,w_1203961632,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/corning/1061,36.4130313,-90.5853332,,,w_1204086333,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/21970,36.0711966,-90.6525471,,,w_1204346379,"shop=variety_store, brand=Dollar General"
"Peach Orchard, AR",,retail,445120,Casey's General Store,"401 West Main Street, Walnut Ridge, AR, 72476",,,36.0704418,-90.95932,,,w_1298948620,"shop=convenience, brand=Casey's General Store"
"Peach Orchard, AR",,retail,452319,Dollar Tree,"705 West Main Street, Walnut Ridge, AR, 72476",,,36.0728378,-90.9618384,,,w_1298948622,"shop=variety_store, brand=Dollar Tree"
"Peach Orchard, AR",,retail,445110,Walmart Supercenter,"2802 West Kingshighway, Paragould, AR, 72450",+1 870-236-9707,https://www.walmart.com/store/36-paragould-ar,36.0572837,-90.5228762,,,w_1311908377,"shop=supermarket, brand=Walmart, operator=Walmart"
