Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Prattsville, AR",,retail,445110,Harvest Foods,,,,34.6286513,-92.5687098,,,n_718928117,shop=supermarket
"Prattsville, AR",,retail,452319,Dollar General,,,,34.6269402,-92.4175897,,,n_1266931066,"shop=variety_store, brand=Dollar General"
"Prattsville, AR",,retail,453110,Flowers & Home of Benton/Bryant,"20400 Interstate 30 N, Benton, AR, 72019",,,34.6058356,-92.5413408,,,n_5705790470,shop=florist
"Prattsville, AR",,retail,446120,Rejuvenate Salon,,,,34.6008067,-92.4902186,,,n_7557876320,shop=beauty
"Prattsville, AR",,retail,445110,Edwards Food Giant,"20383 Arch Street, Little Rock, AR 72206",5018888274,,34.5639,-92.3376,,,n_7734868792,shop=supermarket
"Prattsville, AR",,retail,445110,,,,,34.6233449,-92.3942055,,,n_8808187787,shop=supermarket
"Prattsville, AR",,retail,446120,Bright Nails,"1900 Martin Luther King Road, Malvern, AR, 72104",,,34.3914708,-92.8295705,,,n_8826290326,shop=beauty
"Prattsville, AR",,retail,452319,Five Below,,+1 501-778-5519,https://locations.fivebelow.com/ar/bryant/7341-alcoa-road,34.603732,-92.5319241,,,n_9033523205,"shop=variety_store, brand=Five Below"
"Prattsville, AR",,retail,446120,CK Nails & Spa,,,,34.6037376,-92.5336,,,n_9033523230,shop=beauty
"Prattsville, AR",,retail,445120,Circle K,,,,34.463179,-92.9503264,,,n_11142158665,"shop=convenience, brand=Circle K"
"Prattsville, AR",,retail,445120,Superstop,,,,34.3892478,-92.8293956,,,n_11218232471,shop=convenience
"Prattsville, AR",,retail,445120,Love's,,,,34.3877399,-92.8464413,,,n_12166267718,"shop=convenience, brand=Love's"
"Prattsville, AR",,retail,445120,Pilot,"7901 Alcoa Road, Benton, AR, 72019",,,34.6083518,-92.5333538,,,w_264987546,"shop=convenience, brand=Pilot"
"Prattsville, AR",,retail,445120,Circle K,"10501 Stagecoach Road, Little Rock, AR, 72210",+1-501-451-7564,,34.6554468,-92.4258447,,,w_441805623,"shop=convenience, brand=Circle K"
"Prattsville, AR",,retail,445110,Walmart Supercenter,"400 Bryant Avenue, Bryant, AR, 72022",+1 501-847-2857,https://www.walmart.com/store/3230-bryant-ar,34.6241608,-92.4943215,,,w_485241700,"shop=supermarket, brand=Walmart, operator=Walmart"
"Prattsville, AR",,retail,452210,Burlington,"20815 Interstate 30 South, Benton, AR, 72015",+1 501-315-6401,https://stores.burlington.com/ar/benton/1187,34.6061183,-92.5309716,,,w_485979231,"shop=department_store, brand=Burlington"
"Prattsville, AR",,retail,445110,Walmart Supercenter,"17309 I-30 Frontage Road, Benton, AR, 72015",+1 501-860-6135,https://www.walmart.com/store/85-benton-ar,34.5774554,-92.5801448,,,w_486177666,"shop=supermarket, brand=Walmart, operator=Walmart"
"Prattsville, AR",,retail,446110,CVS Pharmacy,"3220 North Reynolds Road, Bryant, AR, 72022",,https://www.cvs.com/store-locator/bryant-ar-pharmacies/3220-n-reynolds-rd-bryant-ar-72022/storeid=10432,34.6244123,-92.4986076,,,w_553379984,"shop=chemist, brand=CVS Pharmacy"
