Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Searcy, AR",,retail,445110,Lewis Grocery and Ryan`s Deli,,,,35.8287565,-92.5594283,,,n_3319755577,shop=supermarket
"Searcy, AR",,retail,452210,Antique Mall,,,,35.8285529,-92.5588136,,,n_3319761220,shop=department_store
"Searcy, AR",,retail,445120,Arkansas Handmade,,,,35.8291629,-92.559986,,,n_3370897492,shop=convenience
"Searcy, AR",,retail,445120,Elk & Eagle Trading Post,,,,35.8292865,-92.5599585,,,n_3372380772,shop=convenience
"Searcy, AR",,retail,452319,Dollar General,,,,35.8682745,-92.3077912,,,n_12450128212,"shop=variety_store, brand=Dollar General"
"Searcy, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/yellville/11130,36.2265368,-92.6871836,,,w_430215599,"shop=variety_store, brand=Dollar General"
"Searcy, AR",,retail,445110,Harp's,,,,36.2264111,-92.6836507,,,w_430215601,shop=supermarket
"Searcy, AR",,retail,445120,Hankins General Store,,,,35.7212895,-93.0962597,,,w_893650281,shop=convenience
"Searcy, AR",,retail,445310,Gravity BrewWorks,"11512 Highway 14 East, Big Flat, AR, 72617",8704482077,http://gravitybrewworks.com,36.0083015,-92.3788361,,,w_997334586,shop=beverages
"Searcy, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pyatt/22582,36.243514,-92.8440053,,,w_1204643865,"shop=variety_store, brand=Dollar General"
"Searcy, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/saint-joe/19424,36.0282574,-92.8000147,,,w_1204643870,"shop=variety_store, brand=Dollar General"
"Searcy, AR",,retail,452319,Family Dollar,,,,35.9087482,-92.66177,,,w_1204643877,"shop=variety_store, brand=Family Dollar"
"Searcy, AR",,retail,445110,Harps,,,,35.9104914,-92.6499689,,,w_1204643878,"shop=supermarket, brand=Harps"
"Searcy, AR",,retail,452319,Dollar General,"Marshall, AR, 72650",,https://www.dollargeneral.com/store-directory/ar/marshall/971,35.9108076,-92.6441263,,,w_1204643879,"shop=variety_store, brand=Dollar General"
"Searcy, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/leslie/17627,35.8320914,-92.5681341,,,w_1204643881,"shop=variety_store, brand=Dollar General"
"Searcy, AR",,retail,445120,Alfred Fountain Grocery,"36386 AR 27, Tilly, AR, 72679",,,35.7205237,-92.8238161,,,w_1309077093,shop=convenience
"Searcy, AR",,retail,452319,The Old Snowball House,,,,35.9068339,-92.8215612,,,w_1357454744,shop=general
"Searcy, AR",,retail,452319,Kent General Store,"Mount Judea, AR",,,35.920556,-93.0597735,,,w_1388054085,shop=general
