Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Sheridan, AR",,retail,445110,Harvest Foods,,,,34.6286513,-92.5687098,,,n_718928117,shop=supermarket
"Sheridan, AR",,retail,452319,Dollar General,,,,34.6269402,-92.4175897,,,n_1266931066,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,445110,Edwards Food Giant,,,,34.6688291,-92.3615279,,,n_4373029434,shop=supermarket
"Sheridan, AR",,retail,453110,Flowers & Home of Benton/Bryant,"20400 Interstate 30 N, Benton, AR, 72019",,,34.6058356,-92.5413408,,,n_5705790470,shop=florist
"Sheridan, AR",,retail,445110,Super 1 Foods,"1605 East Harding Avenue, Pine Bluff, AR, 71601",+1-870-536-1889,,34.2138543,-91.9845917,,,n_6106892940,shop=supermarket
"Sheridan, AR",,retail,445110,Super 1 Foods,"5805 Dollarway Road, Pine Bluff, AR, 71602",+1-870-247-5916,,34.2485317,-92.0676676,,,n_6106945932,shop=supermarket
"Sheridan, AR",,retail,446120,Rejuvenate Salon,,,,34.6008067,-92.4902186,,,n_7557876320,shop=beauty
"Sheridan, AR",,retail,445110,Edwards Food Giant,"20383 Arch Street, Little Rock, AR 72206",5018888274,,34.5639,-92.3376,,,n_7734868792,shop=supermarket
"Sheridan, AR",,retail,445110,,,,,34.6233449,-92.3942055,,,n_8808187787,shop=supermarket
"Sheridan, AR",,retail,445120,Speedway,"1313 East Harding Avenue, Pine Bluff, AR, 71601",,,34.2131589,-91.9898793,,,n_8925253183,"shop=convenience, brand=Speedway"
"Sheridan, AR",,retail,452319,Five Below,,+1 501-778-5519,https://locations.fivebelow.com/ar/bryant/7341-alcoa-road,34.603732,-92.5319241,,,n_9033523205,"shop=variety_store, brand=Five Below"
"Sheridan, AR",,retail,446120,CK Nails & Spa,,,,34.6037376,-92.5336,,,n_9033523230,shop=beauty
"Sheridan, AR",,retail,445120,,,,,34.2607096,-92.1006796,,,n_11352242741,shop=convenience
"Sheridan, AR",,retail,445120,Pilot,"7901 Alcoa Road, Benton, AR, 72019",,,34.6083518,-92.5333538,,,w_264987546,"shop=convenience, brand=Pilot"
"Sheridan, AR",,retail,445120,,,,,34.6709991,-92.4189578,,,w_441805614,shop=convenience
"Sheridan, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/little-rock/11727,34.6689639,-92.4186553,,,w_441805615,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,445120,Circle K,"10501 Stagecoach Road, Little Rock, AR, 72210",+1-501-451-7564,,34.6554468,-92.4258447,,,w_441805623,"shop=convenience, brand=Circle K"
"Sheridan, AR",,retail,445110,Walmart Supercenter,"400 Bryant Avenue, Bryant, AR, 72022",+1 501-847-2857,https://www.walmart.com/store/3230-bryant-ar,34.6241608,-92.4943215,,,w_485241700,"shop=supermarket, brand=Walmart, operator=Walmart"
"Sheridan, AR",,retail,452210,Burlington,"20815 Interstate 30 South, Benton, AR, 72015",+1 501-315-6401,https://stores.burlington.com/ar/benton/1187,34.6061183,-92.5309716,,,w_485979231,"shop=department_store, brand=Burlington"
"Sheridan, AR",,retail,445110,Walmart Supercenter,"17309 I-30 Frontage Road, Benton, AR, 72015",+1 501-860-6135,https://www.walmart.com/store/85-benton-ar,34.5774554,-92.5801448,,,w_486177666,"shop=supermarket, brand=Walmart, operator=Walmart"
"Sheridan, AR",,retail,446110,CVS Pharmacy,"3220 North Reynolds Road, Bryant, AR, 72022",,https://www.cvs.com/store-locator/bryant-ar-pharmacies/3220-n-reynolds-rd-bryant-ar-72022/storeid=10432,34.6244123,-92.4986076,,,w_553379984,"shop=chemist, brand=CVS Pharmacy"
"Sheridan, AR",,retail,452319,Dollar Tree,"218 Bryant Avenue, Bryant, AR, 72022",,https://www.dollartree.com/locations/ar/bryant/1948/,34.6228759,-92.4964799,,,w_553380008,"shop=variety_store, brand=Dollar Tree"
"Sheridan, AR",,retail,446110,Walgreens,"5500 AR-5 N, Bryant, AR, 72022",,https://www.walgreens.com/locator/walgreens-5500+highway+5+n-bryant-ar-72022/id=10240,34.6234104,-92.5006976,,,w_553576708,"shop=chemist, brand=Walgreens"
"Sheridan, AR",,retail,445310,Crush Wine & Spirits,"3345 AR-5 N, Bryant, AR, 72019",,,34.6149781,-92.5197088,,,w_553576763,shop=alcohol
"Sheridan, AR",,retail,445110,Kroger,"20820 I- 30 Service Road, Benton, AR, 72019",+1 501-574-3880,https://www.kroger.com/stores/grocery/ar/benton/benton-marketplace/025/00629,34.6106507,-92.5306894,,,w_553576767,"shop=supermarket, brand=Kroger"
"Sheridan, AR",,retail,445110,Kroger,"1410 Military Road, Benton, AR, 72015",+1 501-776-0301,https://www.kroger.com/stores/grocery/ar/benton/benton-military-rd/025/00637,34.5780576,-92.5776612,,,w_609498822,"shop=supermarket, brand=Kroger"
"Sheridan, AR",,retail,445120,,,,,34.5692783,-92.5862369,,,w_609630776,shop=convenience
"Sheridan, AR",,retail,445110,Walmart Supercenter,"8801 Baseline Road, Little Rock, AR, 72209",+1 501-565-0274,https://www.walmart.com/store/124-little-rock-ar,34.6670879,-92.3771647,,,w_640956160,"shop=supermarket, brand=Walmart, operator=Walmart"
"Sheridan, AR",,retail,445310,Baseline Liquor,,,,34.6703706,-92.375492,,,w_781900632,shop=alcohol
"Sheridan, AR",,retail,445120,Kum & Go,,,https://www.kumandgo.com/store-locator?details=0147,34.610158,-92.4947163,,,w_808245967,"shop=convenience, brand=Kum & Go"
"Sheridan, AR",,retail,445120,Love's,"11700 I-30 Frontage Road, Little Rock, AR, 72210",,,34.6569109,-92.4129724,,,w_893136394,"shop=convenience, brand=Love's"
"Sheridan, AR",,retail,445110,Super 1 Foods,"2721 South Camden Road, Pine Bluff, AR, 71603",,,34.2023331,-92.0467765,,,w_893585402,shop=supermarket
"Sheridan, AR",,retail,452319,Dollar General,"2500 South Camden Road, Pine Bluff, AR, 71603",,https://www.dollargeneral.com/store-directory/ar/pine-bluff/3895,34.2043256,-92.0465815,,,w_893585403,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,445120,Super Stop,"101 North Blake Street, Pine Bluff, AR, 71601",,,34.2305076,-92.0429354,,,w_893586117,shop=convenience
"Sheridan, AR",,retail,445120,Circle K,"10402 Mabelvale West Road, Little Rock, AR, 72103",+1-501-455-9541,,34.6574157,-92.3889732,,,w_947243773,"shop=convenience, brand=Circle K"
"Sheridan, AR",,retail,445120,Circle K,"4720 Hwy 67, Benton, AR, 72015",+1-501-4517527,,34.5429071,-92.632657,,,w_953606989,"shop=convenience, brand=Circle K"
"Sheridan, AR",,retail,445120,Alon Food Mart,"15541 I-30 Frontage Road, Benton, AR, 72019",,,34.5630596,-92.6055542,,,w_953606995,shop=convenience
"Sheridan, AR",,retail,452210,Target,"7377 Alcoa Road, Bryant, AR, 72022-6204",+1 501-776-4360,https://www.target.com/sl/bryant/2204,34.6039855,-92.5302469,,,w_976149874,"shop=department_store, brand=Target"
"Sheridan, AR",,retail,452210,Kohl's,"7333 Alcoa Road, Bryant, AR, 72022",+1 501-860-7038,https://www.kohls.com/stores/ar/bryant-1030.shtml,34.6036146,-92.5325337,,,w_976149877,"shop=department_store, brand=Kohl's"
"Sheridan, AR",,retail,445110,Super 1 Foods,"2800 South Hazel Street, Pine Bluff, AR, 71603",+1-870-535-5098,,34.2008909,-92.0254848,,,w_1030165845,shop=supermarket
"Sheridan, AR",,retail,452319,Dollar General,"2725 Edison Avenue, Benton, AR, 72015",,https://www.dollargeneral.com/store-directory/ar/benton/14792,34.5558255,-92.5542733,,,w_1036128116,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,445110,Walmart Supercenter,"1308 South Rock Street, Sheridan, AR, 72150",+1 870-942-7171,https://www.walmart.com/store/336-sheridan-ar,34.291396,-92.3970377,,,w_1066941386,"shop=supermarket, brand=Walmart"
"Sheridan, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/sheridan/7782/,34.2972123,-92.3979901,,,w_1066941395,"shop=variety_store, brand=Dollar Tree"
"Sheridan, AR",,retail,452319,Dollar General,"Springhill Road, AR",,https://www.dollargeneral.com/store-directory/ar/bryant/13365,34.617099,-92.516499,,,w_1091571497,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,446120,TRANQUILITY Spa & Beauty,"3525 AR 5, Bryant, AR, 72019",+1-501-943-7082,,34.616184,-92.5166084,,,w_1091571505,shop=beauty
"Sheridan, AR",,retail,445120,Circle K,"2400 Springhill Road, Bryant, AR, 72022",+1-501-451-7550,,34.6165644,-92.5156276,,,w_1091571519,"shop=convenience, brand=Circle K"
"Sheridan, AR",,retail,445120,Big Red,,,,34.5580505,-92.5779,,,w_1091596573,"shop=convenience, brand=Big Red Stores"
"Sheridan, AR",,retail,445120,Kum & Go,,,,34.584851,-92.5680945,,,w_1091598813,shop=convenience
"Sheridan, AR",,retail,452319,Dollar General,"11510 Mabelvale West Road, Little Rock, AR, 72103",,https://www.dollargeneral.com/store-directory/ar/mabelvale/19339,34.6562236,-92.4057374,,,w_1099339728,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,445120,Freeway Mart,"7515 Baseline Road, Little Rock, AR, 72209",+1-501-565-1132,,34.6692729,-92.3614685,,,w_1122448133,shop=convenience
"Sheridan, AR",,retail,452319,Dollar General,"1225 Military Road, Benton, AR, 72015",+1-501-408-2410,https://www.dollargeneral.com/store-directory/ar/benton/9420,34.5753961,-92.5779511,,,w_1125019113,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,445120,E-Z Mart,"1007 Military Road, Benton, AR, 72015",+1-501-778-6068,,34.5726822,-92.5810609,,,w_1125019115,shop=convenience
"Sheridan, AR",,retail,445110,Harps,"1515 AR 5, Benton, AR, 72019",+1-501-794-0820,,34.609067,-92.5399345,,,w_1126103442,"shop=supermarket, brand=Harps"
"Sheridan, AR",,retail,445110,Harps,,,,34.5291799,-92.6450617,,,w_1134534184,"shop=supermarket, brand=Harps"
"Sheridan, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/haskell/11439,34.5306053,-92.645579,,,w_1134534186,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,445120,Site Oil,"12024 Vimy Ridge Road, Alexander, AR, 72002",+1-501-313-5421,,34.6414941,-92.4169074,,,w_1136379336,shop=convenience
"Sheridan, AR",,retail,445110,Edward's Food Giant,"10320 Stagecoach Road, Little Rock, AR, 72210",+1-501-455-3475,https://www.edwardsfoodgiant.com/stores/edwards-food-giant-3475,34.65763,-92.4275917,,,w_1164501104,shop=supermarket
"Sheridan, AR",,retail,445120,QuikTrip,"12115 Otter Creek Road, Little Rock, AR, 72210",,,34.6550992,-92.4124609,,,w_1164685655,"shop=convenience, brand=QuikTrip"
"Sheridan, AR",,retail,445120,Circle K,"Vimy Ridge Road, Alexander, AR, 72002",,,34.626989,-92.4163063,,,w_1165156764,"shop=convenience, brand=Circle K"
"Sheridan, AR",,retail,452319,Dollar General,"Vimy Ridge Road, Alexander, AR, 72002",,https://www.dollargeneral.com/store-directory/ar/alexander/293,34.6276889,-92.4161148,,,w_1165156765,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,445120,Murphy USA,"1312 South Rock Street, Sheridan, AR, 72150",,,34.290053,-92.398173,,,w_1165475568,"shop=convenience, brand=Murphy USA"
"Sheridan, AR",,retail,446120,L V Nails N Spa,"1310 South Rock Street, Sheridan, AR, 72150",,,34.2905345,-92.3983721,,,w_1165970410,shop=beauty
"Sheridan, AR",,retail,445120,Circle K,"2501 Northlake Road, Benton, AR, 72019",,,34.6496685,-92.5151196,,,w_1175223850,"shop=convenience, brand=Circle K"
"Sheridan, AR",,retail,445120,Road Runner,"Bryant, AR",,,34.6206469,-92.4962352,,,w_1175223852,shop=convenience
"Sheridan, AR",,retail,445120,Road Runner,"13400 I-30 Frontage Road, Little Rock, AR, 72210",+1 501 891-6756,,34.6421359,-92.4431474,,,w_1175223855,shop=convenience
"Sheridan, AR",,retail,445120,Circle K,"7701 Hwy 5 N, Bryant, AR",+1-501-451-7539,,34.6373155,-92.4726266,,,w_1178516729,"shop=convenience, brand=Circle K"
"Sheridan, AR",,retail,445120,Circle K,"North Reynolds Road, Bryant",,,34.6093965,-92.4937131,,,w_1178624074,"shop=convenience, brand=Circle K"
"Sheridan, AR",,retail,445120,Big Red,"1524 South Reynolds Road, Bryant, 72022",,,34.5816891,-92.4954552,,,w_1178624076,"shop=convenience, brand=Big Red Stores"
"Sheridan, AR",,retail,445120,Big Red,"11209 AR-229, Leola, AR, 72084",+1 501-451-7535,,34.17711,-92.5928309,,,w_1185082053,"shop=convenience, brand=Big Red Stores"
"Sheridan, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/leola/23692,34.1762503,-92.5913115,,,w_1185433903,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,452319,Dollar General,"9209 Sulphur Springs Road, Pine Bluff, AR, 71603",,https://www.dollargeneral.com/store-directory/ar/pine-bluff/14570,34.180016,-92.1250303,,,w_1198544142,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/white-hall/14510,34.3491614,-92.1429182,,,w_1198544145,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/redfield/3775,34.4401806,-92.1924856,,,w_1198544148,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/20887,34.1244716,-92.12649,,,w_1200912874,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/16111,34.1867995,-92.0679876,,,w_1200912875,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/17491,34.1649237,-92.0236024,,,w_1200912878,"shop=variety_store, brand=Dollar General"
"Sheridan, AR",,retail,452319,Dollar General,"1414 East Harding Avenue, Pine Bluff, AR, 71601",,https://www.dollargeneral.com/store-directory/ar/pine-bluff/3737,34.2123817,-91.988428,,,w_1201244785,"shop=variety_store, brand=Dollar General"
