Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Sparkman, AR",,retail,445120,The Corner,,,,33.7233902,-92.6185576,,,n_4501765689,shop=convenience
"Sparkman, AR",,retail,453110,Camden Flower Shop,"1265 Cash Road Southwest, Camden, AR, 71701",+1-870-836-5041,https://www.camdenflowershop.com/,33.5612264,-92.8528702,,,n_5773184375,shop=florist
"Sparkman, AR",,retail,445110,Brookshire's,"2750 Pine Street, Arkadelphia, AR, 71923",+1-870-246-6167,,34.1222744,-93.08485,,,n_6104212837,"shop=supermarket, brand=Brookshire's"
"Sparkman, AR",,retail,445110,Brookshire's,"1345 Country Club Road, Camden, AR, 71701",+1-870-836-3900,,33.5754709,-92.853449,,,n_6104521473,shop=supermarket
"Sparkman, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/arkadelphia/2737/,34.1199305,-93.0936929,,,n_8821413819,"shop=variety_store, brand=Dollar Tree"
"Sparkman, AR",,retail,446120,Salon 620,,,,34.1228301,-93.0788009,,,n_10086764126,shop=beauty
"Sparkman, AR",,retail,445210,The Salt and Grain,,,,34.1231098,-93.0632157,,,n_10154787056,shop=butcher
"Sparkman, AR",,retail,446120,Radiani Sun Solutions,,,,34.1229883,-93.0629542,,,n_10154787058,shop=beauty
"Sparkman, AR",,retail,445120,Winner's Circle #6,,,,34.1212782,-93.0567807,,,n_10162028235,shop=convenience
"Sparkman, AR",,retail,452319,Eddie Clark's,,,,34.1194717,-93.0542076,,,n_10166461292,shop=general
"Sparkman, AR",,retail,446120,Lucy & Co. Boutique And Salon,,,,34.1197292,-93.0544236,,,n_10169088659,shop=beauty
"Sparkman, AR",,retail,445120,Littlefield Express,,,,33.6115489,-92.764313,,,n_11134782390,shop=convenience
"Sparkman, AR",,retail,445120,,,,,34.1190439,-93.0907046,,,n_12166280033,shop=convenience
"Sparkman, AR",,retail,445120,Road Runner,,,,34.1175161,-93.0953343,,,n_12166280034,shop=convenience
"Sparkman, AR",,retail,453110,Mary & Martha's Florist & Gifts,"800 Clinton Street, Arkadelphia, AR, 71923",,https://www.maryandmarthasflorist.com/,34.1205385,-93.0557215,,,n_12292021171,shop=florist
"Sparkman, AR",,retail,445110,Walmart Supercenter,"109 Wp Malone Drive, Arkadelphia, AR, 71923",+1 870-246-2459,https://www.walmart.com/store/318-arkadelphia-ar,34.1197576,-93.0965632,,,w_486412477,"shop=supermarket, brand=Walmart, operator=Walmart"
"Sparkman, AR",,retail,452319,Family Dollar,,,,33.7235109,-92.6192645,,,w_795095924,"shop=variety_store, brand=Family Dollar"
"Sparkman, AR",,retail,445120,Winner's Circle,"3120 Pine Street, Arkadelphia, AR, 71923",,,34.118372,-93.0960303,,,w_953058962,shop=convenience
"Sparkman, AR",,retail,445120,Arkadelphia Express,"490 Caney Road, Arkadelphia, AR, 71923",,,34.2346791,-93.0062798,,,w_953602687,shop=convenience
"Sparkman, AR",,retail,445310,Celebrations Fine Wine & Spirits,,,,34.1425158,-93.0610179,,,w_1008012855,shop=wine
"Sparkman, AR",,retail,445110,Walmart Supercenter,"950 California Avenue Southwest, Camden, AR, 71701",+1 870-836-8000,https://www.walmart.com/store/171-camden-ar,33.5672014,-92.8368922,,,w_1066333113,"shop=supermarket, brand=Walmart, operator=Walmart"
"Sparkman, AR",,retail,452210,Sears Hometown,,,,34.1188437,-93.0861792,,,w_1074580314,"shop=department_store, brand=Sears Hometown"
"Sparkman, AR",,retail,445120,Big Red,,,,34.118199,-93.0875879,,,w_1095374582,"shop=convenience, brand=Big Red Stores"
"Sparkman, AR",,retail,445310,Lucky Liquor,,,,34.1192792,-93.0873543,,,w_1101010315,shop=beverages
"Sparkman, AR",,retail,446120,Silhouette Shop,,,,34.1226539,-93.0795079,,,w_1102306018,shop=beauty
"Sparkman, AR",,retail,446120,Tony's Nails,,,,34.121746,-93.0801872,,,w_1102306021,shop=beauty
"Sparkman, AR",,retail,453991,Tobacco World,"2400 Pine Street, arkadelphia, AR, 71923",,,34.123336,-93.0786171,,,w_1102314973,shop=tobacco
"Sparkman, AR",,retail,445120,Phillips 66,,,https://www.phillips66gas.com/station/P66-WINNERS-CIRCLE-6-0000866381/,34.1212531,-93.056782,,,w_1110738630,"shop=convenience, brand=Phillips 66"
"Sparkman, AR",,retail,446120,Gossip Shop,,+18702462330,,34.1197611,-93.0519898,,,w_1113133206,shop=beauty
"Sparkman, AR",,retail,452210,Walmart,"1123 Highway 79 167 Bypass, Fordyce, AR, 71742",+1-870-352-5167,https://www.walmart.com/store/339-fordyce-ar,33.8204634,-92.4355726,,,w_1158558915,"shop=department_store, brand=Walmart, operator=Walmart"
"Sparkman, AR",,retail,445120,Pilot,,,,34.1866454,-93.0701979,,,w_1158702964,"shop=convenience, brand=Pilot"
"Sparkman, AR",,retail,445310,Local Wine and Spirits,,,,34.189356,-93.0719601,,,w_1158753463,shop=beverages
"Sparkman, AR",,retail,445310,DeGray Liquor,,+18704030068,,34.213782,-93.0845254,,,w_1159130596,shop=beverages
"Sparkman, AR",,retail,445120,Big Red,"11209 AR-229, Leola, AR, 72084",+1 501-451-7535,,34.17711,-92.5928309,,,w_1185082053,"shop=convenience, brand=Big Red Stores"
"Sparkman, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/leola/23692,34.1762503,-92.5913115,,,w_1185433903,"shop=variety_store, brand=Dollar General"
"Sparkman, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/gurdon/10572,33.9154007,-93.1483348,,,w_1200733565,"shop=variety_store, brand=Dollar General"
