Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Staves, AR",,retail,445110,Super 1 Foods,"1605 East Harding Avenue, Pine Bluff, AR, 71601",+1-870-536-1889,,34.2138543,-91.9845917,,,n_6106892940,shop=supermarket
"Staves, AR",,retail,445110,Super 1 Foods,"5805 Dollarway Road, Pine Bluff, AR, 71602",+1-870-247-5916,,34.2485317,-92.0676676,,,n_6106945932,shop=supermarket
"Staves, AR",,retail,445120,Speedway,"1313 East Harding Avenue, Pine Bluff, AR, 71601",,,34.2131589,-91.9898793,,,n_8925253183,"shop=convenience, brand=Speedway"
"Staves, AR",,retail,445120,,,,,34.2607096,-92.1006796,,,n_11352242741,shop=convenience
"Staves, AR",,retail,445110,Mad Butcher,920 West 4th Street,,,33.8134195,-92.4221453,,,n_12000069800,shop=supermarket
"Staves, AR",,retail,445110,Super 1 Foods,"2721 South Camden Road, Pine Bluff, AR, 71603",,,34.2023331,-92.0467765,,,w_893585402,shop=supermarket
"Staves, AR",,retail,452319,Dollar General,"2500 South Camden Road, Pine Bluff, AR, 71603",,https://www.dollargeneral.com/store-directory/ar/pine-bluff/3895,34.2043256,-92.0465815,,,w_893585403,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,445120,Super Stop,"101 North Blake Street, Pine Bluff, AR, 71601",,,34.2305076,-92.0429354,,,w_893586117,shop=convenience
"Staves, AR",,retail,445110,Super 1 Foods,"2800 South Hazel Street, Pine Bluff, AR, 71603",+1-870-535-5098,,34.2008909,-92.0254848,,,w_1030165845,shop=supermarket
"Staves, AR",,retail,445110,Walmart Supercenter,"1308 South Rock Street, Sheridan, AR, 72150",+1 870-942-7171,https://www.walmart.com/store/336-sheridan-ar,34.291396,-92.3970377,,,w_1066941386,"shop=supermarket, brand=Walmart"
"Staves, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/sheridan/7782/,34.2972123,-92.3979901,,,w_1066941395,"shop=variety_store, brand=Dollar Tree"
"Staves, AR",,retail,452210,Walmart,"1123 Highway 79 167 Bypass, Fordyce, AR, 71742",+1-870-352-5167,https://www.walmart.com/store/339-fordyce-ar,33.8204634,-92.4355726,,,w_1158558915,"shop=department_store, brand=Walmart, operator=Walmart"
"Staves, AR",,retail,445120,Murphy USA,"1312 South Rock Street, Sheridan, AR, 72150",,,34.290053,-92.398173,,,w_1165475568,"shop=convenience, brand=Murphy USA"
"Staves, AR",,retail,446120,L V Nails N Spa,"1310 South Rock Street, Sheridan, AR, 72150",,,34.2905345,-92.3983721,,,w_1165970410,shop=beauty
"Staves, AR",,retail,445120,Big Red,"11209 AR-229, Leola, AR, 72084",+1 501-451-7535,,34.17711,-92.5928309,,,w_1185082053,"shop=convenience, brand=Big Red Stores"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/leola/23692,34.1762503,-92.5913115,,,w_1185433903,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/rison/4939,33.9578179,-92.2009677,,,w_1198544139,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,"9209 Sulphur Springs Road, Pine Bluff, AR, 71603",,https://www.dollargeneral.com/store-directory/ar/pine-bluff/14570,34.180016,-92.1250303,,,w_1198544142,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/white-hall/14510,34.3491614,-92.1429182,,,w_1198544145,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/20887,34.1244716,-92.12649,,,w_1200912874,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/16111,34.1867995,-92.0679876,,,w_1200912875,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/17491,34.1649237,-92.0236024,,,w_1200912878,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/rison/22759,33.8215744,-92.0033239,,,w_1200994283,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/20640,34.1024452,-91.993027,,,w_1200994291,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/rison/16551,33.9357348,-92.0296029,,,w_1200994294,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/7130,34.1956553,-91.9401214,,,w_1201244748,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,"1414 East Harding Avenue, Pine Bluff, AR, 71601",,https://www.dollargeneral.com/store-directory/ar/pine-bluff/3737,34.2123817,-91.988428,,,w_1201244785,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,445110,Walmart Supercenter,"5501 South Olive Street, Pine Bluff, AR, 71603",+1 870-534-7054,https://www.walmart.com/store/3331-pine-bluff-ar,34.1737922,-92.0030599,,,w_1201244791,"shop=supermarket, brand=Walmart"
"Staves, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/pine-bluff/4825/,34.1755681,-92.0073652,,,w_1201244805,"shop=variety_store, brand=Dollar Tree"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/14257,34.1982524,-92.0074202,,,w_1201244807,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Ollie's Bargain Outlet,,,,34.1994286,-92.0058889,,,w_1201244808,"shop=variety_store, brand=Ollie's Bargain Outlet"
"Staves, AR",,retail,452319,Family Dollar,,,,34.2013355,-92.0347565,,,w_1201244826,"shop=variety_store, brand=Family Dollar"
"Staves, AR",,retail,445110,Food Smart,,,,34.202623,-92.0354841,,,w_1201244828,shop=supermarket
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/16577,34.2370785,-92.0186424,,,w_1201244829,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pine-bluff/11365,34.2420655,-92.0571218,,,w_1201244830,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/sheridan/20470,34.2405442,-92.4054907,,,w_1201884255,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/sheridan/230,34.3197613,-92.3963057,,,w_1201884261,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/sheridan/17158,34.3125274,-92.4172128,,,w_1201884262,"shop=variety_store, brand=Dollar General"
"Staves, AR",,retail,445120,Olive Express,,,,34.2064982,-92.0074492,,,w_1212128176,shop=convenience
"Staves, AR",,retail,452319,Dollar General,"White Hall, AR, 71602",,https://www.dollargeneral.com/store-directory/ar/white-hall/13680,34.2670582,-92.115835,,,w_1215943877,"shop=variety_store, brand=Dollar General"
