Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Traskwood, AR",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-1404+albert+pike+rd-hot+springs-ar-71913/id=7283,34.4934183,-93.0846949,,,n_624862739,"shop=chemist, brand=Walgreens, operator=Walgreens"
"Traskwood, AR",,retail,445110,Harvest Foods,,,,34.6286513,-92.5687098,,,n_718928117,shop=supermarket
"Traskwood, AR",,retail,452319,Dollar General,,,,34.6269402,-92.4175897,,,n_1266931066,"shop=variety_store, brand=Dollar General"
"Traskwood, AR",,retail,445310,O'Looney's Wine and Liquor,"3 Rahling Circle, Little Rock, 72223",,https://www.olooneys.com/,34.7697854,-92.4563641,,,n_2112863090,shop=alcohol
"Traskwood, AR",,retail,445110,Edwards Food Giant,,,,34.6688291,-92.3615279,,,n_4373029434,shop=supermarket
"Traskwood, AR",,retail,445110,Walmart Neighborhood Market,"1544 Malvern Avenue, Hot Springs, AR, 71901",+1 501-262-7520,https://www.walmart.com/store/5790-hot-springs-ar,34.4944,-93.0402,,,n_5315596690,"shop=supermarket, brand=Walmart, operator=Walmart"
"Traskwood, AR",,retail,453110,Flowers & Home of Benton/Bryant,"20400 Interstate 30 N, Benton, AR, 72019",,,34.6058356,-92.5413408,,,n_5705790470,shop=florist
"Traskwood, AR",,retail,453110,Flowers & Home of Hot Springs,"245 Cornerstone Boulevard, Hot Springs, AR, 71913",+1-501-525-0444,,34.461027,-93.0600963,,,n_5705797346,shop=florist
"Traskwood, AR",,retail,446120,Rejuvenate Salon,,,,34.6008067,-92.4902186,,,n_7557876320,shop=beauty
"Traskwood, AR",,retail,445110,Edwards Food Giant,"20383 Arch Street, Little Rock, AR 72206",5018888274,,34.5639,-92.3376,,,n_7734868792,shop=supermarket
"Traskwood, AR",,retail,446120,CosmoProf,"4328 Central Avenue, Hot Springs, AR, 71913",+1-501-520-5751,,34.4541998,-93.0739112,,,n_8734255647,shop=beauty
"Traskwood, AR",,retail,445110,,,,,34.6233449,-92.3942055,,,n_8808187787,shop=supermarket
"Traskwood, AR",,retail,446120,Bright Nails,"1900 Martin Luther King Road, Malvern, AR, 72104",,,34.3914708,-92.8295705,,,n_8826290326,shop=beauty
"Traskwood, AR",,retail,452319,Five Below,,+1 501-778-5519,https://locations.fivebelow.com/ar/bryant/7341-alcoa-road,34.603732,-92.5319241,,,n_9033523205,"shop=variety_store, brand=Five Below"
"Traskwood, AR",,retail,446120,CK Nails & Spa,,,,34.6037376,-92.5336,,,n_9033523230,shop=beauty
"Traskwood, AR",,retail,445120,Circle K,,,,34.4645425,-93.0222191,,,n_11142158659,"shop=convenience, brand=Circle K"
"Traskwood, AR",,retail,445120,Circle K,,,,34.463179,-92.9503264,,,n_11142158665,"shop=convenience, brand=Circle K"
"Traskwood, AR",,retail,445120,Superstop,,,,34.3892478,-92.8293956,,,n_11218232471,shop=convenience
"Traskwood, AR",,retail,446120,Merle Norman,,,,34.4604026,-93.0595156,,,n_11278076278,"shop=cosmetics, brand=Merle Norman Cosmetics"
"Traskwood, AR",,retail,446120,Facetyme Facial Bar,"1500 Central Avenue, Hot Springs, AR, 71901",501-463-4405,,34.498341,-93.0570639,,,n_11278076279,shop=beauty
"Traskwood, AR",,retail,445120,Spa City Market,"406 Central Avenue, Hot Springs National Park, AR, 71901",,,34.5133765,-93.0541398,,,n_11427493940,shop=convenience
"Traskwood, AR",,retail,445120,Love's,,,,34.3877399,-92.8464413,,,n_12166267718,"shop=convenience, brand=Love's"
"Traskwood, AR",,retail,446110,Walgreens,"159 East Grand Avenue, Hot Springs, AR, 71901",,,34.5042492,-93.048522,,,n_12769037814,"shop=chemist, brand=Walgreens"
"Traskwood, AR",,retail,445110,Walmart Supercenter,"4019 Central Avenue, Hot Springs, AR, 71913",+1 501-623-7605,https://www.walmart.com/store/261-hot-springs-ar,34.4545877,-93.0604802,,,w_49579023,"shop=supermarket, brand=Walmart, operator=Walmart"
"Traskwood, AR",,retail,445120,Pilot,"7901 Alcoa Road, Benton, AR, 72019",,,34.6083518,-92.5333538,,,w_264987546,"shop=convenience, brand=Pilot"
"Traskwood, AR",,retail,445110,Walmart Supercenter,"1601 Albert Pike Road, Hot Springs, AR, 71913",+1 501-624-2498,https://www.walmart.com/store/52-hot-springs-ar,34.4908937,-93.0893565,,,w_286984415,"shop=supermarket, brand=Walmart, operator=Walmart"
"Traskwood, AR",,retail,452210,Big Lots,"207 Airport Road, Hot Springs National Park, AR, 71913",+1 501-318-0956,https://local.biglots.com/ar/hot-springs-national-park/207-airport-rd,34.4893507,-93.0863528,,,w_286984425,"shop=department_store, brand=Big Lots"
"Traskwood, AR",,retail,445110,Walmart Supercenter,"700 Bowman Road, Little Rock, AR, 72211",+1 501-859-8703,https://www.walmart.com/store/5706-little-rock-ar,34.7484187,-92.4105258,,,w_361402080,"shop=supermarket, brand=Walmart, operator=Walmart"
"Traskwood, AR",,retail,452319,Five Below,,+1 501-821-0171,https://locations.fivebelow.com/ar/little-rock/16105-chenal-parkway,34.7562007,-92.4478266,,,w_388148500,"shop=variety_store, brand=Five Below"
"Traskwood, AR",,retail,445110,Kroger Marketplace,,,https://www.kroger.com/stores/grocery/ar/little-rock/chenal-marketplace/025/00623,34.7561359,-92.4491151,,,w_388148503,"shop=supermarket, brand=Kroger"
"Traskwood, AR",,retail,445120,,,,,34.7557022,-92.4428903,,,w_388148507,shop=convenience
"Traskwood, AR",,retail,445120,,,,,34.6709991,-92.4189578,,,w_441805614,shop=convenience
"Traskwood, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/little-rock/11727,34.6689639,-92.4186553,,,w_441805615,"shop=variety_store, brand=Dollar General"
"Traskwood, AR",,retail,445120,Circle K,"10501 Stagecoach Road, Little Rock, AR, 72210",+1-501-451-7564,,34.6554468,-92.4258447,,,w_441805623,"shop=convenience, brand=Circle K"
"Traskwood, AR",,retail,452210,JCPenney,"2600 South Shackleford Road, Little Rock, AR, 72205",+1-501-224-0347,,34.7329211,-92.3975898,,,w_454296894,"shop=department_store, brand=JCPenney"
"Traskwood, AR",,retail,445110,Walmart Supercenter,"2700 South Shackleford Road, Little Rock, AR, 72205",+1 501-223-0604,https://www.walmart.com/store/126-little-rock-ar,34.7282874,-92.3977986,,,w_454296903,"shop=supermarket, brand=Walmart, operator=Walmart"
