Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Viola, AR",,retail,445120,On the Run,,,,36.3326516,-92.3802109,,,n_1258813039,"shop=convenience, brand=On the Run"
"Viola, AR",,retail,452319,Dollar Tree,"1405 Mitchell Road, West Plains, MO, 65775",(417) 256-1604,https://www.dollartree.com/locations/mo/west-plains/3534/,36.7119384,-91.8776603,,,n_5688847746,"shop=variety_store, brand=Dollar Tree"
"Viola, AR",,retail,452210,American Freight,,,,36.7123548,-91.8731931,,,n_5693229557,"shop=department_store, brand=American Freight"
"Viola, AR",,retail,452210,Big Lots,"1362 Southern Hills Center, West Plains, MO, 65775",+1 417-257-2527,https://local.biglots.com/mo/west-plains/1362-southern-hills-ctr,36.7126661,-91.8732183,,,n_5693229558,"shop=department_store, brand=Big Lots"
"Viola, AR",,retail,446191,JB's HealthMart,,,,36.7108445,-91.8746628,,,n_5693371765,shop=health_food
"Viola, AR",,retail,446120,LA Nails,,417-256-0511,,36.7107441,-91.8749255,,,n_5693371768,shop=beauty
"Viola, AR",,retail,446120,,,,,36.7129461,-91.8762041,,,n_5693371772,shop=beauty
"Viola, AR",,retail,452210,Goodwill,"759 US-62 E, 72653",870-508-0040,,36.3478702,-92.3755695,,,n_9645839217,shop=department_store
"Viola, AR",,retail,452210,Big Lots,"759 Highway 62 East, Mountain Home, AR, 72653",+1 870-425-3017,https://local.biglots.com/ar/mountain-home/759-hwy-62-e,36.3496008,-92.3764565,,,n_11048624672,"shop=department_store, brand=Big Lots"
"Viola, AR",,retail,445310,,,,,36.344664,-92.378651,,,n_11048624680,shop=alcohol
"Viola, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/mountain-home/1065,36.3433609,-92.3825399,,,n_11048624683,"shop=variety_store, brand=Dollar General"
"Viola, AR",,retail,446110,Walgreens,"Mountain Home, AR, 72653",,https://www.walgreens.com/locator/walgreens-350+highway+62+e-mountain+home-ar-72653/id=9743,36.3420618,-92.3815702,,,n_11048624684,"shop=chemist, brand=Walgreens"
"Viola, AR",,retail,445120,Snappy Mart,,,,36.3406357,-92.3857085,,,n_11048624688,shop=convenience
"Viola, AR",,retail,445120,Casey's General Store,,,,36.3404006,-92.3874487,,,n_11048684907,"shop=convenience, brand=Casey's General Store"
"Viola, AR",,retail,445120,Snappy Mart,,,,36.2190308,-91.7564946,,,n_11118415971,shop=convenience
"Viola, AR",,retail,445120,Snappy Mart,,,,36.1486664,-92.1201235,,,n_11164370010,shop=convenience
"Viola, AR",,retail,445120,Lones,,,,36.3439013,-92.3366012,,,n_11164480461,shop=convenience
"Viola, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/mountain-home/2467/,36.3562363,-92.3383087,,,n_11164480710,"shop=variety_store, brand=Dollar Tree"
"Viola, AR",,retail,453991,,"808 West Broadway Street, West Plains, MO, 65775",+1-417-255-1733,,36.7310326,-91.861068,,,n_12098952850,shop=tobacco
"Viola, AR",,retail,446110,Ash Flat Pharmacy,,,,36.2353917,-91.5998454,,,n_13022497723,shop=chemist
"Viola, AR",,retail,445110,ALDI,"1210 Missouri Avenue, West Plains, MO, 65775",+1 855-955-2534,https://stores.aldi.us/mo/west-plains/1210-missouri-ave,36.7428298,-91.870145,,,w_383094080,"shop=supermarket, brand=ALDI"
"Viola, AR",,retail,445110,Walmart Supercenter,"1310 Preacher Roe Boulevard, West Plains, MO, 65775",+1 417-257-2800,https://www.walmart.com/store/15-west-plains-mo,36.714723,-91.8703856,,,w_392186779,"shop=supermarket, brand=Walmart, operator=Walmart"
"Viola, AR",,retail,446120,Illusions Salon & Skin Care Clinic,"114 Washington Avenue, West Plains, MO, 65775",,,36.7289377,-91.852791,,,w_467463328,shop=beauty
"Viola, AR",,retail,453110,West Plains Floral & Balloonery,"211 West Broadway Street, West Plains, MO, 65775",+1-417-256-7192,http://ozarkmtndesigns.com/WPFB/,36.7314304,-91.8542829,,,w_467469797,shop=florist
"Viola, AR",,retail,445310,Mulligans Package Store,,,,36.7367017,-91.8660214,,,w_467769227,shop=alcohol
"Viola, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/mo/west-plains/7371,36.7420961,-91.8701769,,,w_468859937,"shop=variety_store, brand=Dollar General"
"Viola, AR",,retail,445310,Party Pantry,,,,36.7421383,-91.8732883,,,w_468892294,shop=alcohol
"Viola, AR",,retail,452319,Family Dollar,,,,36.7411197,-91.870608,,,w_468904380,"shop=variety_store, brand=Family Dollar"
"Viola, AR",,retail,445120,Casey's General Store,"1510 Preacher Roe Boulevard, West Plains, MO, 65775",,,36.7104485,-91.8752904,,,w_469083441,"shop=convenience, brand=Casey's General Store"
"Viola, AR",,retail,445230,The Truck Patch Natural Market,"412 Porter Wagoner Boulevard, West Plains, MO, 65775",+1-417-372-8970,https://thetruckpatch.com/,36.7317244,-91.8635048,,,w_469420701,shop=greengrocer
"Viola, AR",,retail,445120,Parkside Pantry,"312 Porter Wagoner Boulevard, West Plains, MO, 65775",+1-417-256-2899,,36.7307304,-91.8636202,,,w_469492582,shop=convenience
"Viola, AR",,retail,445120,Casey's General Store,,,,36.7315849,-91.8564321,,,w_469705460,"shop=convenience, brand=Casey's General Store"
