Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Weldon, AR",,retail,445120,Phillips 66,,,https://www.phillips66gas.com/station/P66-LITTLEFIELD-EXPRESS-15-0000885927/,35.3236218,-91.561102,,,n_835039395,"shop=convenience, amenity=fuel, brand=Phillips 66"
"Weldon, AR",,retail,452319,Dollar General,"903 Edmonds Avenue, Mc Crory, AR, 72101",,https://www.dollargeneral.com/store-directory/ar/mccrory/17323,35.2674088,-91.1989874,,,n_1268062669,"shop=variety_store, brand=Dollar General"
"Weldon, AR",,retail,445120,Doublebees,,,,35.702331,-91.4581526,,,n_11163449410,shop=convenience
"Weldon, AR",,retail,445120,,,,,35.7331602,-91.1973287,,,n_12547996988,shop=convenience
"Weldon, AR",,retail,445120,,"Bald Knob, AR",,,35.3209497,-91.560674,,,w_69843487,shop=convenience
"Weldon, AR",,retail,445110,Walmart Supercenter,"1211 Highway 367 North, Newport, AR, 72112",+1 870-523-2500,https://www.walmart.com/store/18-newport-ar,35.6178916,-91.2549348,,,w_1021317850,"shop=supermarket, brand=Walmart, operator=Walmart"
"Weldon, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/bald-knob/4721,35.323667,-91.5622262,,,w_1203123866,"shop=variety_store, brand=Dollar General"
"Weldon, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/bradford/11621,35.4215123,-91.4494457,,,w_1203123873,"shop=variety_store, brand=Dollar General"
"Weldon, AR",,retail,452319,Dollar General,,,,35.7140164,-91.2105195,,,w_1204346383,"shop=variety_store, brand=Dollar General"
"Weldon, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/newark/7116,35.702501,-91.4477521,,,w_1204486468,"shop=variety_store, brand=Dollar General"
"Weldon, AR",,retail,452319,Dollar General,"Bald Knob, AR, 72010",,https://www.dollargeneral.com/store-directory/ar/bald-knob/17716,35.4127022,-91.577015,,,w_1216406530,"shop=variety_store, brand=Dollar General"
"Weldon, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/weiner/18859,35.6257963,-90.8946691,,,w_1216406560,"shop=variety_store, brand=Dollar General"
"Weldon, AR",,retail,445120,,"US 167, Bald Knob, AR",,,35.3216881,-91.5623204,,,w_1378373209,shop=convenience
