Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Woodlawn, AR",,retail,445120,Big Al's,,,,35.2032659,-91.7768432,,,n_1157687000,shop=convenience
"Woodlawn, AR",,retail,452319,Dollar Tree,"204 South Rockwood Road, Cabot, AR, 72023",,https://www.dollartree.com/locations/ar/cabot/1062/,34.979291,-92.039572,,,n_3256825289,"shop=variety_store, brand=Dollar Tree"
"Woodlawn, AR",,retail,445120,,,,,34.9821193,-92.0709133,,,n_3256836644,shop=convenience
"Woodlawn, AR",,retail,446120,City Nails,,,,34.9763842,-92.0230299,,,n_5276522349,shop=beauty
"Woodlawn, AR",,retail,446120,Merle Norman,,,,34.9766224,-92.0255163,,,n_5276562214,"shop=cosmetics, brand=Merle Norman Cosmetics"
"Woodlawn, AR",,retail,452210,Sears,,,,34.9748803,-92.0246257,,,n_5278786932,"shop=department_store, brand=Sears"
"Woodlawn, AR",,retail,446120,Ultratan of Cabot/Jeans Etc.,,,,34.9749166,-92.0243602,,,n_5278786933,shop=beauty
"Woodlawn, AR",,retail,453991,Tobacco Store,,,,34.9754051,-92.0199555,,,n_5278786945,shop=tobacco
"Woodlawn, AR",,retail,453110,Jacksonville Florist & Gifts,"511 North 1st Street, Jacksonville, AR, 72076",+1-501-982-6596,https://www.jacksonvilleflorist.com/,34.8718395,-92.1087949,,,n_5792007657,shop=florist
"Woodlawn, AR",,retail,445120,Superstop,,,,34.7773859,-92.2012792,,,n_5812723042,shop=convenience
"Woodlawn, AR",,retail,445120,Win’s Mart,"2511 HWY 161, North Little Rock, AR, 72117",,,34.7767217,-92.201556,,,n_5812723044,shop=convenience
"Woodlawn, AR",,retail,445120,,,,,34.7774496,-92.2025723,,,n_5812723045,shop=convenience
"Woodlawn, AR",,retail,445120,,,,,34.7765649,-92.2002714,,,n_5812723047,shop=convenience
"Woodlawn, AR",,retail,445310,,,,,34.7770329,-92.2017599,,,n_5812723048,shop=alcohol
"Woodlawn, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/sherwood/1575/,34.8200237,-92.2379477,,,n_7234483817,"shop=variety_store, brand=Dollar Tree"
"Woodlawn, AR",,retail,445310,,,,,34.8215026,-92.234359,,,n_7234484092,shop=alcohol
"Woodlawn, AR",,retail,446120,,,,,34.8187632,-92.2374532,,,n_7234511376,shop=beauty
"Woodlawn, AR",,retail,445310,107 Liquor,,,,34.8328081,-92.2326695,,,n_7234519016,shop=alcohol
"Woodlawn, AR",,retail,446120,,,,,34.8212606,-92.2335242,,,n_7253719693,shop=beauty
"Woodlawn, AR",,retail,445110,Kroger,"4401 Camp Robinson Road, North Little Rock, AR, 72118",+1 501-758-6360,https://www.kroger.com/stores/grocery/ar/north-little-rock/camp-robinson/025/00638,34.7950914,-92.2727776,,,n_7732259994,"shop=supermarket, brand=Kroger"
"Woodlawn, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/north-little-rock/13767,34.7963657,-92.2713413,,,n_7932362073,"shop=variety_store, brand=Dollar General"
"Woodlawn, AR",,retail,446120,Merle Norman,,,,34.9763874,-92.0301083,,,n_8268149129,"shop=cosmetics, brand=Merle Norman Cosmetics"
"Woodlawn, AR",,retail,446110,Palace Drug Store,,,,34.9766099,-91.49585,,,n_9023125504,shop=chemist
"Woodlawn, AR",,retail,452319,Dollar Tree,,,,34.9774484,-91.5108179,,,n_9023125506,"shop=variety_store, brand=Dollar Tree"
"Woodlawn, AR",,retail,445110,City Market,,,,34.9768765,-91.5080303,,,n_9023125508,shop=supermarket
"Woodlawn, AR",,retail,445120,Chunky Munky,,,,34.9768134,-91.5076427,,,n_9023125509,shop=convenience
"Woodlawn, AR",,retail,445110,Ring Glo,,,,34.9769212,-91.5108852,,,n_9023125510,shop=supermarket
"Woodlawn, AR",,retail,446120,Arkansas Laser & Skin Care,"308 Smokey Ln, North Little Rock, AR, 72117",+1-501-771-0445,https://arkansaslaserandskincare.com,34.793311,-92.2158189,,,n_9695627665,"shop=beauty, operator=Lami Garlapati"
"Woodlawn, AR",,retail,445120,Main Shoppette,"1035 Redmond Road, Jacksonville, AR, 72099",,,34.8953153,-92.1353318,,,n_10682152988,shop=convenience
"Woodlawn, AR",,retail,452210,Base Exchange,,,,34.9007969,-92.1497442,,,n_10691702873,"shop=department_store, operator=AAFES"
"Woodlawn, AR",,retail,445110,Commisary,,,,34.899863,-92.1503416,,,n_10691702874,shop=supermarket
"Woodlawn, AR",,retail,446120,Star Nails & Spa,411 South Main Street,+1 501-203-4398,,35.2449721,-91.7372588,,,n_10982862017,shop=beauty
"Woodlawn, AR",,retail,445120,,,,,35.2605781,-91.7453668,,,n_11503682215,shop=convenience
"Woodlawn, AR",,retail,452319,Dollar General,,,,35.2458712,-91.7804626,,,n_11707307393,"shop=variety_store, brand=Dollar General"
"Woodlawn, AR",,retail,452319,Dollar Tree,1205 West Beebe Capps Expressway,,,35.2432771,-91.7496217,,,n_11756952852,"shop=variety_store, brand=Dollar Tree"
"Woodlawn, AR",,retail,445310,First and Last Chance,,,,34.7836184,-92.1322846,,,n_12166252749,shop=alcohol
"Woodlawn, AR",,retail,445120,Love's,,,,34.7860835,-92.1255399,,,n_12166252750,"shop=convenience, brand=Love's"
"Woodlawn, AR",,retail,445120,,,,,34.7483738,-92.1642129,,,n_12166265832,shop=convenience
"Woodlawn, AR",,retail,445110,Bill's Cash Saver,"600 East Race Avenue, Searcy, AR, 72143",+1 501-279-2919,https://billscashsaver.com/,35.2513025,-91.7316226,,,n_12180579895,shop=supermarket
"Woodlawn, AR",,retail,453110,,,,,35.2511168,-91.7300468,,,n_12180767399,shop=florist
"Woodlawn, AR",,retail,452210,JCPenney,,,,35.249198,-91.6925713,,,n_12324874122,"shop=department_store, brand=JCPenney"
"Woodlawn, AR",,retail,452210,Big Lots,,,,35.2472704,-91.6925932,,,n_12324874124,"shop=department_store, brand=Big Lots"
"Woodlawn, AR",,retail,445120,,,,,35.2509897,-91.7226896,,,n_12351531112,shop=convenience
"Woodlawn, AR",,retail,445120,,,,,34.7322646,-92.1581925,,,n_12361426235,shop=convenience
"Woodlawn, AR",,retail,445120,,,,,35.2467859,-91.7605561,,,n_12433966953,shop=convenience
"Woodlawn, AR",,retail,446120,Jess Lashes Lash Studio,105 East Center Avenue,,,35.2485768,-91.7372525,,,n_12566024178,shop=beauty
"Woodlawn, AR",,retail,452319,Discount Bins,,,,34.8665518,-92.1197229,,,n_12580261654,shop=variety_store
"Woodlawn, AR",,retail,445110,Edwards Cash Saver,"315 South James Street, Jacksonville, AR, 72076",(501) 982-3841,,34.8647495,-92.1207158,,,n_12605436659,shop=supermarket
"Woodlawn, AR",,retail,446120,City Nails,"North 1st Street, Jacksonville, AR, 72076",,,34.886001,-92.10549,,,n_12605437640,shop=beauty
"Woodlawn, AR",,retail,446120,Natural Nails,,,,34.8011085,-92.2553275,,,n_12629094284,shop=beauty
"Woodlawn, AR",,retail,446120,Forever Nails,"906 South Pine Street, Cabot, AR, 72023",,,34.9569578,-92.0096238,,,n_12957236855,shop=beauty
"Woodlawn, AR",,retail,446120,Diva’s Beauty,72076,,,34.8791955,-92.1112724,,,n_12960208601,shop=beauty
"Woodlawn, AR",,retail,453991,Tobacco Outlet,"507 North J P Wright Loop Road, Jacksonville, AR, 72076",,,34.8839016,-92.1068886,,,n_12960214001,shop=tobacco
"Woodlawn, AR",,retail,446120,Le Nails & Spa,"290 South Rockwood Road, Cabot, AR, 72023",,,34.9779662,-92.0389684,,,n_12961193001,shop=beauty
"Woodlawn, AR",,retail,446120,Cabot Nails & Spa,,,,34.9796535,-92.0384869,,,n_12961245062,shop=beauty
"Woodlawn, AR",,retail,446120,Art Nails,,,,34.9816354,-92.0406707,,,n_12961245077,shop=beauty
"Woodlawn, AR",,retail,446191,Good Measure Market,"614 South Main Street, Searcy, AR, 72143",+1 (501) 268-9000,https://www.goodmeasuremarket.com/,35.2428188,-91.7358767,,,n_12980641244,shop=health_food
"Woodlawn, AR",,retail,453991,Tobacco World,,,,34.8686897,-92.1979241,,,n_13023570354,shop=tobacco
"Woodlawn, AR",,retail,446120,Deluxe Nails & Spa,,,,34.8667851,-92.1975664,,,n_13023570364,shop=beauty
"Woodlawn, AR",,retail,445110,Aldi,,,,34.9780172,-92.027272,,,n_13025782101,"shop=supermarket, brand=Aldi"
