Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Ash Fork, AZ",,retail,445110,,,,,35.3273273,-112.8754315,,,n_2886441229,shop=supermarket
"Ash Fork, AZ",,retail,445120,Johnson’s Travel Center,,,,35.3092604,-112.8568673,,,n_8899500279,shop=convenience
"Ash Fork, AZ",,retail,445110,Great Carmania,"732 East Route 66, Williams, AZ, 86046",928-635-5380,,35.2532635,-112.1797229,,,n_12948767751,shop=supermarket
"Ash Fork, AZ",,retail,452319,Historic Route 66 General Store,,,,35.329127,-112.8850414,,,w_161302536,shop=general
"Ash Fork, AZ",,retail,445120,A&W,"527 Chino Street, Seligman, AZ, 86337",,,35.3282662,-112.8853153,,,w_161302550,"shop=convenience, amenity=fast_food, brand=A&W"
"Ash Fork, AZ",,retail,445110,Safeway,"637 West Route 66, Williams, AZ, 86046",+1 928-635-0500,https://local.safeway.com/safeway/az/williams/637-w-route-66.html,35.2480143,-112.1941495,,,w_323011617,"shop=supermarket, brand=Safeway"
"Ash Fork, AZ",,retail,445120,,"1050 North Grand Canyon Boulevard, Williams, AZ, 86040",,,35.2621005,-112.1930845,,,w_323191117,shop=convenience
"Ash Fork, AZ",,retail,445120,Shell,"93 Lewis Avenue, Ash Fork, AZ, 86320",+1 928-637-2268,https://find.shell.com/us/fuel/10071782-93-lewis-ave/en_US,35.2229746,-112.4791895,,,w_323401773,"shop=convenience, brand=Shell"
"Ash Fork, AZ",,retail,445120,Mobil Mart,,,,35.223503,-112.4788307,,,w_323401776,"shop=convenience, brand=Mobil Mart"
"Ash Fork, AZ",,retail,445120,Circle K,"222 West Route 66, Williams, AZ, 86046",,https://www.circlek.com/store-locator/US/williams/222-w-rt-66/2700817,35.2506416,-112.1890495,,,w_497746939,"shop=convenience, brand=Circle K"
"Ash Fork, AZ",,retail,452319,Family Dollar,"155 West Park Avenue, Ash Fork, AZ, 86320",+1 928-255-5183,https://locations.familydollar.com/az/ash-fork/29385/,35.2222856,-112.4807134,,,w_660307119,"shop=variety_store, brand=Family Dollar"
"Ash Fork, AZ",,retail,445120,,,,,35.3282299,-112.8840929,,,w_771084658,"shop=convenience, amenity=fuel, brand=Chevron"
"Ash Fork, AZ",,retail,445120,Trading Post,,,,35.218577,-112.4989647,,,w_838615628,shop=convenience
"Ash Fork, AZ",,retail,445120,,,,,35.2628065,-112.1943027,,,w_1063712863,shop=convenience
"Ash Fork, AZ",,retail,452319,Family Dollar,"901 West Route 66, Williams, AZ, 86046-2229",+1 928-255-5350,https://locations.familydollar.com/az/williams/901-west-route-66,35.2478273,-112.1966369,,,w_1186899358,"shop=variety_store, brand=Family Dollar"
"Ash Fork, AZ",,retail,445120,Maverik,,,https://maverik.com/,35.2609441,-112.1925916,,,w_1342591714,"shop=convenience, brand=Maverik"
