Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Beaver Dam, AZ",,retail,445110,Lin's Marketplace,,,,37.1241369,-113.6249999,,,n_665640809,"shop=supermarket, operator=Associated Food Stores"
"Beaver Dam, AZ",,retail,445110,Harmons,"1189 East 700 South, St. George, UT, 84790",(435) 628-0411,,37.0976125,-113.5583492,,,n_666522743,"shop=supermarket, operator=Harmons"
"Beaver Dam, AZ",,retail,446110,Walgreens,"615 East Saint George Boulevard, 84770",+1(435)673-4305,,37.1105929,-113.5700091,,,n_1936192504,"shop=chemist, brand=Walgreens"
"Beaver Dam, AZ",,retail,445120,,,,,37.1220077,-113.5987318,,,n_2196978019,shop=convenience
"Beaver Dam, AZ",,retail,445120,Maverik,"1880 West Sunset Boulevard, Saint George, UT, 84770",,,37.1233162,-113.6233105,,,n_2270169213,"shop=convenience, brand=Maverik"
"Beaver Dam, AZ",,retail,445110,3 Amigos Market,,,,37.1137395,-113.5960628,,,n_2363699169,shop=supermarket
"Beaver Dam, AZ",,retail,445120,Sinclair,,,,37.1147234,-113.5952854,,,n_2363806332,shop=convenience
"Beaver Dam, AZ",,retail,445110,Boomers Discount Markets,"855 South Bluff Street, St. George, UT",,https://www.tradersdiscountmarkets.com/,37.0929786,-113.584942,,,n_2956932621,shop=supermarket
"Beaver Dam, AZ",,retail,445120,,,,,37.097672,-113.6193616,,,n_3301959705,shop=convenience
"Beaver Dam, AZ",,retail,452319,Dollar General,"922 North Dixie Downs Road, Saint George, UT, 84770",,https://www.dollargeneral.com/store-directory/ut/saint-george/19312,37.1241251,-113.623069,,,n_3355371019,"shop=variety_store, brand=Dollar General"
"Beaver Dam, AZ",,retail,445310,Sno Shack,,,,37.0961308,-113.5676181,,,n_3649811028,shop=beverages
"Beaver Dam, AZ",,retail,446120,About Face Salon & Day Spa,,,,37.0967157,-113.5617468,,,n_3649811037,shop=beauty
"Beaver Dam, AZ",,retail,445120,,,,,37.0966641,-113.5667783,,,n_3658438829,shop=convenience
"Beaver Dam, AZ",,retail,452210,Magnum Liquidation,,+1 435 628 9859,,37.124273,-113.6093647,,,n_3659442346,shop=department_store
"Beaver Dam, AZ",,retail,446120,Sky Nails & Spa,,,,37.0936726,-113.5840748,,,n_3666247941,shop=beauty
"Beaver Dam, AZ",,retail,446120,Merle Norman,,,,37.0942504,-113.584091,,,n_3666247943,"shop=cosmetics, brand=Merle Norman Cosmetics"
"Beaver Dam, AZ",,retail,445120,,,,,37.1273339,-113.6385802,,,n_3684981109,shop=convenience
"Beaver Dam, AZ",,retail,453110,Patches,,,,37.1096162,-113.5753253,,,n_4309748799,shop=florist
"Beaver Dam, AZ",,retail,446120,Image Salon & Spa,,,,37.1102246,-113.5730015,,,n_4406434046,shop=beauty
"Beaver Dam, AZ",,retail,445120,The Market at Dixie,,,,37.1039555,-113.5657358,,,n_4879139749,"shop=convenience, operator=Dixie State University"
"Beaver Dam, AZ",,retail,446120,Chrome Nail Bar,"330 North Sandhill Boulevard, Mesquite, NV, 89027",,https://www.chromenailbar.com/,36.808547,-114.0633819,,,n_4913951781,shop=beauty
"Beaver Dam, AZ",,retail,445110,Harmons,"3520 Pioneer Parkway, Santa Clara, UT, 84765",(435) 773-6200,,37.1483194,-113.6598106,,,n_5192923122,"shop=supermarket, operator=Harmons"
"Beaver Dam, AZ",,retail,445120,Brooks' Stop,,,,37.1054965,-113.5632556,,,n_5485385961,"shop=convenience, operator=Dixie State University"
"Beaver Dam, AZ",,retail,445120,Bloomington Market,,,,37.0598903,-113.5864405,,,n_5924293010,shop=convenience
"Beaver Dam, AZ",,retail,445310,Fiiz Drinks,"2339 S River Rd, St. George, UT 84790",+1 435-656-4349,,37.0684297,-113.5499477,,,n_6554193885,"shop=beverages, brand=Fiiz Drinks"
"Beaver Dam, AZ",,retail,446191,,,,,37.1036464,-113.5679156,,,n_6997825640,shop=health_food
"Beaver Dam, AZ",,retail,445120,,,,,37.0525633,-113.5647218,,,n_7443679193,shop=convenience
"Beaver Dam, AZ",,retail,445120,Eagles Landing,,,,36.7830886,-114.140377,,,n_7647313598,"shop=convenience, brand=Flying J"
"Beaver Dam, AZ",,retail,445120,Speedway,"1925 West Sunset Boulevard, Saint George, UT, 84770",,https://www.speedway.com/locations/UT/St-George/1925-W-Sunset-Blvd,37.1223452,-113.6248903,,,n_8956645848,"shop=convenience, brand=Speedway"
"Beaver Dam, AZ",,retail,445292,Swig,,,,37.1468918,-113.6598279,,,n_9792582141,shop=confectionery
"Beaver Dam, AZ",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ut/santa-clara/8572/,37.1461751,-113.6612317,,,n_9796626996,"shop=variety_store, brand=Dollar Tree"
"Beaver Dam, AZ",,retail,445292,Quench It!,,,,37.1462688,-113.6628643,,,n_9796626997,shop=confectionery
"Beaver Dam, AZ",,retail,452319,Judd's Store,,,https://juddsgeneralstore.co/,37.1083425,-113.5844636,,,n_10940757896,shop=general
