Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Black Canyon City, AZ",,retail,445110,Safeway,"3655 West Anthem Way, Anthem, AZ, 85086",+1 623-745-3800,https://local.safeway.com/safeway/az/anthem/3655-w-anthem-way.html,33.865149,-112.138994,,,n_1707643304,"shop=supermarket, brand=Safeway"
"Black Canyon City, AZ",,retail,445120,Circle K,"620 East Carefree Highway, Phoenix, AZ, 85085",,,33.7998279,-112.0663068,,,n_2011584847,"shop=convenience, brand=Circle K"
"Black Canyon City, AZ",,retail,445120,James P Cleator General Store,,,,34.2779738,-112.234131,,,n_2503074766,shop=convenience
"Black Canyon City, AZ",,retail,445120,4 Son's,,,,33.8718519,-112.1515875,,,n_3055556192,shop=convenience
"Black Canyon City, AZ",,retail,452210,Crown King Curio,,,,34.2060081,-112.3389554,,,n_3726140135,shop=department_store
"Black Canyon City, AZ",,retail,452210,Crown King General Store,,866-632-7911,http://www.crownkingaz.com/crown-king-general-store/,34.2056227,-112.3386795,,,n_3726140137,shop=department_store
"Black Canyon City, AZ",,retail,452210,The Prospector Mall,,928-632-8583,,34.2062556,-112.3393483,,,n_3726140140,shop=department_store
"Black Canyon City, AZ",,retail,445292,Rocky Road Sweet Shop,,,,34.2054593,-112.3387634,,,n_4503117627,shop=confectionery
"Black Canyon City, AZ",,retail,452210,Stagecoach Village,East Cave Creek Road,,,33.8301357,-111.9287275,,,n_4517227091,shop=department_store
"Black Canyon City, AZ",,retail,445110,Fry's Food and Drug,"29455 North Cave Creek Road, Phoenix, AZ, 85331",+1 480-538-7130,https://www.frysfood.com/stores/grocery/az/cave-creek/tatum-cave-creek/660/00474,33.7524897,-111.990638,,,n_6791889237,"shop=supermarket, brand=Fry's Food and Drug"
"Black Canyon City, AZ",,retail,445110,Fry's Marketplace,"2800 West Dove Valley Road, Phoenix, AZ, 85085",+1 480-994-6230,https://www.frysfood.com/stores/details/660/00694,33.7861139,-112.119492,,,n_6852526321,"shop=supermarket, brand=Fry's Food and Drug"
"Black Canyon City, AZ",,retail,445120,Red Rock Springs Farmer's Market,,,,34.0482808,-112.1491126,,,n_7689295909,shop=convenience
"Black Canyon City, AZ",,retail,445120,,,,,33.7986984,-112.0675914,,,n_8595363570,shop=convenience
"Black Canyon City, AZ",,retail,453991,Hecho A Mano Cigar Lounge,,,,33.7982413,-111.9308662,,,n_8893289675,shop=tobacco
"Black Canyon City, AZ",,retail,446120,Arizona Fashion Nails,"34522 North Scottsdale Road, Scottsdale, AZ, 85266",,,33.7988188,-111.9308752,,,n_8893289702,shop=beauty
"Black Canyon City, AZ",,retail,445210,The Meat Market,"37636 North Tom Darlington Drive, Carefree, AZ, 85377",,,33.827481,-111.9241079,,,n_8896195429,shop=butcher
"Black Canyon City, AZ",,retail,452319,Desert Donkey,,,,33.8259833,-111.9241057,,,n_8910602177,shop=general
"Black Canyon City, AZ",,retail,453991,Sticks Golf & Cigar Lounge,,,,33.8259369,-111.9223372,,,n_8910662799,shop=tobacco
"Black Canyon City, AZ",,retail,453110,Cactus Flower Florist,"36889 North Tom Darlington Drive, Carefree, AZ, 85377",,,33.8206307,-111.9238394,,,n_8910849020,shop=florist
"Black Canyon City, AZ",,retail,446120,Beauty & Bliss,"36889 North Tom Darlington Drive, Carefree, AZ, 85377",,,33.8206585,-111.9237389,,,n_8910849024,shop=beauty
"Black Canyon City, AZ",,retail,446120,Kelly Nail & Spa,"32607 North Scottsdale Road, Scottsdale, AZ, 85266",,,33.781578,-111.9223829,,,n_8912461495,shop=beauty
"Black Canyon City, AZ",,retail,446120,Merle Norman,"32531 North Scottsdale Road, Scottsdale, AZ, 85266",,,33.7804596,-111.9236782,,,n_8912461536,"shop=cosmetics, brand=Merle Norman Cosmetics"
"Black Canyon City, AZ",,retail,446120,Summit Aesthetics,"32421 North Scottsdale Road, Scottsdale, AZ, 85266",,,33.7799485,-111.924738,,,n_8912461637,shop=beauty
"Black Canyon City, AZ",,retail,446120,Bath & Body Works,"32409 North Scottsdale Road, Scottsdale, AZ, 85266",,,33.779937,-111.9235296,,,n_8912461713,"shop=cosmetics, brand=Bath & Body Works"
"Black Canyon City, AZ",,retail,446120,Happy Feet Nails & Spa 2,,,,33.7689563,-111.9237657,,,n_8912536008,shop=beauty
