Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Blackwater, AZ",,retail,445210,Pork Shop,"3359 East Combs Road, San Tan Valley, AZ, 85140",,,33.21975,-111.5298,,,n_293034037,shop=butcher
"Blackwater, AZ",,retail,445110,Safeway,"1449 North Arizona Boulevard, Coolidge, AZ, 85128",+1 520-723-5300,https://local.safeway.com/safeway/az/coolidge/1449-n-arizona-blvd.html,32.9938537,-111.521636,,,n_672990484,"shop=supermarket, brand=Safeway"
"Blackwater, AZ",,retail,445310,Total Wine,"2224 East Williams Field Road, Gilbert, AZ, 85295",+1 480-786-0270,https://www.totalwine.com/store-info/1005,33.3083195,-111.7422316,,,n_1457107425,"shop=alcohol, brand=Total Wine"
"Blackwater, AZ",,retail,446120,Celebrity Tanning,"1901 South Signal Butte Road, Mesa, AZ, 85209",,,33.3812911,-111.5988997,,,n_2216786618,shop=beauty
"Blackwater, AZ",,retail,446120,Tips n Toes Nail Spa,"21582 South Ellsworth Loop Road, Queen Creek, AZ, 85142",+1 480 882-1964,http://tipsntoesnailspa.com/,33.2521596,-111.6382837,,,n_2279247721,shop=beauty
"Blackwater, AZ",,retail,446120,CreativTouch Nails & Spa,"20928 East Heritage Loop Road, Queen Creek, AZ, 85242",,,33.2515527,-111.6318855,,,n_2317034462,shop=beauty
"Blackwater, AZ",,retail,445120,,,,,32.9091819,-111.7392812,,,n_2686022029,shop=convenience
"Blackwater, AZ",,retail,445120,,,,,32.8936075,-111.7405602,,,n_2686022035,shop=convenience
"Blackwater, AZ",,retail,445120,,,,,32.8801677,-111.6906414,,,n_3158788556,shop=convenience
"Blackwater, AZ",,retail,445110,Safeway,"1637 North Trekell Road, Casa Grande, AZ, 85122",+1 520-421-7447,https://local.safeway.com/safeway/az/casa-grande/1637-n-trekell-rd.html,32.8953136,-111.7415564,,,n_3158796084,"shop=supermarket, brand=Safeway"
"Blackwater, AZ",,retail,445120,,,,,32.893769,-111.7482391,,,n_3161785847,shop=convenience
"Blackwater, AZ",,retail,445120,,,,,32.940876,-111.7559626,,,n_3169767269,shop=convenience
"Blackwater, AZ",,retail,445120,Shell,"7138 East United States Highway 60, Gold Canyon, AZ, 85118",,,33.3584832,-111.4672155,,,n_3367461527,"shop=convenience, brand=Shell"
"Blackwater, AZ",,retail,445120,Petro,,,,32.8124916,-111.6700129,,,n_4714049287,shop=convenience
"Blackwater, AZ",,retail,445120,Flying J Store,,,,32.7324751,-111.5495868,,,n_4719302822,shop=convenience
"Blackwater, AZ",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/az/eloy/12042,32.7424028,-111.550978,,,n_4719302850,"shop=variety_store, brand=Dollar General"
"Blackwater, AZ",,retail,445120,Pilot,,,,32.7386174,-111.549533,,,n_4719302868,"shop=convenience, brand=Pilot"
"Blackwater, AZ",,retail,446120,The Body Lux,,+14802993987,,33.3108805,-111.7417971,,,n_4733091227,shop=beauty
"Blackwater, AZ",,retail,452319,Cart,,,,33.31105,-111.7429605,,,n_4733135867,shop=variety_store
