Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Bouse, AZ",,retail,445120,Mobil Mart,"1395 West Main Street, Quartzsite, AZ, 85346",,https://www.exxon.com/en/find-station/mobil-quartzsite-az-quartzsitemobil-200315252,33.6613828,-114.240718,,,n_1890805588,"shop=convenience, brand=Mobil Mart"
"Bouse, AZ",,retail,445120,,,,,33.6337961,-113.7684088,,,n_2381608317,shop=convenience
"Bouse, AZ",,retail,445120,Running Man Fuel,"1115 Mohave Road, AZ, 85344",,,34.1360724,-114.281593,,,n_5981783686,shop=convenience
"Bouse, AZ",,retail,445110,Betty Gordon Realty market,,,,34.1516098,-114.2854638,,,n_6020102286,shop=supermarket
"Bouse, AZ",,retail,446120,,,,,34.1545208,-114.2810609,,,n_6020503924,shop=beauty
"Bouse, AZ",,retail,445110,Safeway,"121 Riverside Drive, Parker, AZ, 85344",+1-928-669-2243,https://local.safeway.com/safeway/az/parker/121-w-riverside-dr.html,34.154733,-114.275913,,,n_6020580657,"shop=supermarket, brand=Safeway"
"Bouse, AZ",,retail,452319,Dollar General,"119 Riverside Drive, Parker, AZ, 85344",+1-928-216-4475,https://www.dollargeneral.com/store-directory/az/parker/6663,34.154962,-114.2754499,,,n_10967322337,"shop=variety_store, brand=Dollar General"
"Bouse, AZ",,retail,446110,CVS Pharmacy,"131 Riverside Drive, Parker, AZ, 85344",+1-928-669-6168,https://www.cvs.com/store-locator/parker-az-pharmacies/131-w-riverside-dr-parker-az-85344/storeid=8802,34.1546956,-114.2761097,,,n_10967322338,"shop=chemist, brand=CVS Pharmacy"
"Bouse, AZ",,retail,445110,Family Dollar,,,,33.7829467,-113.6116963,,,n_11702912468,shop=supermarket
"Bouse, AZ",,retail,445120,Pacific Pride,,,,33.6279441,-113.7678671,,,n_11929191985,shop=convenience
"Bouse, AZ",,retail,445120,,,,,33.657293,-114.2413121,,,w_223540172,shop=convenience
"Bouse, AZ",,retail,445120,Pilot,"1201 West Main Street, Quartzsite, AZ, 85359",,,33.6615365,-114.2368321,,,w_264996163,"shop=convenience, brand=Pilot"
"Bouse, AZ",,retail,445120,,,,,33.6700925,-114.1988652,,,w_295760142,shop=convenience
