Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Bowie, AZ",,retail,445120,9 Acres,"2500 I 10 Business Loop, San Simon, AZ, 85632",,,32.2719026,-109.2421632,,,n_5139062966,shop=convenience
"Bowie, AZ",,retail,445120,Speedway,"201 North Haskell Avenue, Willcox, AZ, 85643",,https://www.speedway.com/locations/AZ/WiLLCox/201-N-Haskell-Ave,32.2537895,-109.8313325,,,n_9170599625,"shop=convenience, brand=Speedway"
"Bowie, AZ",,retail,445310,Coronado Vineyards,"2909 East Country Club Drive, Willcox, AZ, 85643",,https://coronadovineyard.com/,32.303277,-109.7905531,,,n_9248364268,shop=wine
"Bowie, AZ",,retail,445120,Love's,,,,32.2668352,-109.8474562,,,n_12008950150,shop=convenience
"Bowie, AZ",,retail,445120,4K Truck Stop,"2521 West Business I 10, San Simon, AZ, 85632",,,32.2708741,-109.2443842,,,w_186004196,shop=convenience
"Bowie, AZ",,retail,445120,Texaco,"1203 West Rex Allen Drive, Willcox, AZ, 85643",+1 520 384 1332,,32.265872,-109.8419923,,,w_186669679,shop=convenience
"Bowie, AZ",,retail,445120,Circle K,,,,32.2647031,-109.840626,,,w_188282444,"shop=convenience, brand=Circle K"
"Bowie, AZ",,retail,452319,Dollar General,"901 North Cochise Avenue, Willcox, AZ, 85643",+1 520 253 8453,https://www.dollargeneral.com/store-directory/az/willcox/6599,32.2653063,-109.839517,,,w_188282446,"shop=variety_store, brand=Dollar General"
"Bowie, AZ",,retail,445110,Safeway,"650 North Bisbee Avenue, Willcox, AZ, 85643",+1 520 384 3952,https://local.safeway.com/safeway/az/willcox/650-n-bisbee-ave.html,32.263174,-109.8423145,,,w_188282452,"shop=supermarket, brand=Safeway"
"Bowie, AZ",,retail,445210,Plaza Meat Market,"902 West Rex Allen Drive, Willcox, AZ, 85643",+1 520 766 6328,,32.2635943,-109.8377875,,,w_188282457,shop=butcher
"Bowie, AZ",,retail,452210,Bealls,"668 North Bisbee Avenue, Willcox, AZ, 85643",+1 520 384 3901,https://stores.bealls.com/az/willcox/clothing-store-584.html,32.2637624,-109.8432956,,,w_188282463,shop=department_store
"Bowie, AZ",,retail,445120,Doc's Food Stores,,,,32.263823,-109.8410843,,,w_188363424,shop=convenience
"Bowie, AZ",,retail,445120,,,,,32.2225773,-109.873397,,,w_295758730,shop=convenience
"Bowie, AZ",,retail,446120,Beauty Barn,"124 West Maley Street, Willcox, AZ, 85643",+1 520 766 2276,,32.2525767,-109.833038,,,w_341357171,shop=beauty
"Bowie, AZ",,retail,445120,Circle K,,,,32.2481708,-109.8357493,,,w_341359575,shop=convenience
"Bowie, AZ",,retail,446120,Mazie's Beauty Shop,"754 South Haskell Avenue, Willcox, AZ, 85643",,,32.2454662,-109.8374065,,,w_341359582,shop=beauty
"Bowie, AZ",,retail,445120,,"1120 West Business Loop, Bowie, AZ, 85605",,,32.3302274,-109.5027111,,,w_521916355,shop=convenience
"Bowie, AZ",,retail,445120,PJ's Travel Center,"1275 East Business Loop, Bowie, AZ, 85605",+1 520 847 2288,,32.3190792,-109.4525508,,,w_521916357,shop=convenience
"Bowie, AZ",,retail,445120,Bowie Market,"220 East Business Loop, Bowie, AZ, 85605",+1 520 847 1188,,32.3260327,-109.4849648,,,w_521916387,shop=convenience
"Bowie, AZ",,retail,445120,Across The Street Mini-Mart,"426 East Business Loop, Bowie, AZ, 85605",+1 520 847 8272,,32.3256266,-109.483233,,,w_521916400,shop=convenience
"Bowie, AZ",,retail,445120,Family Dollar,"850 West Rex Allen Drive, Willcox, AZ, 85643",+1 520 779 6000,https://www.familydollar.com/locations/az/willcox/24712/,32.2636011,-109.8373222,,,w_1133952187,shop=convenience
