Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Cactus Forest, AZ",,retail,445210,Pork Shop,"3359 East Combs Road, San Tan Valley, AZ, 85140",,,33.21975,-111.5298,,,n_293034037,shop=butcher
"Cactus Forest, AZ",,retail,445110,Safeway,"1449 North Arizona Boulevard, Coolidge, AZ, 85128",+1 520-723-5300,https://local.safeway.com/safeway/az/coolidge/1449-n-arizona-blvd.html,32.9938537,-111.521636,,,n_672990484,"shop=supermarket, brand=Safeway"
"Cactus Forest, AZ",,retail,445120,,,,,32.9091819,-111.7392812,,,n_2686022029,shop=convenience
"Cactus Forest, AZ",,retail,445120,,,,,32.8936075,-111.7405602,,,n_2686022035,shop=convenience
"Cactus Forest, AZ",,retail,445120,,,,,32.8801677,-111.6906414,,,n_3158788556,shop=convenience
"Cactus Forest, AZ",,retail,445110,Safeway,"1637 North Trekell Road, Casa Grande, AZ, 85122",+1 520-421-7447,https://local.safeway.com/safeway/az/casa-grande/1637-n-trekell-rd.html,32.8953136,-111.7415564,,,n_3158796084,"shop=supermarket, brand=Safeway"
"Cactus Forest, AZ",,retail,445120,Petro,,,,32.8124916,-111.6700129,,,n_4714049287,shop=convenience
"Cactus Forest, AZ",,retail,445120,Flying J Store,,,,32.7324751,-111.5495868,,,n_4719302822,shop=convenience
"Cactus Forest, AZ",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/az/eloy/12042,32.7424028,-111.550978,,,n_4719302850,"shop=variety_store, brand=Dollar General"
"Cactus Forest, AZ",,retail,445120,Pilot,,,,32.7386174,-111.549533,,,n_4719302868,"shop=convenience, brand=Pilot"
"Cactus Forest, AZ",,retail,445120,Cactus Video and Market,,,,33.0595134,-110.9058135,,,n_4862371416,shop=convenience
"Cactus Forest, AZ",,retail,446120,At Studio Red,"903 North Arizona Boulevard, Coolidge, AZ, 85128",+1 520 208 5422,,32.9861807,-111.5236786,,,n_4960219137,shop=beauty
"Cactus Forest, AZ",,retail,446120,STV Nails & Spa,"1753 West Hunt Highway, San Tan Valley, AZ, 85143",+1 480 783 3289,,33.1791134,-111.5851397,,,n_5286364036,shop=beauty
"Cactus Forest, AZ",,retail,445120,FitzStop,,,,33.2989631,-111.2887515,,,n_7590259729,shop=convenience
"Cactus Forest, AZ",,retail,445120,Speedway,"520 North Pinal Parkway, Florence, AZ, 85132",,https://www.speedway.com/locations/AZ/Florence/520-N-Pinal-Parkway,33.036698,-111.3797487,,,n_9173657138,"shop=convenience, brand=Speedway"
"Cactus Forest, AZ",,retail,445120,Discovery Market,,,,32.976045,-111.5235697,,,n_9645313494,shop=convenience
"Cactus Forest, AZ",,retail,446120,Pure Nail & Spa,,,,33.1890233,-111.5998282,,,n_9742122493,shop=beauty
"Cactus Forest, AZ",,retail,446120,The Unique Beauty Suites,,,,33.1380493,-111.5398109,,,n_10141921594,shop=beauty
"Cactus Forest, AZ",,retail,446120,Panache Nails & Spa,,,,33.1379679,-111.5396433,,,n_10141921596,shop=beauty
"Cactus Forest, AZ",,retail,446120,Divine Design Beauty Bar,,,,33.1378603,-111.5395885,,,n_10141921602,shop=beauty
"Cactus Forest, AZ",,retail,446120,STV Nails,,,,33.1613,-111.5609587,,,n_10141921817,shop=beauty
"Cactus Forest, AZ",,retail,445292,Freeze Dried Candy Shop,,,,33.1610107,-111.5607697,,,n_10141921820,shop=confectionery
"Cactus Forest, AZ",,retail,446120,CT Nails,,,,33.1629944,-111.56295,,,n_10141981178,shop=beauty
"Cactus Forest, AZ",,retail,453991,M&S Smoke Shop,,,,33.163587,-111.5628895,,,n_10141981186,shop=tobacco
"Cactus Forest, AZ",,retail,452210,Marshalls,,,,32.8832298,-111.6815098,,,n_10682039416,"shop=department_store, brand=Marshalls"
"Cactus Forest, AZ",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/az/casa-grande/7064/,32.8836551,-111.6817586,,,n_10682039418,"shop=variety_store, brand=Dollar Tree"
"Cactus Forest, AZ",,retail,446120,Ulta Beauty,"1004 North Promenade Parkway, Casa Grande, AZ, 85194",+1 520-836-2313,https://www.ulta.com/stores/casa-grande-az-296,32.8839117,-111.681954,,,n_10682039419,"shop=beauty, brand=Ulta Beauty"
"Cactus Forest, AZ",,retail,452210,Ross,"1004 North Promenade Parkway, Casa Grande, AZ, 85194",+1 520-836-2296,,32.8824512,-111.6803344,,,n_10682039423,"shop=department_store, brand=Ross"
"Cactus Forest, AZ",,retail,446120,Bath & Body Works,,,,32.8828702,-111.681088,,,n_10682039428,"shop=cosmetics, brand=Bath & Body Works"
"Cactus Forest, AZ",,retail,452210,Bealls,,,,32.8830669,-111.6811932,,,n_10682039429,"shop=department_store, brand=Bealls"
"Cactus Forest, AZ",,retail,452210,Kohl's,"976 North Mission Parkway, Casa Grande, AZ, 85194",+1 520-421-3481,https://www.kohls.com/stores/az/casagrande-1107.shtml,32.882551,-111.6783363,,,n_10682039433,"shop=department_store, brand=Kohl's"
"Cactus Forest, AZ",,retail,445120,Circle K,,,,33.2204693,-111.5864778,,,n_11495047778,"shop=convenience, brand=Circle K"
"Cactus Forest, AZ",,retail,445110,Fry's Food and Drug,,,,32.8786456,-111.7279181,,,n_11663915997,"shop=supermarket, brand=Fry's Food and Drug"
"Cactus Forest, AZ",,retail,445120,,,,,32.8118574,-111.6717768,,,n_12099510008,shop=convenience
"Cactus Forest, AZ",,retail,453991,I Puff Smoke Shop,,,,32.8772341,-111.7286237,,,n_12310863541,shop=tobacco
"Cactus Forest, AZ",,retail,446120,J & C Beauty Supply and Fashion,,,,32.8772493,-111.7287231,,,n_12310863542,shop=beauty
