Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Carefree, AZ",,retail,445110,Safeway,"520 West Osborn Road, Phoenix, AZ, 85013",+1 602-274-7422,https://local.safeway.com/safeway/az/phoenix/520-w-osborn-rd.html,33.4884996,-112.0815495,,,n_158170307,"shop=supermarket, brand=Safeway"
"Carefree, AZ",,retail,445110,Albertsons,"18411 North Cave Creek Road, Phoenix, AZ, 85032",+1 602-494-7388,https://local.albertsons.com/az/phoenix/18411-n-cave-creek-rd.html,33.6534775,-112.0295607,,,n_631702487,"shop=supermarket, brand=Albertsons"
"Carefree, AZ",,retail,452210,Target,"12602 North Paradise Village Parkway West, Phoenix, AZ, 85032",+1 602-953-2151,https://www.target.com/sl/paradise-valley/233,33.6003765,-111.989399,,,n_654574321,"shop=department_store, brand=Target"
"Carefree, AZ",,retail,445110,Sprouts Farmers Market,"12415 North Tatum Boulevard, Phoenix, AZ, 85032",+1 602-971-4177,https://www.sprouts.com/store/az/phoenix/paradise-valley/,33.5995046,-111.978748,,,n_706931745,"shop=supermarket, brand=Sprouts Farmers Market"
"Carefree, AZ",,retail,445110,Safeway,"3132 East Camelback Road, Phoenix, AZ, 85016",+1 602-955-6455,https://local.safeway.com/safeway/az/phoenix/3132-e-camelback-rd.html,33.51122,-112.0147691,,,n_903327798,"shop=supermarket, brand=Safeway"
"Carefree, AZ",,retail,446120,Ulta Beauty,"9019 East Talking Stick Way, Scottsdale, AZ, 85250",+1 480-905-1099,https://www.ulta.com/stores/scottsdale-az-33,33.5375487,-111.8876565,,,n_1070143659,"shop=cosmetics, brand=Ulta Beauty"
"Carefree, AZ",,retail,445110,Albertsons,"6965 North Hayden Road, Scottsdale, AZ, 85250",+1 480-991-9707,https://local.albertsons.com/az/scottsdale/6965-n-hayden-rd.html,33.5375138,-111.906255,,,n_1079350210,"shop=supermarket, brand=Albertsons"
"Carefree, AZ",,retail,452319,Dollar Tree,"3131 East Thunderbird Road, Phoenix, AZ, 85032",+1-602-613-2603,https://locations.dollartree.com/az/phoenix/3131-e-thunderbird-rd,33.6098352,-112.014665,,,n_1140259220,"shop=variety_store, brand=Dollar Tree"
"Carefree, AZ",,retail,452210,JCPenney,"7750 West Arrowhead Towne Center;West Arrowhead Town Ctr, Glendale, AZ, 85308",,,33.6414553,-112.2267238,,,n_1355987216,"shop=department_store, brand=JCPenney, operator=jcpenny"
"Carefree, AZ",,retail,452210,Dillard's,"7800 West Arrowhead Town Ctr, Glendale, AZ, 85308",+1 623-979-1128,https://www.dillards.com/stores/arizona/arrowhead-towne-center-glendale/0907,33.6419971,-112.2279837,,,n_1355987223,"shop=department_store, brand=Dillard's"
"Carefree, AZ",,retail,452210,Macy's,"7600 West Arrowhead Towne Center;West Arrowhead Town Ctr, Glendale, AZ, 85308",,https://www.macys.com/stores/az/glendale/arrowhead-towne-center_452.html,33.6419238,-112.222811,,,n_1355987224,"shop=department_store, brand=Macy's"
"Carefree, AZ",,retail,445110,Trader Joe's,"6202 North Scottsdale Road, Paradise Valley, AZ, 85253",+1 480-948-9886,https://www.traderjoes.com,33.5290131,-111.927455,,,n_1592989381,"shop=supermarket, brand=Trader Joe's"
"Carefree, AZ",,retail,445110,Fry's Marketplace,"3246 East Bell Road, Phoenix, AZ, 85032",+1 602-765-4633,https://www.frysfood.com/stores/grocery/az/phoenix/32nd-st-bell-rd/660/00618,33.6418104,-112.01108,,,n_1680973812,"shop=supermarket, brand=Fry's Marketplace"
"Carefree, AZ",,retail,445120,7-Eleven,,,,33.6401882,-112.0045374,,,n_1680973983,"shop=convenience, brand=7-Eleven"
"Carefree, AZ",,retail,445110,Fry's Food and Drug,"4505 East Thomas Road, Phoenix, AZ, 85018",+1 602-952-1491,https://www.frysfood.com/stores/grocery/az/phoenix/44th-st-thomas/660/00135,33.4791949,-111.984154,,,n_1686021865,"shop=supermarket, brand=Fry's Food and Drug"
"Carefree, AZ",,retail,445110,Safeway,"3655 West Anthem Way, Anthem, AZ, 85086",+1 623-745-3800,https://local.safeway.com/safeway/az/anthem/3655-w-anthem-way.html,33.865149,-112.138994,,,n_1707643304,"shop=supermarket, brand=Safeway"
"Carefree, AZ",,retail,445120,Circle K,,,,33.6245842,-112.201957,,,n_1798832871,"shop=convenience, brand=Circle K"
"Carefree, AZ",,retail,445120,Circle K,"620 East Carefree Highway, Phoenix, AZ, 85085",,,33.7998279,-112.0663068,,,n_2011584847,"shop=convenience, brand=Circle K"
"Carefree, AZ",,retail,445120,4 Son's Chevron,,,,33.5820634,-112.0134726,,,n_2130147115,"shop=convenience, operator=4 Son's Chevron"
"Carefree, AZ",,retail,445120,DJ's Convenience Store,,,,33.4969879,-112.064765,,,n_2158282323,shop=convenience
"Carefree, AZ",,retail,445110,Bashas',,,,33.5834965,-112.0117397,,,n_2181863598,"shop=supermarket, brand=Bashas'"
"Carefree, AZ",,retail,452210,American Freight,,+1-602-482-0950,,33.5956609,-112.012463,,,n_2181863608,"shop=department_store, brand=American Freight"
