Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Clarkdale, AZ",,retail,445310,Oak Creek Vineyards and Winery,,,,34.7593112,-111.8891074,,,n_1682312646,shop=alcohol
"Clarkdale, AZ",,retail,445310,Page Springs Cellars,,,,34.7579075,-111.8948399,,,n_1682312810,shop=alcohol
"Clarkdale, AZ",,retail,445310,Javelina Leap Vineyard and Winery,,,,34.7604218,-111.8880292,,,n_1682312896,shop=alcohol
"Clarkdale, AZ",,retail,445120,Desert Market at Casey's Corner,"1160 South Page Springs Road, AZ, 86325",,http://cornvilledesertmarket.com,34.7181557,-111.9040795,,,n_1682322592,shop=convenience
"Clarkdale, AZ",,retail,445310,Caduceus Cellars,"158 Main Street, Jerome, AZ, 86331",+19286499293,https://caduceus.org/,34.7513282,-112.1164376,,,n_1711536304,shop=wine
"Clarkdale, AZ",,retail,445110,Safeway,"7720 East Highway 69, Prescott Valley, AZ, 86314",+1 928-772-6126,https://local.safeway.com/safeway/az/prescott-valley/7720-e-hwy-69.html,34.5872351,-112.3299008,,,n_2172279233,"shop=supermarket, brand=Safeway"
"Clarkdale, AZ",,retail,445120,Quick Country Store,,,,34.6925306,-111.9810733,,,n_2748920510,shop=convenience
"Clarkdale, AZ",,retail,445120,Mini Mart,,,,34.7292082,-112.0226552,,,n_2915383502,shop=convenience
"Clarkdale, AZ",,retail,445110,Food City,"Cottonwood, AZ, 86326",+1 928-634-4281,https://www.mifoodcity.com/store/37,34.7273368,-112.010402,,,n_2915384001,"shop=supermarket, brand=Food City"
"Clarkdale, AZ",,retail,445120,,,,,34.6100239,-111.8602081,,,n_2993307151,shop=convenience
"Clarkdale, AZ",,retail,445120,,,,,34.5394242,-112.2472707,,,n_3051608766,shop=convenience
"Clarkdale, AZ",,retail,445110,Safeway,"1635 East Cottonwood Lane, Cottonwood, AZ, 86326",+1 928-634-3711,https://local.safeway.com/safeway/az/cottonwood/1635-e-cottonwood-ln.html,34.7274248,-112.007822,,,n_3660689953,"shop=supermarket, brand=Safeway"
"Clarkdale, AZ",,retail,445120,,,,,34.5748446,-111.8832936,,,n_4540099940,shop=convenience
"Clarkdale, AZ",,retail,445120,Circle K,"711 State Route 179, Sedona, AZ",,,34.8577727,-111.763487,,,n_5181390721,"shop=convenience, brand=Circle K"
"Clarkdale, AZ",,retail,445310,The Art of Wine,,,,34.8674732,-111.7623583,,,n_5679479321,shop=wine
"Clarkdale, AZ",,retail,445110,Bashas',,,,34.5670136,-111.864718,,,n_5797702757,"shop=supermarket, brand=Bashas'"
"Clarkdale, AZ",,retail,445110,Sprouts Farmers Market,"5645 East State Route 69, Prescott Valley, AZ, 86314",+1 928-379-8000,https://www.sprouts.com/store/az/prescott-valley/route-69/,34.5743913,-112.363978,,,n_6374869764,"shop=supermarket, brand=Sprouts Farmers Market"
"Clarkdale, AZ",,retail,452210,Ross,"5629 East State Route 69, Prescott Valley, AZ, 86314",+1 928-445-3537,,34.5742943,-112.3643805,,,n_6374869765,"shop=department_store, brand=Ross"
"Clarkdale, AZ",,retail,452210,TJ Maxx,,,,34.5745107,-112.3634793,,,n_6374869766,"shop=department_store, brand=TJ Maxx"
"Clarkdale, AZ",,retail,452319,Dollar Tree,"5690 Cordes Junction-Prescott Highway, Prescott Valley, AZ, 86314",,,34.5769025,-112.367116,,,n_6534619477,"shop=variety_store, brand=Dollar Tree"
"Clarkdale, AZ",,retail,445110,Fry's Food and Drug,"1100 Camp Verde-Bridgeport Highway, Cottonwood, AZ, 86326",+1 928-634-9338,https://www.frysfood.com/stores/grocery/az/cottonwood/hwy-89-260-fir/660/00103,34.7183618,-112.003177,,,n_6719099277,"shop=supermarket, brand=Fry's Food and Drug"
"Clarkdale, AZ",,retail,452210,JCPenney,,,,34.7182295,-112.004764,,,n_6719099278,"shop=department_store, brand=JCPenney"
"Clarkdale, AZ",,retail,452319,Family Dollar,,,,34.7169799,-111.9005835,,,n_6974966485,"shop=variety_store, brand=Family Dollar"
"Clarkdale, AZ",,retail,445110,C-Market,,,,34.8700673,-111.7613576,,,n_7254299658,shop=supermarket
"Clarkdale, AZ",,retail,445120,Carioca Shell #69,,,,34.5030372,-112.2434487,,,n_7904037283,shop=convenience
"Clarkdale, AZ",,retail,445120,Twin Lakes Market,,,,34.5926969,-112.4263229,,,n_8692078811,shop=convenience
"Clarkdale, AZ",,retail,445120,Crazy Tony’s Old Town Market,"802 North Main Street, Cottonwood, AZ, 86236",+1 928-239-9265,,34.7458659,-112.0275913,,,n_8781259558,shop=convenience
"Clarkdale, AZ",,retail,445310,Vino Zona,,,,34.8620751,-111.7628251,,,n_9063238930,shop=wine
"Clarkdale, AZ",,retail,445120,Speedway,"2960 West State Route 89A, Sedona, AZ, 86336",,https://www.speedway.com/locations/AZ/Sedona/2960-W-State-Route-89A,34.8627877,-111.811538,,,n_9142822893,"shop=convenience, brand=Speedway"
