Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Clay Springs, AZ",,retail,445120,Woody's Food Stores,,,,34.2531146,-110.0377698,,,n_5197258961,shop=convenience
"Clay Springs, AZ",,retail,452319,Family Dollar,,,,34.2500335,-110.0406761,,,n_6217985475,"shop=variety_store, brand=Family Dollar"
"Clay Springs, AZ",,retail,445120,Speedway,"25 North Main Street, Taylor, AZ, 85939",,https://www.speedway.com/locations/AZ/Taylor/310-N-MAIN,34.4693373,-110.0912871,,,n_9156718816,"shop=convenience, brand=Speedway"
"Clay Springs, AZ",,retail,445120,Speedway,"1981 East Deuce Of Clubs, Show Low, AZ, 85901",,https://www.speedway.com/locations/AZ/Show-Low/1981-E-DEUCE-OF-CLUBS,34.2559032,-110.0210495,,,n_9156725893,"shop=convenience, brand=Speedway"
"Clay Springs, AZ",,retail,445120,Speedway,"331 West Deuce of Clubs, Show Low, AZ, 85901",,https://www.speedway.com/locations/AZ/Show-Low/331-W-Deuce-of-Clubs,34.2481543,-110.0461538,,,n_9156728467,"shop=convenience, brand=Speedway"
"Clay Springs, AZ",,retail,445120,Speedway,"1653 West White Mountain Boulevard, Lakeside, AZ, 85929",,https://www.speedway.com/locations/AZ/Lakeside/1653-W-White-Mountain-Blvd,34.1521038,-109.9736857,,,n_9157799749,"shop=convenience, brand=Speedway"
"Clay Springs, AZ",,retail,445120,Speedway,"1790 South White Mountain Road, Show Low, AZ, 85901",,https://www.speedway.com/locations/AZ/Show-Low/1790-S-WHITE-MOUNTAIN-RD,34.2332401,-110.0271173,,,n_9157819603,"shop=convenience, brand=Speedway"
"Clay Springs, AZ",,retail,445120,Snack Shack,,,,34.2596117,-110.08431,,,n_11051278683,shop=convenience
"Clay Springs, AZ",,retail,452210,TJ Maxx,,,,34.2483201,-110.0497483,,,n_12883578296,"shop=department_store, brand=TJ Maxx"
"Clay Springs, AZ",,retail,445110,Safeway,"20 West White Mountain Boulevard, Pinetop-Lakeside, AZ, 85935",+1 928-367-6677,https://local.safeway.com/safeway/az/pinetop-lakeside/20-w-white-mountain-blvd.html,34.1431031,-109.9543331,,,w_230763982,"shop=supermarket, brand=Safeway"
"Clay Springs, AZ",,retail,445120,Carrizo Store,,,,34.0038189,-110.2547299,,,w_286829810,shop=convenience
"Clay Springs, AZ",,retail,445110,Safeway,"900 West Deuce Of Clubs, Show Low, AZ, 85901",+1 928-532-5656,https://local.safeway.com/safeway/az/show-low/900-w-deuce-of-clubs.html,34.2468338,-110.0522845,,,w_382975196,"shop=supermarket, brand=Safeway"
"Clay Springs, AZ",,retail,445120,Circle K,"1581 Mainline Road, Heber, AZ, 85928",,,34.4387816,-110.621431,,,w_386052752,shop=convenience
"Clay Springs, AZ",,retail,445110,Walmart Supercenter,5401 S White Mountain Rd,+1 928-537-3141,https://www.walmart.com/store/1230-show-low-az,34.2005945,-110.0157335,,,w_386694291,"shop=supermarket, brand=Walmart, operator=Walmart"
"Clay Springs, AZ",,retail,445120,Circle K,,,,34.2413176,-110.0599425,,,w_387587249,shop=convenience
"Clay Springs, AZ",,retail,452319,Dollar General,"2281 Highway 260, Overgaard, AZ, 85933",,,34.3895475,-110.5376289,,,w_544377743,"shop=variety_store, brand=Dollar General"
"Clay Springs, AZ",,retail,445120,Country Store,"8750 Concho Highway, Snowflake, AZ, 85937",+1 928 536 2114,,34.5577406,-109.9621495,,,w_625217581,shop=convenience
"Clay Springs, AZ",,retail,445120,Maverik,,,,34.2580679,-110.0174051,,,w_663676078,"shop=convenience, brand=Maverik, operator=Maverik"
"Clay Springs, AZ",,retail,452319,Dollar General,"1701 East Deuce Of Clubs, Show Low, AZ, 85901",,https://www.dollargeneral.com/store-directory/az/show-low/10215,34.2552317,-110.0234656,,,w_663945986,"shop=variety_store, brand=Dollar General"
"Clay Springs, AZ",,retail,445120,Circle K,"311 East Deuce Of Clubs, Show Low, AZ, 85901",,,34.251686,-110.0390092,,,w_664333854,"shop=convenience, brand=Circle K"
"Clay Springs, AZ",,retail,445120,Maverik,"730 South Main Street, AZ, 85937",+19285367511,https://maverik.com/,34.4992998,-110.0798051,,,w_929400887,"shop=convenience, brand=Maverik"
"Clay Springs, AZ",,retail,445110,Heber Market,"1823 Black Canyon Road, Heber, AZ, 85928",,,34.4299096,-110.5979624,,,w_990533275,shop=supermarket
"Clay Springs, AZ",,retail,445120,Circle K,"1953 Highway 260, Overgaard, AZ, 85933",,,34.4196643,-110.5787615,,,w_990970423,shop=convenience
"Clay Springs, AZ",,retail,445120,Maverik,"4555 West White Mountain Boulevard, Pinetop-Lakeside, AZ, 85929",,,34.1719175,-110.004401,,,w_1062474267,"shop=convenience, brand=Maverik"
"Clay Springs, AZ",,retail,445110,Walmart Supercenter,"715 Show Low-Holbrook Highway, Taylor, AZ, 85938",+1 928-536-2543,https://www.walmart.com/store/4355-taylor-az,34.4736116,-110.0850288,,,w_1065409343,"shop=supermarket, brand=Walmart"
"Clay Springs, AZ",,retail,445120,Circle K,,,,34.4732224,-110.0871659,,,w_1065409353,"shop=convenience, brand=Circle K"
"Clay Springs, AZ",,retail,445110,Bashas',,,,34.4753333,-110.0883222,,,w_1065409356,"shop=supermarket, brand=Bashas'"
"Clay Springs, AZ",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/az/taylor/3878/,34.4749834,-110.0885336,,,w_1065409357,"shop=variety_store, brand=Dollar Tree"
