Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Coolidge, AZ",,retail,445210,Pork Shop,"3359 East Combs Road, San Tan Valley, AZ, 85140",,,33.21975,-111.5298,,,n_293034037,shop=butcher
"Coolidge, AZ",,retail,445110,Safeway,"1449 North Arizona Boulevard, Coolidge, AZ, 85128",+1 520-723-5300,https://local.safeway.com/safeway/az/coolidge/1449-n-arizona-blvd.html,32.9938537,-111.521636,,,n_672990484,"shop=supermarket, brand=Safeway"
"Coolidge, AZ",,retail,446120,Tips n Toes Nail Spa,"21582 South Ellsworth Loop Road, Queen Creek, AZ, 85142",+1 480 882-1964,http://tipsntoesnailspa.com/,33.2521596,-111.6382837,,,n_2279247721,shop=beauty
"Coolidge, AZ",,retail,446120,CreativTouch Nails & Spa,"20928 East Heritage Loop Road, Queen Creek, AZ, 85242",,,33.2515527,-111.6318855,,,n_2317034462,shop=beauty
"Coolidge, AZ",,retail,445120,,,,,32.9091819,-111.7392812,,,n_2686022029,shop=convenience
"Coolidge, AZ",,retail,445120,,,,,32.8936075,-111.7405602,,,n_2686022035,shop=convenience
"Coolidge, AZ",,retail,445120,,,,,32.8801677,-111.6906414,,,n_3158788556,shop=convenience
"Coolidge, AZ",,retail,445110,Safeway,"1637 North Trekell Road, Casa Grande, AZ, 85122",+1 520-421-7447,https://local.safeway.com/safeway/az/casa-grande/1637-n-trekell-rd.html,32.8953136,-111.7415564,,,n_3158796084,"shop=supermarket, brand=Safeway"
"Coolidge, AZ",,retail,445120,,,,,32.893769,-111.7482391,,,n_3161785847,shop=convenience
"Coolidge, AZ",,retail,445120,,,,,32.940876,-111.7559626,,,n_3169767269,shop=convenience
"Coolidge, AZ",,retail,445120,Petro,,,,32.8124916,-111.6700129,,,n_4714049287,shop=convenience
"Coolidge, AZ",,retail,445120,Flying J Store,,,,32.7324751,-111.5495868,,,n_4719302822,shop=convenience
"Coolidge, AZ",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/az/eloy/12042,32.7424028,-111.550978,,,n_4719302850,"shop=variety_store, brand=Dollar General"
"Coolidge, AZ",,retail,445120,Pilot,,,,32.7386174,-111.549533,,,n_4719302868,"shop=convenience, brand=Pilot"
"Coolidge, AZ",,retail,446120,Club - Nail & Spa,"3126 South Higley Road, Gilbert, AZ, 85295",,,33.2937704,-111.721891,,,n_4734672172,shop=beauty
"Coolidge, AZ",,retail,446120,At Studio Red,"903 North Arizona Boulevard, Coolidge, AZ, 85128",+1 520 208 5422,,32.9861807,-111.5236786,,,n_4960219137,shop=beauty
"Coolidge, AZ",,retail,446120,STV Nails & Spa,"1753 West Hunt Highway, San Tan Valley, AZ, 85143",+1 480 783 3289,,33.1791134,-111.5851397,,,n_5286364036,shop=beauty
"Coolidge, AZ",,retail,446120,Aveda,,,,33.2466924,-111.7882344,,,n_5462763221,"shop=cosmetics, brand=Aveda"
"Coolidge, AZ",,retail,446120,Herbal Nail and Spa,,,,33.2469228,-111.7882397,,,n_5462763224,shop=beauty
"Coolidge, AZ",,retail,446120,Palace Nails & Spa,"6466 South Higley Road, Gilbert, AZ, 85298",+1-480-988-0922,https://palacenailsspagilbert.com,33.232744,-111.7214137,,,n_5471701137,shop=beauty
"Coolidge, AZ",,retail,445120,Good2Go,,,,32.8800309,-111.7748983,,,n_7111191290,shop=convenience
"Coolidge, AZ",,retail,445110,Fry's Marketplace,"2858 North Pinal Avenue, Casa Grande, AZ, 85122",+1 520-426-4701,https://www.frysfood.com/stores/grocery/az/casa-grande/pinal-mccartney-rd/660/00669,32.9404432,-111.7543181,,,n_7111191375,"shop=supermarket, brand=Fry's Food and Drug"
"Coolidge, AZ",,retail,446120,Bliss Nail Spa,"950 East Riggs Road, Chandler, AZ, 85249",,,33.2204728,-111.8248478,,,n_7697667402,shop=beauty
"Coolidge, AZ",,retail,446120,Neo Nails,"975 East Riggs Road, Chandler, AZ, 85249",,,33.2175766,-111.8264615,,,n_7697667505,shop=beauty
"Coolidge, AZ",,retail,446120,The Nail Lounge,,,,33.2901948,-111.7213665,,,n_7833757390,shop=beauty
"Coolidge, AZ",,retail,446120,Celebrity Tanning,,,,33.2903951,-111.7228097,,,n_7833757392,shop=beauty
"Coolidge, AZ",,retail,446120,Fusion Nail & Spa,"3317 South Higley Road, Gilbert, AZ, 85297",,,33.2903721,-111.720256,,,n_7833757461,shop=beauty
"Coolidge, AZ",,retail,446120,L'Posh Nails,"4604 South Higley Road, Gilbert, AZ, 85297",,,33.2668761,-111.7221513,,,n_7834047599,shop=beauty
"Coolidge, AZ",,retail,446120,Lavish Nails & Spa by Billy,"3076 East Chandler Heights Road, Gilbert, AZ, 85298",,,33.2342862,-111.723472,,,n_7837938591,shop=beauty
"Coolidge, AZ",,retail,446120,European Wax Center,"21227 South Ellsworth Loop Road, Queen Creek, AZ, 85142",,https://locations.waxcenter.com/az/queencreek/queen-creek-0786.html,33.2556868,-111.636629,,,n_7958040296,"shop=beauty, brand=European Wax Center"
"Coolidge, AZ",,retail,446120,Paris Nail Lounge,"21323 South Ellsworth Loop Road, Queen Creek, AZ, 85142",,,33.2548301,-111.636407,,,n_7958040335,shop=beauty
"Coolidge, AZ",,retail,446120,Lucky Nails & Spa,,,,33.2498679,-111.6327382,,,n_7958171198,shop=beauty
"Coolidge, AZ",,retail,446120,Golden Nails & Spa,,,,33.2543746,-111.6342072,,,n_7961352832,shop=beauty
"Coolidge, AZ",,retail,446120,She Waxed Me Off,,,,33.252741,-111.632304,,,n_7961353131,shop=beauty
"Coolidge, AZ",,retail,446120,Loving LashAZ,,,,33.2527085,-111.6319989,,,n_7961353132,shop=beauty
"Coolidge, AZ",,retail,446120,QV Nails & Spa,"4902 South Val Vista Drive, Gilbert, AZ, 85298",,,33.2613928,-111.7570592,,,n_8370337140,shop=beauty
