Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Dragoon, AZ",,retail,446120,Nail Boutique,,,,31.9698748,-110.3128371,,,n_1991111957,shop=beauty
"Dragoon, AZ",,retail,445120,Speedway,"104 East 4th Street, Benson, AZ, 85602",,https://www.speedway.com/locations/AZ/Benson/104-E-4th-St,31.9680108,-110.2971814,,,n_3730034553,"shop=convenience, brand=Speedway"
"Dragoon, AZ",,retail,445120,Hone's Benson Fuel,"103 West 4th Street, Benson, AZ, 85602",,,31.9681807,-110.2977224,,,n_3730034554,shop=convenience
"Dragoon, AZ",,retail,445120,Mustang mall,,,,31.8867617,-109.6946605,,,n_3920663891,shop=convenience
"Dragoon, AZ",,retail,445120,,,,,31.9764652,-110.3065794,,,n_9109917400,shop=convenience
"Dragoon, AZ",,retail,445120,Circle K,"201 East 4th Street, Benson, AZ, 85602",,,31.967789,-110.2958263,,,n_9168564130,"shop=convenience, brand=Circle K"
"Dragoon, AZ",,retail,445120,Speedway,"201 North Haskell Avenue, Willcox, AZ, 85643",,https://www.speedway.com/locations/AZ/WiLLCox/201-N-Haskell-Ave,32.2537895,-109.8313325,,,n_9170599625,"shop=convenience, brand=Speedway"
"Dragoon, AZ",,retail,445310,Coronado Vineyards,"2909 East Country Club Drive, Willcox, AZ, 85643",,https://coronadovineyard.com/,32.303277,-109.7905531,,,n_9248364268,shop=wine
"Dragoon, AZ",,retail,453110,Friendly Flowers and More,"101 East Fremont Street, Tombstone, AZ, 85638",+15204448280,https://www.friendlyflowersandmore.com/,31.7146695,-110.0698893,,,n_9923081094,shop=florist
"Dragoon, AZ",,retail,446120,Melanie's Salon,"133 North Frontage Road, Pearce, AZ, 85625",,,31.9369363,-109.8297959,,,n_11811230211,shop=beauty
"Dragoon, AZ",,retail,445120,Love's,,,,32.2668352,-109.8474562,,,n_12008950150,shop=convenience
"Dragoon, AZ",,retail,452319,Dollar Tree,,,,31.968898,-110.3044013,,,n_12069231998,"shop=variety_store, brand=Dollar Tree"
"Dragoon, AZ",,retail,452319,Dollar General,,,,31.9042333,-110.215206,,,n_12459499377,"shop=variety_store, brand=Dollar General"
"Dragoon, AZ",,retail,445120,Love's,,,https://www.loves.com/locations/9,31.9620775,-110.346533,,,n_12509607609,"shop=convenience, brand=Love's"
"Dragoon, AZ",,retail,445110,Walmart Supercenter,201 S Prickly Pear Ave,+1-520-586-0742,https://www.walmart.com/store/3807-benson-az,31.9688184,-110.3142814,,,w_184794219,"shop=supermarket, brand=Walmart, operator=Walmart"
"Dragoon, AZ",,retail,445120,Texaco,"1203 West Rex Allen Drive, Willcox, AZ, 85643",+1 520 384 1332,,32.265872,-109.8419923,,,w_186669679,shop=convenience
"Dragoon, AZ",,retail,445120,Love's,"643 State Road 90, Benson, AZ, 85602",+1 520 586 8702,http://myloves460.com/,31.9624213,-110.3446699,,,w_188242051,"shop=convenience, brand=Love's"
"Dragoon, AZ",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/az/benson/6629,31.9690526,-110.3037565,,,w_188247630,"shop=variety_store, brand=Dollar General"
"Dragoon, AZ",,retail,445110,Safeway,"599 West 4th Street, Benson, AZ, 85602",+1 520-586-9094,https://local.safeway.com/safeway/az/benson/599-w-4th-st.html,31.96904,-110.3065598,,,w_188247632,"shop=supermarket, brand=Safeway"
"Dragoon, AZ",,retail,445120,,,,,31.9772089,-110.3065257,,,w_188251725,shop=convenience
"Dragoon, AZ",,retail,445120,Circle K,,,,32.2647031,-109.840626,,,w_188282444,"shop=convenience, brand=Circle K"
"Dragoon, AZ",,retail,452319,Dollar General,"901 North Cochise Avenue, Willcox, AZ, 85643",+1 520 253 8453,https://www.dollargeneral.com/store-directory/az/willcox/6599,32.2653063,-109.839517,,,w_188282446,"shop=variety_store, brand=Dollar General"
"Dragoon, AZ",,retail,445110,Safeway,"650 North Bisbee Avenue, Willcox, AZ, 85643",+1 520 384 3952,https://local.safeway.com/safeway/az/willcox/650-n-bisbee-ave.html,32.263174,-109.8423145,,,w_188282452,"shop=supermarket, brand=Safeway"
"Dragoon, AZ",,retail,445210,Plaza Meat Market,"902 West Rex Allen Drive, Willcox, AZ, 85643",+1 520 766 6328,,32.2635943,-109.8377875,,,w_188282457,shop=butcher
"Dragoon, AZ",,retail,452210,Bealls,"668 North Bisbee Avenue, Willcox, AZ, 85643",+1 520 384 3901,https://stores.bealls.com/az/willcox/clothing-store-584.html,32.2637624,-109.8432956,,,w_188282463,shop=department_store
"Dragoon, AZ",,retail,445120,Doc's Food Stores,,,,32.263823,-109.8410843,,,w_188363424,shop=convenience
"Dragoon, AZ",,retail,445310,Sarsparilla Emporium,"69 South 3rd Street, Tombstone, AZ, 85638",,,31.7136254,-110.0682465,,,w_244780341,shop=beverages
