Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Eloy, AZ",,retail,445110,Safeway,"1449 North Arizona Boulevard, Coolidge, AZ, 85128",+1 520-723-5300,https://local.safeway.com/safeway/az/coolidge/1449-n-arizona-blvd.html,32.9938537,-111.521636,,,n_672990484,"shop=supermarket, brand=Safeway"
"Eloy, AZ",,retail,445120,,,,,32.9091819,-111.7392812,,,n_2686022029,shop=convenience
"Eloy, AZ",,retail,445120,,,,,32.8936075,-111.7405602,,,n_2686022035,shop=convenience
"Eloy, AZ",,retail,445120,,,,,32.8801677,-111.6906414,,,n_3158788556,shop=convenience
"Eloy, AZ",,retail,445110,Safeway,"1637 North Trekell Road, Casa Grande, AZ, 85122",+1 520-421-7447,https://local.safeway.com/safeway/az/casa-grande/1637-n-trekell-rd.html,32.8953136,-111.7415564,,,n_3158796084,"shop=supermarket, brand=Safeway"
"Eloy, AZ",,retail,445120,,,,,32.893769,-111.7482391,,,n_3161785847,shop=convenience
"Eloy, AZ",,retail,445120,,,,,32.940876,-111.7559626,,,n_3169767269,shop=convenience
"Eloy, AZ",,retail,445120,Petro,,,,32.8124916,-111.6700129,,,n_4714049287,shop=convenience
"Eloy, AZ",,retail,445120,Flying J Store,,,,32.7324751,-111.5495868,,,n_4719302822,shop=convenience
"Eloy, AZ",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/az/eloy/12042,32.7424028,-111.550978,,,n_4719302850,"shop=variety_store, brand=Dollar General"
"Eloy, AZ",,retail,445120,Pilot,,,,32.7386174,-111.549533,,,n_4719302868,"shop=convenience, brand=Pilot"
"Eloy, AZ",,retail,446120,At Studio Red,"903 North Arizona Boulevard, Coolidge, AZ, 85128",+1 520 208 5422,,32.9861807,-111.5236786,,,n_4960219137,shop=beauty
"Eloy, AZ",,retail,445120,Good2Go,,,,32.8800309,-111.7748983,,,n_7111191290,shop=convenience
"Eloy, AZ",,retail,445110,Fry's Marketplace,"2858 North Pinal Avenue, Casa Grande, AZ, 85122",+1 520-426-4701,https://www.frysfood.com/stores/grocery/az/casa-grande/pinal-mccartney-rd/660/00669,32.9404432,-111.7543181,,,n_7111191375,"shop=supermarket, brand=Fry's Food and Drug"
"Eloy, AZ",,retail,445120,Speedway,"520 North Pinal Parkway, Florence, AZ, 85132",,https://www.speedway.com/locations/AZ/Florence/520-N-Pinal-Parkway,33.036698,-111.3797487,,,n_9173657138,"shop=convenience, brand=Speedway"
"Eloy, AZ",,retail,445120,Discovery Market,,,,32.976045,-111.5235697,,,n_9645313494,shop=convenience
"Eloy, AZ",,retail,452210,Marshalls,,,,32.8832298,-111.6815098,,,n_10682039416,"shop=department_store, brand=Marshalls"
"Eloy, AZ",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/az/casa-grande/7064/,32.8836551,-111.6817586,,,n_10682039418,"shop=variety_store, brand=Dollar Tree"
"Eloy, AZ",,retail,446120,Ulta Beauty,"1004 North Promenade Parkway, Casa Grande, AZ, 85194",+1 520-836-2313,https://www.ulta.com/stores/casa-grande-az-296,32.8839117,-111.681954,,,n_10682039419,"shop=beauty, brand=Ulta Beauty"
"Eloy, AZ",,retail,452210,Ross,"1004 North Promenade Parkway, Casa Grande, AZ, 85194",+1 520-836-2296,,32.8824512,-111.6803344,,,n_10682039423,"shop=department_store, brand=Ross"
"Eloy, AZ",,retail,446120,Bath & Body Works,,,,32.8828702,-111.681088,,,n_10682039428,"shop=cosmetics, brand=Bath & Body Works"
"Eloy, AZ",,retail,452210,Bealls,,,,32.8830669,-111.6811932,,,n_10682039429,"shop=department_store, brand=Bealls"
"Eloy, AZ",,retail,452210,Kohl's,"976 North Mission Parkway, Casa Grande, AZ, 85194",+1 520-421-3481,https://www.kohls.com/stores/az/casagrande-1107.shtml,32.882551,-111.6783363,,,n_10682039433,"shop=department_store, brand=Kohl's"
"Eloy, AZ",,retail,445110,Fry's Food and Drug,,,,32.8786456,-111.7279181,,,n_11663915997,"shop=supermarket, brand=Fry's Food and Drug"
"Eloy, AZ",,retail,445120,,,,,32.8118574,-111.6717768,,,n_12099510008,shop=convenience
