Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Gila Crossing, AZ",,retail,445110,Safeway,"520 West Osborn Road, Phoenix, AZ, 85013",+1 602-274-7422,https://local.safeway.com/safeway/az/phoenix/520-w-osborn-rd.html,33.4884996,-112.0815495,,,n_158170307,"shop=supermarket, brand=Safeway"
"Gila Crossing, AZ",,retail,445110,Bashas',,,,33.3332955,-111.9121727,,,n_315644078,"shop=supermarket, brand=Bashas'"
"Gila Crossing, AZ",,retail,445110,Fry's Marketplace,"9900 South Rural Road, Tempe, AZ, 85284",+1 480-783-6200,https://www.frysfood.com/stores/grocery/az/tempe/ray-rural/660/00627,33.3219218,-111.9302897,,,n_315987032,"shop=supermarket, brand=Fry's Food and Drug"
"Gila Crossing, AZ",,retail,445120,Circle K,"1619 West Baseline Road, Guadalupe, AZ, 85283",,,33.3776645,-111.9647126,,,n_321314594,"shop=convenience, brand=Circle K"
"Gila Crossing, AZ",,retail,445120,Circle K,"4760 East Broadway Road, Phoenix, AZ, 85040",,,33.4079854,-111.9785383,,,n_321321983,"shop=convenience, brand=Circle K"
"Gila Crossing, AZ",,retail,445110,Trader Joe's,"4025 East Chandler Boulevard, Phoenix, AZ, 85048",+1 480-759-2295,https://locations.traderjoes.com/az/phoenix/177/,33.3040314,-111.9944973,,,n_473852564,"shop=supermarket, brand=Trader Joe's"
"Gila Crossing, AZ",,retail,452210,Target,"12602 North Paradise Village Parkway West, Phoenix, AZ, 85032",+1 602-953-2151,https://www.target.com/sl/paradise-valley/233,33.6003765,-111.989399,,,n_654574321,"shop=department_store, brand=Target"
"Gila Crossing, AZ",,retail,445120,Devil's Market,,,,33.4176918,-111.9346869,,,n_797401654,shop=convenience
"Gila Crossing, AZ",,retail,452210,Dillard's,,+1 623-849-0100,https://www.dillards.com/stores/arizona/desert-sky-mall-phoenix/0501,33.4775384,-112.2243679,,,n_867091681,"shop=department_store, brand=Dillard's"
"Gila Crossing, AZ",,retail,452210,Burlington,"7835 West Thomas Road, Phoenix, AZ, 85033",+1 623-845-7277,https://stores.burlington.com/az/phoenix/367,33.4771491,-112.227017,,,n_867091685,"shop=department_store, brand=Burlington"
"Gila Crossing, AZ",,retail,452210,Sears,,,,33.4760037,-112.2227854,,,n_867091701,"shop=department_store, brand=Sears"
"Gila Crossing, AZ",,retail,445110,Safeway,"3132 East Camelback Road, Phoenix, AZ, 85016",+1 602-955-6455,https://local.safeway.com/safeway/az/phoenix/3132-e-camelback-rd.html,33.51122,-112.0147691,,,n_903327798,"shop=supermarket, brand=Safeway"
"Gila Crossing, AZ",,retail,446120,Ulta Beauty,"9019 East Talking Stick Way, Scottsdale, AZ, 85250",+1 480-905-1099,https://www.ulta.com/stores/scottsdale-az-33,33.5375487,-111.8876565,,,n_1070143659,"shop=cosmetics, brand=Ulta Beauty"
"Gila Crossing, AZ",,retail,445110,Albertsons,"6965 North Hayden Road, Scottsdale, AZ, 85250",+1 480-991-9707,https://local.albertsons.com/az/scottsdale/6965-n-hayden-rd.html,33.5375138,-111.906255,,,n_1079350210,"shop=supermarket, brand=Albertsons"
"Gila Crossing, AZ",,retail,452319,Dollar Tree,"3131 East Thunderbird Road, Phoenix, AZ, 85032",+1-602-613-2603,https://locations.dollartree.com/az/phoenix/3131-e-thunderbird-rd,33.6098352,-112.014665,,,n_1140259220,"shop=variety_store, brand=Dollar Tree"
"Gila Crossing, AZ",,retail,445120,Dapper&Stout,,,,33.4478014,-112.070239,,,n_1278936221,shop=convenience
"Gila Crossing, AZ",,retail,445310,Total Wine,"2224 East Williams Field Road, Gilbert, AZ, 85295",+1 480-786-0270,https://www.totalwine.com/store-info/1005,33.3083195,-111.7422316,,,n_1457107425,"shop=alcohol, brand=Total Wine"
"Gila Crossing, AZ",,retail,445110,Trader Joe's,"6202 North Scottsdale Road, Paradise Valley, AZ, 85253",+1 480-948-9886,https://www.traderjoes.com,33.5290131,-111.927455,,,n_1592989381,"shop=supermarket, brand=Trader Joe's"
"Gila Crossing, AZ",,retail,445110,Ranch Market,"6730 West Camelback Road, Glendale, AZ, 85303",,,33.5106787,-112.204137,,,n_1655626368,shop=supermarket
