Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Lake Montezuma, AZ",,retail,445310,Oak Creek Vineyards and Winery,,,,34.7593112,-111.8891074,,,n_1682312646,shop=alcohol
"Lake Montezuma, AZ",,retail,445310,Page Springs Cellars,,,,34.7579075,-111.8948399,,,n_1682312810,shop=alcohol
"Lake Montezuma, AZ",,retail,445310,Javelina Leap Vineyard and Winery,,,,34.7604218,-111.8880292,,,n_1682312896,shop=alcohol
"Lake Montezuma, AZ",,retail,445120,Desert Market at Casey's Corner,"1160 South Page Springs Road, AZ, 86325",,http://cornvilledesertmarket.com,34.7181557,-111.9040795,,,n_1682322592,shop=convenience
"Lake Montezuma, AZ",,retail,445310,Caduceus Cellars,"158 Main Street, Jerome, AZ, 86331",+19286499293,https://caduceus.org/,34.7513282,-112.1164376,,,n_1711536304,shop=wine
"Lake Montezuma, AZ",,retail,445120,Quick Country Store,,,,34.6925306,-111.9810733,,,n_2748920510,shop=convenience
"Lake Montezuma, AZ",,retail,445120,Mini Mart,,,,34.7292082,-112.0226552,,,n_2915383502,shop=convenience
"Lake Montezuma, AZ",,retail,445110,Food City,"Cottonwood, AZ, 86326",+1 928-634-4281,https://www.mifoodcity.com/store/37,34.7273368,-112.010402,,,n_2915384001,"shop=supermarket, brand=Food City"
"Lake Montezuma, AZ",,retail,445120,,,,,34.6100239,-111.8602081,,,n_2993307151,shop=convenience
"Lake Montezuma, AZ",,retail,445110,Safeway,"1635 East Cottonwood Lane, Cottonwood, AZ, 86326",+1 928-634-3711,https://local.safeway.com/safeway/az/cottonwood/1635-e-cottonwood-ln.html,34.7274248,-112.007822,,,n_3660689953,"shop=supermarket, brand=Safeway"
"Lake Montezuma, AZ",,retail,445120,,,,,34.5748446,-111.8832936,,,n_4540099940,shop=convenience
"Lake Montezuma, AZ",,retail,445120,Circle K,"711 State Route 179, Sedona, AZ",,,34.8577727,-111.763487,,,n_5181390721,"shop=convenience, brand=Circle K"
"Lake Montezuma, AZ",,retail,445310,The Art of Wine,,,,34.8674732,-111.7623583,,,n_5679479321,shop=wine
"Lake Montezuma, AZ",,retail,445110,Bashas',,,,34.5670136,-111.864718,,,n_5797702757,"shop=supermarket, brand=Bashas'"
"Lake Montezuma, AZ",,retail,445110,Fry's Food and Drug,"1100 Camp Verde-Bridgeport Highway, Cottonwood, AZ, 86326",+1 928-634-9338,https://www.frysfood.com/stores/grocery/az/cottonwood/hwy-89-260-fir/660/00103,34.7183618,-112.003177,,,n_6719099277,"shop=supermarket, brand=Fry's Food and Drug"
