Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Mammoth, AZ",,retail,445110,Bashas',"15310 North Oracle Road, Tucson, AZ, 85739",+1 520 575 7300,https://www.bashas.com/,32.4835197,-110.9203507,,,n_2557706937,"shop=supermarket, brand=Bashas'"
"Mammoth, AZ",,retail,446120,Golder Ranceh Nails,,+1 520 825 2393,,32.4839745,-110.9205911,,,n_3819628379,shop=beauty
"Mammoth, AZ",,retail,453991,Frank's Smoke Shop,,,,32.4829663,-110.9204743,,,n_3839954518,shop=tobacco
"Mammoth, AZ",,retail,446120,Serenity Salon and Spa,,,,32.4830291,-110.9204578,,,n_3839954522,shop=beauty
"Mammoth, AZ",,retail,445120,Speedway,"105 West 2nd Street, Winkelman, AZ, 85192",520-356-6616,https://www.speedway.com/locations/AZ/Winkelman/105-W-2nd-St,32.987474,-110.7704515,,,n_4145856263,"shop=convenience, brand=Speedway"
"Mammoth, AZ",,retail,445110,Rancheros Market,,,,32.4993134,-110.925369,,,n_6324320201,shop=supermarket
"Mammoth, AZ",,retail,445120,Minit Market,,,,32.5354744,-110.886598,,,n_12533030198,shop=convenience
"Mammoth, AZ",,retail,445120,Valero,,,,32.4823529,-110.9210647,,,w_249088898,"shop=convenience, brand=Valero"
"Mammoth, AZ",,retail,445120,Circle K,"2000 West American Avenue, Oracle, AZ",+1 520 896 9822,,32.6196968,-110.7953105,,,w_249376781,shop=convenience
"Mammoth, AZ",,retail,452319,Dollar General,"2406 West American Avenue, Oracle, AZ, 85623",+1 520 896 3893,https://www.dollargeneral.com/store-directory/az/oracle/10333,32.6203929,-110.7994492,,,w_249376783,"shop=variety_store, brand=Dollar General"
"Mammoth, AZ",,retail,452319,Golden Goose Thrift Shop,"15970 North Oracle Road, Catalina, AZ, 85739",+1 520 825 9101,https://www.goldengooseaz.com/,32.4957778,-110.9243654,,,w_297103059,shop=variety_store
"Mammoth, AZ",,retail,452319,Dollar General,"74 East Main Street, San Manuel, AZ, 85631",+1 520 385 4185,https://www.dollargeneral.com/store-directory/az/san-manuel/10353,32.6006477,-110.6293264,,,w_342580806,"shop=variety_store, brand=Dollar General"
"Mammoth, AZ",,retail,452319,Family Dollar,"440 South Avenue A, San Manuel, AZ, 85631",+1 520 385 4911,https://locations.familydollar.com/az/san-manuel/24943/,32.6022704,-110.6316786,,,w_342580957,shop=variety_store
"Mammoth, AZ",,retail,445120,Salt 'n Pepper Food Mart,"110 North Redington Road, San Manuel, AZ, 85631",,,32.6141846,-110.6287475,,,w_342580987,shop=convenience
"Mammoth, AZ",,retail,452319,Dollar General,"16355 North Oracle Road, AZ, 85739",,https://www.dollargeneral.com/store-directory/az/tucson/14973,32.5031683,-110.9268222,,,w_380879758,"shop=variety_store, brand=Dollar General"
"Mammoth, AZ",,retail,445120,Mount Lemmon General Store,,,,32.4429075,-110.7592868,,,w_527984978,shop=convenience
"Mammoth, AZ",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/az/mammoth/13383,32.725653,-110.6451891,,,w_647106247,"shop=variety_store, brand=Dollar General"
"Mammoth, AZ",,retail,445120,Circle K,,,,32.7243011,-110.6447845,,,w_647106251,shop=convenience
"Mammoth, AZ",,retail,445210,Rancheros Carniceria,"337 North Highway 77, Mammoth, AZ, 85618",+1 520 487 0173,http://www.rancheroscarniceria.com/,32.7332835,-110.6486434,,,w_816708752,shop=butcher
"Mammoth, AZ",,retail,452319,,,,,32.3909971,-110.7084705,,,w_1416218554,shop=general
