Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Martinez Lake, AZ",,retail,445110,,,,,32.8862612,-114.457725,,,n_1101380565,shop=supermarket
"Martinez Lake, AZ",,retail,445110,Hank's Market & Butcher Shop,,,,32.6591917,-114.4100875,,,n_1723039685,shop=supermarket
"Martinez Lake, AZ",,retail,445110,IGA,"367 West 16th Street, Yuma, AZ, 85364",+1 928-479-2000,,32.6970471,-114.623913,,,n_2871217199,"shop=supermarket, brand=IGA, operator=IGA"
"Martinez Lake, AZ",,retail,445310,,"South Pacific Avenue, 85365",,,32.6981941,-114.599269,,,n_4684420495,shop=beverages
"Martinez Lake, AZ",,retail,445120,,,,,32.7027321,-114.6241251,,,n_4691570339,shop=convenience
"Martinez Lake, AZ",,retail,445120,,"820 West 32nd Street, Yuma, AZ, 85364",,,32.6697958,-114.629148,,,n_4691577435,shop=convenience
"Martinez Lake, AZ",,retail,445120,Circle K,"2398 South Avenue B, Yuma, AZ, 85364",,,32.684306,-114.6510679,,,n_4691577439,"shop=convenience, brand=Circle K"
"Martinez Lake, AZ",,retail,445120,Speedway,"351 East 16th Street, Yuma, AZ, 85364",,https://www.speedway.com/locations/AZ/Yuma/351-E-16th-Street,32.6979109,-114.617592,,,n_4693005253,"shop=convenience, brand=Speedway"
"Martinez Lake, AZ",,retail,445120,,,,,32.6834684,-114.616396,,,n_4693011416,shop=convenience
"Martinez Lake, AZ",,retail,445120,Circle K,,,,32.6834628,-114.628542,,,n_4693022585,"shop=convenience, brand=Circle K"
"Martinez Lake, AZ",,retail,445120,Foothills Mini Mart,,,,32.6419132,-114.4104706,,,n_4701859209,shop=convenience
"Martinez Lake, AZ",,retail,445120,,,,,32.6892809,-114.6328485,,,n_4706033319,shop=convenience
"Martinez Lake, AZ",,retail,445120,Speedway,"3200 East Highway 80, Yuma, AZ, 85365",,https://www.speedway.com/locations/AZ/Yuma/3200-OLD-US-HWY-80,32.6702621,-114.5786893,,,n_4706135455,"shop=convenience, brand=Speedway"
"Martinez Lake, AZ",,retail,445120,,,,,32.6847576,-114.5994403,,,n_4706176866,shop=convenience
"Martinez Lake, AZ",,retail,445230,Primetime Harvesting,"3939 South Avenue 3 East, Yuma, AZ, 85365",+19283143566,,32.6558967,-114.5800388,,,n_4730104865,shop=greengrocer
"Martinez Lake, AZ",,retail,445310,Dave mason,,,,33.2410867,-114.6887983,,,n_5167712823,shop=beverages
"Martinez Lake, AZ",,retail,445110,Albertsons,"2378 West 24th Street, Yuma, AZ, 85364",+1 928-343-2330,https://local.albertsons.com/az/yuma/2378-w-24th-st.html,32.6849882,-114.6484023,,,n_6206916585,"shop=supermarket, brand=Albertsons"
"Martinez Lake, AZ",,retail,452319,Family Dollar,,,,32.6659916,-114.4091247,,,n_6879595016,"shop=variety_store, brand=Family Dollar"
"Martinez Lake, AZ",,retail,445120,Tortillería y abarrotes Victoria,"Calle 4ta, 21970",,,32.7144563,-114.7312956,,,n_6913719488,shop=convenience
"Martinez Lake, AZ",,retail,446120,Timeless Hair Salon & Spa,,,,32.7152563,-114.7288765,,,n_7221403670,shop=beauty
"Martinez Lake, AZ",,retail,445120,One Stop Mini Mart,,,,32.7151546,-114.7286034,,,n_7221403674,shop=convenience
"Martinez Lake, AZ",,retail,446120,Cost Cutters,,,,32.6683108,-114.494583,,,n_8265396619,shop=beauty
"Martinez Lake, AZ",,retail,446120,Jen's Nails,,,,32.6683078,-114.4951041,,,n_8265396717,shop=cosmetics
"Martinez Lake, AZ",,retail,452210,Bealls Outlet,,,,32.7020038,-114.6058227,,,n_8858885084,"shop=department_store, brand=Bealls"
"Martinez Lake, AZ",,retail,452210,Marshalls,,,,32.7023581,-114.6061338,,,n_8858885085,"shop=department_store, brand=Marshalls"
"Martinez Lake, AZ",,retail,445120,Speedway,"10800 North Frontage Road, Yuma, AZ, 85364",+1 928 342 2696,https://www.speedway.com/locations/AZ/Yuma/10800-E-North-Frontage-Rd,32.6732886,-114.4446928,,,n_9177077647,"shop=convenience, brand=Speedway"
"Martinez Lake, AZ",,retail,445120,Speedway,"2830 South Pacific Avenue, Yuma, AZ, 85365",,https://www.speedway.com/locations/AZ/Yuma/2830-S-Pacific-Ave,32.6756701,-114.5992208,,,n_9177101883,"shop=convenience, brand=Speedway"
"Martinez Lake, AZ",,retail,445120,Speedway,"2900 South 4th Avenue, Yuma, AZ, 85364",,https://www.speedway.com/locations/AZ/Yuma/2900-S-4th-Ave,32.6745621,-114.6250867,,,n_9177104147,"shop=convenience, brand=Speedway"
"Martinez Lake, AZ",,retail,445110,Albertsons,"252 West 32nd Street, Yuma, AZ, 85364",+1 928-726-9500,https://local.albertsons.com/az/yuma/252-w-32nd-st.html,32.6712479,-114.6210165,,,n_11036406817,"shop=supermarket, brand=Albertsons"
"Martinez Lake, AZ",,retail,445120,Maverik,"2930 East Gila Ridge Road, Yuma, AZ, 85365",+1-520-614-6077,https://www.maverik.com/,32.6880126,-114.5832144,,,n_12366461624,"shop=convenience, brand=Maverik"
"Martinez Lake, AZ",,retail,452210,Burlington,"3140 South 4th Avenue, Yuma, AZ, 85364",,,32.6720299,-114.6273149,,,n_12380991276,"shop=department_store, brand=Burlington"
"Martinez Lake, AZ",,retail,452319,Dollar Tree,,,,32.6743815,-114.6263442,,,n_12380991278,"shop=variety_store, brand=Dollar Tree"
"Martinez Lake, AZ",,retail,445110,Food City,"2600 West 16th Street, Yuma, AZ, 85364",+1 928-343-0840,https://www.mifoodcity.com/store/124,32.699845,-114.6519351,,,n_12380991283,"shop=supermarket, brand=Food City"
"Martinez Lake, AZ",,retail,446110,CVS Pharmacy,,,,32.6992719,-114.6495881,,,n_12380991284,"shop=chemist, brand=CVS Pharmacy"
"Martinez Lake, AZ",,retail,446120,Le Vogue Nails and Spa,"1580 South 4th Avenue, Yuma, AZ, 85364",+1-928-888-6789,https://levoguenailsandspa.com/,32.6991577,-114.6250546,,,n_12850067824,shop=beauty
"Martinez Lake, AZ",,retail,452210,dd's Discounts,"500 West Catalina Drive, Yuma, AZ, 85364",+1-928-344-3245,,32.6743656,-114.6259986,,,n_12852273216,"shop=department_store, brand=dd's Discounts"
"Martinez Lake, AZ",,retail,453110,The Flower Route,"1418 South 4th Avenue, Yuma, AZ, 85364",,,32.7016918,-114.6251416,,,n_12861867670,shop=florist
"Martinez Lake, AZ",,retail,453991,Goodtimes Smokeshop,"139 South 4th Avenue, Yuma, AZ, 85364",,,32.7242995,-114.624396,,,n_12861886797,shop=tobacco
"Martinez Lake, AZ",,retail,446120,Cali Pro Nails,"1659 South 4th Avenue, Yuma, AZ, 85364",,,32.6980473,-114.6231595,,,n_12861913032,shop=beauty
"Martinez Lake, AZ",,retail,445310,Honey Leaf Boba,"1325 Yuma Palms Parkway, 85365",,,32.7041812,-114.6025824,,,n_12959751201,shop=beverages
"Martinez Lake, AZ",,retail,452210,Dillard's,,+1 928-329-4722,https://www.dillards.com/stores/arizona/yuma-palms-regional-center-yuma/0918,32.7013901,-114.6016085,,,w_183939139,"shop=department_store, brand=Dillard's"
"Martinez Lake, AZ",,retail,452210,JCPenney,,,,32.7032759,-114.6017957,,,w_183939141,"shop=department_store, brand=JCPenney"
"Martinez Lake, AZ",,retail,452210,Kohl's,"1350 South Castle Dome Avenue, Yuma, AZ, 85365",+1 928-783-0224,https://www.kohls.com/stores/az/yuma-34.shtml,32.7038845,-114.6087528,,,w_183939145,"shop=department_store, brand=Kohl's"
"Martinez Lake, AZ",,retail,452210,Target,"1450 South Yuma Palms Parkway, Yuma, AZ, 85365-1707",+1 928-343-7470,https://www.target.com/sl/yuma/2083,32.7051219,-114.6060857,,,w_183939147,"shop=department_store, brand=Target"
"Martinez Lake, AZ",,retail,452210,Ross,"1430 Yuma Palms Parkway, Yuma, AZ, 85365",+1 928-373-2063,,32.7015278,-114.6056638,,,w_183939189,"shop=department_store, brand=Ross"
"Martinez Lake, AZ",,retail,452319,Dollar Tree,,,,32.7070083,-114.6092113,,,w_183939210,"shop=variety_store, brand=Dollar Tree"
"Martinez Lake, AZ",,retail,445110,Greentrees Grocery Outlet,"495 East 10th Street, Yuma, AZ, 85364",+19283296664,,32.7090058,-114.6163696,,,w_256675778,shop=supermarket
"Martinez Lake, AZ",,retail,445120,Chevron,"10747 South Fortuna Road, Yuma, AZ, 85367",,,32.6733497,-114.4432154,,,w_274174832,"shop=convenience, brand=Chevron"
"Martinez Lake, AZ",,retail,445110,Fry's Food and Drug,"11203 South Frontage Road, Yuma, AZ, 85367",+1 928-305-1922,https://www.frysfood.com/stores/grocery/az/yuma/i-8-fortuna-rd/660/00699,32.6679587,-114.4405611,,,w_274176029,"shop=supermarket, brand=Fry's Food and Drug"
"Martinez Lake, AZ",,retail,445120,Circle K,,,,32.6675953,-114.4434178,,,w_274176032,"shop=convenience, brand=Circle K"
"Martinez Lake, AZ",,retail,445110,MCAS Yuma Commissary,"3930 Narr Avenue, MCAS Yuma, AZ, 85364",+19282692245,https://www.commissaries.com/stores/html/store.cfm?dodaac=HQCKM5,32.656354,-114.5897796,,,w_274666147,shop=supermarket
"Martinez Lake, AZ",,retail,445110,Walmart Supercenter,"8151 East 32nd Street, Yuma, AZ, 85365",+1 928-344-5974,https://www.walmart.com/store/4325-yuma-az,32.6680981,-114.4931055,,,w_323732751,"shop=supermarket, brand=Walmart, operator=Walmart"
"Martinez Lake, AZ",,retail,445120,ampm,"East 16th Street, AZ",,,32.699076,-114.6111944,,,w_372888586,"shop=convenience, brand=ampm"
"Martinez Lake, AZ",,retail,445120,Circle K,"2600 South Araby Road, Yuma, AZ, 85365",+1 928 317 0648,,32.68052,-114.5223113,,,w_378471525,shop=convenience
"Martinez Lake, AZ",,retail,445120,Circle K,,,,32.6979703,-114.6061191,,,w_380111705,"shop=convenience, brand=Circle K"
"Martinez Lake, AZ",,retail,445120,,,,,32.6993281,-114.6132587,,,w_388571838,shop=convenience
"Martinez Lake, AZ",,retail,445120,Chevron,,,,32.6707253,-114.5225703,,,w_396759146,"shop=convenience, operator=Shay Oil"
"Martinez Lake, AZ",,retail,445120,Food Mart,,,https://chevron.fuellocationmaps.com/en/location/25084-chevron-6868-us-95/,32.6995905,-114.5135563,,,w_454127192,"shop=convenience, brand=Chevron"
"Martinez Lake, AZ",,retail,445110,YPG Commissary,,,,32.8634225,-114.4379014,,,w_475633212,shop=supermarket
"Martinez Lake, AZ",,retail,445120,,,,,32.6708626,-114.5208044,,,w_476192813,shop=convenience
"Martinez Lake, AZ",,retail,445110,Walmart Supercenter,"2501 South Avenue B, Yuma, AZ, 85364",+1 928-317-2776,https://www.walmart.com/store/5342-yuma-az,32.681552,-114.6472666,,,w_478888786,"shop=supermarket, brand=Walmart, operator=Walmart"
"Martinez Lake, AZ",,retail,445120,Chevron Food Mart,"3919 South Avenue 3 East, Yuma, AZ, 85365",+19283410911,https://www.cstoreyuma.com/,32.6567401,-114.5806471,,,w_479981534,"shop=convenience, operator=Shay Oil Company Inc."
