Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Mohave Valley, AZ",,retail,445120,Mobil Mart,"2511 Needles Highway, Needles, CA, 92363",,,34.8510606,-114.6248011,,,n_822412299,"shop=convenience, brand=Mobil Mart"
"Mohave Valley, AZ",,retail,452319,Family Dollar,"1955 South Casino Drive, Laughlin, NV, 89029",,,35.1628067,-114.5753847,,,n_4949969517,"shop=variety_store, brand=Family Dollar"
"Mohave Valley, AZ",,retail,445110,Walmart Supercenter,"2840 Highway 95, Bullhead City, AZ, 86442",+1 928-758-7222,https://www.walmart.com/store/1370-bullhead-city-az,35.082534,-114.5943,,,n_5315601757,"shop=supermarket, brand=Walmart, operator=Walmart"
"Mohave Valley, AZ",,retail,446120,One Up Nails,"1305 Hancock Road, Bullhead City, AZ, 86442",+19282789756,https://www.oneupnails.com/,35.1081494,-114.6018951,,,n_8177809853,shop=beauty
"Mohave Valley, AZ",,retail,445120,South Pointe Market,"3675 Needles Highway, Laughlin, NV, 89029",,,35.1308767,-114.6262566,,,n_10707797065,shop=convenience
"Mohave Valley, AZ",,retail,445110,The Market at Laughlin,"3100 Needles Highway, Laughlin, NV, 89029",,,35.1407335,-114.6219949,,,n_10710015932,shop=supermarket
"Mohave Valley, AZ",,retail,445120,,,,,35.1457773,-114.5443422,,,n_11162418565,shop=convenience
"Mohave Valley, AZ",,retail,445120,,,,,35.026313,-114.5986006,,,n_11162419020,shop=convenience
"Mohave Valley, AZ",,retail,445120,,,,,34.849044,-114.6225979,,,n_11333189258,shop=convenience
"Mohave Valley, AZ",,retail,445120,,,,,34.8507915,-114.624118,,,n_11333189259,shop=convenience
"Mohave Valley, AZ",,retail,445210,Gold Mine Jerky Company,,,,35.0267856,-114.3844016,,,n_11477137841,shop=butcher
"Mohave Valley, AZ",,retail,445292,Gold Rush Candy,,,,35.0268658,-114.3839814,,,n_11481301191,shop=confectionery
"Mohave Valley, AZ",,retail,452210,Target,"3699 Highway 95, Bullhead City, AZ, 86442-9119",+1 928-704-5064,https://www.target.com/sl/bullhead-city/2368,35.0517546,-114.5918442,,,n_12035679418,"shop=department_store, brand=Target"
