Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Pinetop-Lakeside, AZ",,retail,445120,Woody's Food Stores,,,,34.2531146,-110.0377698,,,n_5197258961,shop=convenience
"Pinetop-Lakeside, AZ",,retail,452319,Family Dollar,,,,34.2500335,-110.0406761,,,n_6217985475,"shop=variety_store, brand=Family Dollar"
"Pinetop-Lakeside, AZ",,retail,445120,Speedway,"25 North Main Street, Taylor, AZ, 85939",,https://www.speedway.com/locations/AZ/Taylor/310-N-MAIN,34.4693373,-110.0912871,,,n_9156718816,"shop=convenience, brand=Speedway"
"Pinetop-Lakeside, AZ",,retail,445120,Speedway,"1981 East Deuce Of Clubs, Show Low, AZ, 85901",,https://www.speedway.com/locations/AZ/Show-Low/1981-E-DEUCE-OF-CLUBS,34.2559032,-110.0210495,,,n_9156725893,"shop=convenience, brand=Speedway"
"Pinetop-Lakeside, AZ",,retail,445120,Speedway,"331 West Deuce of Clubs, Show Low, AZ, 85901",,https://www.speedway.com/locations/AZ/Show-Low/331-W-Deuce-of-Clubs,34.2481543,-110.0461538,,,n_9156728467,"shop=convenience, brand=Speedway"
"Pinetop-Lakeside, AZ",,retail,445120,Speedway,"1653 West White Mountain Boulevard, Lakeside, AZ, 85929",,https://www.speedway.com/locations/AZ/Lakeside/1653-W-White-Mountain-Blvd,34.1521038,-109.9736857,,,n_9157799749,"shop=convenience, brand=Speedway"
"Pinetop-Lakeside, AZ",,retail,445120,Speedway,"1790 South White Mountain Road, Show Low, AZ, 85901",,https://www.speedway.com/locations/AZ/Show-Low/1790-S-WHITE-MOUNTAIN-RD,34.2332401,-110.0271173,,,n_9157819603,"shop=convenience, brand=Speedway"
"Pinetop-Lakeside, AZ",,retail,445120,Snack Shack,,,,34.2596117,-110.08431,,,n_11051278683,shop=convenience
"Pinetop-Lakeside, AZ",,retail,452210,TJ Maxx,,,,34.2483201,-110.0497483,,,n_12883578296,"shop=department_store, brand=TJ Maxx"
"Pinetop-Lakeside, AZ",,retail,445110,Safeway,"20 West White Mountain Boulevard, Pinetop-Lakeside, AZ, 85935",+1 928-367-6677,https://local.safeway.com/safeway/az/pinetop-lakeside/20-w-white-mountain-blvd.html,34.1431031,-109.9543331,,,w_230763982,"shop=supermarket, brand=Safeway"
"Pinetop-Lakeside, AZ",,retail,445120,Carrizo Store,,,,34.0038189,-110.2547299,,,w_286829810,shop=convenience
"Pinetop-Lakeside, AZ",,retail,445120,Midway Store,,,,34.2719184,-109.6928756,,,w_354135483,shop=convenience
"Pinetop-Lakeside, AZ",,retail,445120,Stanford General Store,,,,34.2882449,-109.8286169,,,w_375311902,shop=convenience
"Pinetop-Lakeside, AZ",,retail,445110,Safeway,"900 West Deuce Of Clubs, Show Low, AZ, 85901",+1 928-532-5656,https://local.safeway.com/safeway/az/show-low/900-w-deuce-of-clubs.html,34.2468338,-110.0522845,,,w_382975196,"shop=supermarket, brand=Safeway"
