Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Rio Verde, AZ",,retail,445110,Albertsons,"18411 North Cave Creek Road, Phoenix, AZ, 85032",+1 602-494-7388,https://local.albertsons.com/az/phoenix/18411-n-cave-creek-rd.html,33.6534775,-112.0295607,,,n_631702487,"shop=supermarket, brand=Albertsons"
"Rio Verde, AZ",,retail,452210,Target,"12602 North Paradise Village Parkway West, Phoenix, AZ, 85032",+1 602-953-2151,https://www.target.com/sl/paradise-valley/233,33.6003765,-111.989399,,,n_654574321,"shop=department_store, brand=Target"
"Rio Verde, AZ",,retail,445110,Sprouts Farmers Market,"12415 North Tatum Boulevard, Phoenix, AZ, 85032",+1 602-971-4177,https://www.sprouts.com/store/az/phoenix/paradise-valley/,33.5995046,-111.978748,,,n_706931745,"shop=supermarket, brand=Sprouts Farmers Market"
"Rio Verde, AZ",,retail,445110,Safeway,"3132 East Camelback Road, Phoenix, AZ, 85016",+1 602-955-6455,https://local.safeway.com/safeway/az/phoenix/3132-e-camelback-rd.html,33.51122,-112.0147691,,,n_903327798,"shop=supermarket, brand=Safeway"
"Rio Verde, AZ",,retail,446120,Ulta Beauty,"9019 East Talking Stick Way, Scottsdale, AZ, 85250",+1 480-905-1099,https://www.ulta.com/stores/scottsdale-az-33,33.5375487,-111.8876565,,,n_1070143659,"shop=cosmetics, brand=Ulta Beauty"
"Rio Verde, AZ",,retail,445110,Albertsons,"6965 North Hayden Road, Scottsdale, AZ, 85250",+1 480-991-9707,https://local.albertsons.com/az/scottsdale/6965-n-hayden-rd.html,33.5375138,-111.906255,,,n_1079350210,"shop=supermarket, brand=Albertsons"
"Rio Verde, AZ",,retail,452319,Dollar Tree,"3131 East Thunderbird Road, Phoenix, AZ, 85032",+1-602-613-2603,https://locations.dollartree.com/az/phoenix/3131-e-thunderbird-rd,33.6098352,-112.014665,,,n_1140259220,"shop=variety_store, brand=Dollar Tree"
"Rio Verde, AZ",,retail,445110,Trader Joe's,"6202 North Scottsdale Road, Paradise Valley, AZ, 85253",+1 480-948-9886,https://www.traderjoes.com,33.5290131,-111.927455,,,n_1592989381,"shop=supermarket, brand=Trader Joe's"
"Rio Verde, AZ",,retail,445310,,,,,33.4153247,-111.5653911,,,n_1606736474,shop=alcohol
"Rio Verde, AZ",,retail,445110,Fry's Marketplace,"3246 East Bell Road, Phoenix, AZ, 85032",+1 602-765-4633,https://www.frysfood.com/stores/grocery/az/phoenix/32nd-st-bell-rd/660/00618,33.6418104,-112.01108,,,n_1680973812,"shop=supermarket, brand=Fry's Marketplace"
"Rio Verde, AZ",,retail,445120,7-Eleven,,,,33.6401882,-112.0045374,,,n_1680973983,"shop=convenience, brand=7-Eleven"
"Rio Verde, AZ",,retail,445110,Fry's Food and Drug,"4505 East Thomas Road, Phoenix, AZ, 85018",+1 602-952-1491,https://www.frysfood.com/stores/grocery/az/phoenix/44th-st-thomas/660/00135,33.4791949,-111.984154,,,n_1686021865,"shop=supermarket, brand=Fry's Food and Drug"
"Rio Verde, AZ",,retail,445120,Circle K,"620 East Carefree Highway, Phoenix, AZ, 85085",,,33.7998279,-112.0663068,,,n_2011584847,"shop=convenience, brand=Circle K"
