Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Round Valley, AZ",,retail,446120,Shabby Chic Salon,,,,37.0441597,-112.526692,,,n_3588325652,shop=beauty
"Round Valley, AZ",,retail,445120,7-Eleven,"301 S Fairway Drive, Kanab, UT, 84741",,,37.0431965,-112.5137321,,,n_3977396004,"shop=convenience, brand=7-Eleven"
"Round Valley, AZ",,retail,452319,Family Dollar,"300 South Main Street, AZ",,,36.9438926,-112.5267856,,,n_4008887481,"shop=variety_store, brand=Family Dollar"
"Round Valley, AZ",,retail,445120,Short Stop,,,,36.9493307,-112.5259269,,,n_6037445485,shop=convenience
"Round Valley, AZ",,retail,445110,Natural Foods,,,,37.0425922,-112.5270826,,,n_8121346998,shop=supermarket
"Round Valley, AZ",,retail,446120,Rose Nails & Spa,,,,37.0425922,-112.5269302,,,n_8121346999,shop=beauty
"Round Valley, AZ",,retail,452319,Denny’s Wigwam & Curios,"78 East Center Street, 84741",+1 435 644 2452,https://www.dennyswigwam.com/,37.0478379,-112.527276,,,n_8388335617,shop=variety_store
"Round Valley, AZ",,retail,445120,Stage Stop,,,,37.0433315,-112.5269608,,,n_8931105601,shop=convenience
"Round Valley, AZ",,retail,452319,Dollar General,,,,36.9599313,-112.5264041,,,n_12777585876,"shop=variety_store, brand=Dollar General"
"Round Valley, AZ",,retail,445110,Honey's Market,,,,37.0424035,-112.5224881,,,w_113610151,shop=supermarket
"Round Valley, AZ",,retail,445110,Glazier's Market,"264 South 100 East, Kanab, UT, 84741",+1-435-644-5029,,37.0436815,-112.5272639,,,w_113610163,shop=supermarket
"Round Valley, AZ",,retail,452319,Family Dollar,,,,37.0425429,-112.5190578,,,w_113718321,"shop=variety_store, brand=Family Dollar"
"Round Valley, AZ",,retail,445120,Judd Auto,"623 South Main Street, Fredonia, AZ, 86022",,,36.9400684,-112.5215918,,,w_322898512,shop=convenience
"Round Valley, AZ",,retail,445310,The Border Store,,,,36.9994171,-112.5296057,,,w_589550836,shop=alcohol
"Round Valley, AZ",,retail,445120,Food Mart,"212 W Center Street, Kanab, UT, 84741",,,37.048448,-112.533301,,,w_589550863,shop=convenience
