Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"San Tan Valley, AZ",,retail,445210,Pork Shop,"3359 East Combs Road, San Tan Valley, AZ, 85140",,,33.21975,-111.5298,,,n_293034037,shop=butcher
"San Tan Valley, AZ",,retail,445110,Bashas',,,,33.3332955,-111.9121727,,,n_315644078,"shop=supermarket, brand=Bashas'"
"San Tan Valley, AZ",,retail,445110,Fry's Marketplace,"9900 South Rural Road, Tempe, AZ, 85284",+1 480-783-6200,https://www.frysfood.com/stores/grocery/az/tempe/ray-rural/660/00627,33.3219218,-111.9302897,,,n_315987032,"shop=supermarket, brand=Fry's Food and Drug"
"San Tan Valley, AZ",,retail,445110,Safeway,"1449 North Arizona Boulevard, Coolidge, AZ, 85128",+1 520-723-5300,https://local.safeway.com/safeway/az/coolidge/1449-n-arizona-blvd.html,32.9938537,-111.521636,,,n_672990484,"shop=supermarket, brand=Safeway"
"San Tan Valley, AZ",,retail,445310,Total Wine,"2224 East Williams Field Road, Gilbert, AZ, 85295",+1 480-786-0270,https://www.totalwine.com/store-info/1005,33.3083195,-111.7422316,,,n_1457107425,"shop=alcohol, brand=Total Wine"
"San Tan Valley, AZ",,retail,445310,,,,,33.4153247,-111.5653911,,,n_1606736474,shop=alcohol
"San Tan Valley, AZ",,retail,445110,Bashas',"4855 East Warner Road, Phoenix, AZ, 85044",,,33.330375,-111.978455,,,n_1675449695,"shop=supermarket, brand=Bashas', operator=Bashas"
"San Tan Valley, AZ",,retail,445110,Fry's Food and Drug,"1950 West Ray Road, Chandler, AZ, 85224",+1 480-814-0178,https://www.frysfood.com/stores/grocery/az/chandler/dobson-ray-rd/660/00051,33.3218516,-111.8748774,,,n_1934233955,"shop=supermarket, brand=Fry's Food and Drug"
"San Tan Valley, AZ",,retail,452210,Dillard's,,+1 480-735-2060,https://www.dillards.com/stores/arizona/chandler-fashion-center-chandler/0908,33.3024642,-111.8965133,,,n_2053899769,"shop=department_store, brand=Dillard's"
"San Tan Valley, AZ",,retail,446120,Beverly Nails and Spa,"849 North Dobson Road, Mesa, AZ, 85201",,,33.4332695,-111.86895,,,n_2082893740,shop=beauty
"San Tan Valley, AZ",,retail,446120,Neo's Medspa,,,,33.3046664,-111.8983201,,,n_2143498662,shop=beauty
"San Tan Valley, AZ",,retail,446120,Celebrity Tanning,"1901 South Signal Butte Road, Mesa, AZ, 85209",,,33.3812911,-111.5988997,,,n_2216786618,shop=beauty
"San Tan Valley, AZ",,retail,452319,Dollar General,"725 West Apache Trail, Apache Junction, AZ, 85120",+1 480 288 8430,https://www.dollargeneral.com/store-directory/az/apache-junction/6710,33.4134607,-111.5535768,,,n_2231361026,"shop=variety_store, brand=Dollar General"
"San Tan Valley, AZ",,retail,446120,Tips n Toes Nail Spa,"21582 South Ellsworth Loop Road, Queen Creek, AZ, 85142",+1 480 882-1964,http://tipsntoesnailspa.com/,33.2521596,-111.6382837,,,n_2279247721,shop=beauty
"San Tan Valley, AZ",,retail,446120,Sola Salons,"1940 West Chandler Boulevard, Chandler, AZ, 85224",,,33.3072987,-111.875636,,,n_2291914188,"shop=beauty, brand=Sola Salons"
"San Tan Valley, AZ",,retail,445110,Safeway,"1159 West Chandler Boulevard, Chandler, AZ, 85224",+1 480-726-7776,https://local.safeway.com/safeway/az/chandler/1159-w-chandler-blvd.html,33.3039271,-111.863269,,,n_2291914196,"shop=supermarket, brand=Safeway"
"San Tan Valley, AZ",,retail,452210,Macy's,,,https://www.macys.com/stores/az/chandler/chandler-fashion-center_453.html,33.3006985,-111.8968872,,,n_2291940956,"shop=department_store, brand=Macy's"
"San Tan Valley, AZ",,retail,446120,CreativTouch Nails & Spa,"20928 East Heritage Loop Road, Queen Creek, AZ, 85242",,,33.2515527,-111.6318855,,,n_2317034462,shop=beauty
"San Tan Valley, AZ",,retail,446120,Hand & Stone Massage and Facials Spa,,,,33.3211745,-111.9783156,,,n_2621530997,shop=beauty
"San Tan Valley, AZ",,retail,446120,Regal Nails,"2555 West Apache Trail, Apache Junction, AZ, 85220",+1 480 288 9690,https://regalnails.com/,33.4136489,-111.574773,,,n_2666374551,"shop=beauty, brand=Regal Nails"
"San Tan Valley, AZ",,retail,452319,Dollar Tree,"2540 West Apache Trail, Apache Junction, AZ, 85120",+1 480 366 6815,https://www.dollartree.com/locations/az/apache-junction/3719/,33.4162956,-111.5734355,,,n_2684615474,"shop=variety_store, brand=Dollar Tree"
"San Tan Valley, AZ",,retail,445120,,,,,32.9091819,-111.7392812,,,n_2686022029,shop=convenience
"San Tan Valley, AZ",,retail,445120,,,,,32.8936075,-111.7405602,,,n_2686022035,shop=convenience
"San Tan Valley, AZ",,retail,446120,Bare Necessity Wax & Spa,323 S. Gilbert Rd. Ste 117,480-290-5576,https://www.barenecessitywaxspa.com/,33.3441054,-111.788659,,,n_2750909658,shop=beauty
"San Tan Valley, AZ",,retail,452210,Big Lots,"10603 East Main Street, Mesa, AZ, 85120",+1 480-984-7161,https://local.biglots.com/az/apache-junction/10603-e-apache-trail,33.413572,-111.601983,,,n_2810118310,"shop=department_store, brand=Big Lots"
"San Tan Valley, AZ",,retail,452210,Beall's Outlet,"725 West Apache Trail, Apache Junction, AZ, 85120",+1 480 983 6112,https://www.beallsoutlet.com/,33.4134737,-111.553154,,,n_2881862760,"shop=department_store, brand=Bealls"
"San Tan Valley, AZ",,retail,452319,99 Cents Only Stores,"3003 West Apache Trail, Apache Junction, AZ, 85120",,https://locations.99only.com/az/apachejunction/discount-store-219.html,33.413871,-111.578296,,,n_2946898986,"shop=variety_store, brand=99 Cents Only Stores"
"San Tan Valley, AZ",,retail,452210,Kohl's,"4637 East Chandler Boulevard, Phoenix, AZ, 85048",+1 480-785-7561,https://www.kohls.com/stores/az/phoenix-613.shtml,33.3030311,-111.9824054,,,n_3084660706,"shop=department_store, brand=Kohl's"
"San Tan Valley, AZ",,retail,445120,,,,,32.8801677,-111.6906414,,,n_3158788556,shop=convenience
"San Tan Valley, AZ",,retail,445110,Safeway,"1637 North Trekell Road, Casa Grande, AZ, 85122",+1 520-421-7447,https://local.safeway.com/safeway/az/casa-grande/1637-n-trekell-rd.html,32.8953136,-111.7415564,,,n_3158796084,"shop=supermarket, brand=Safeway"
"San Tan Valley, AZ",,retail,445120,,,,,32.893769,-111.7482391,,,n_3161785847,shop=convenience
"San Tan Valley, AZ",,retail,445120,,,,,32.940876,-111.7559626,,,n_3169767269,shop=convenience
"San Tan Valley, AZ",,retail,445120,,"5550 East Mckellips Road, Mesa, AZ, 85215",,,33.4522571,-111.7106263,,,n_3189511752,shop=convenience
"San Tan Valley, AZ",,retail,445120,Shell,"7138 East United States Highway 60, Gold Canyon, AZ, 85118",,,33.3584832,-111.4672155,,,n_3367461527,"shop=convenience, brand=Shell"
"San Tan Valley, AZ",,retail,446120,Charming Nails,"183 West Apache Trail, Apache Junction, AZ, 85120",+1 480 288 4899,,33.4119829,-111.5482175,,,n_3661315345,shop=beauty
"San Tan Valley, AZ",,retail,445120,,,,,33.4143931,-111.8578932,,,n_3709672594,shop=convenience
"San Tan Valley, AZ",,retail,453991,AJ Tobacco & Liquor,"1601 West Apache Trail, Apache Junction, AZ, 85120",+1 480 983 5383,http://ajtobaccoliquor.com/,33.4148272,-111.5636801,,,n_3855973139,shop=tobacco
