Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Strawberry, AZ",,retail,445120,Clints Well store,,,,34.5462936,-111.321845,,,n_1435066501,shop=convenience
"Strawberry, AZ",,retail,445120,,,,,34.5748446,-111.8832936,,,n_4540099940,shop=convenience
"Strawberry, AZ",,retail,445110,Bashas',,,,34.5670136,-111.864718,,,n_5797702757,"shop=supermarket, brand=Bashas'"
"Strawberry, AZ",,retail,445120,Speedway,"910 South Beeline Highway, Payson, AZ, 85541",,https://www.speedway.com/locations/AZ/Payson/910-S-Beeline-Hwy,34.2288936,-111.3280446,,,n_11023129975,"shop=convenience, brand=Speedway"
"Strawberry, AZ",,retail,445120,,,,,34.6442458,-111.7856114,,,n_12089505446,shop=convenience
"Strawberry, AZ",,retail,452210,Big Lots,"400 East Highway 260, Payson, AZ, 85541",+1 928-468-9764,https://local.biglots.com/az/payson/400-e-state-hwy-260,34.2418929,-111.3177725,,,n_12143444508,"shop=department_store, brand=Big Lots"
"Strawberry, AZ",,retail,445120,Houston Mesa General Store & Fuelwoods,"8157 Deadeye Road, Payson, AZ, 85541",928-474-9859,https://houstonmesageneralstore.com,34.2808396,-111.2952698,,,n_12315805001,"shop=convenience, operator=Joseph Gehring"
"Strawberry, AZ",,retail,445292,Country Charm Fudge & Gifts,,,,34.2488236,-111.3232402,,,n_12865753784,shop=confectionery
"Strawberry, AZ",,retail,445110,Walmart Supercenter,"300 North Beeline Highway, Payson, AZ, 85541",+1 928-474-0029,https://www.walmart.com/store/1369-payson-az,34.244502,-111.3253368,,,w_92482874,"shop=supermarket, brand=Walmart, operator=Walmart"
"Strawberry, AZ",,retail,445120,Ponderosa Market,"6112 West Hardscrabble Mesa Road, Pine, AZ, 85544",,,34.3851662,-111.4555371,,,w_300591623,shop=convenience
"Strawberry, AZ",,retail,445120,Tonto Apache Mart,,,,34.2193374,-111.3311109,,,w_346958842,"shop=convenience, brand=Mobil Mart"
"Strawberry, AZ",,retail,445120,Circle K,,,,34.2546489,-111.2629991,,,w_382886962,"shop=convenience, brand=Circle K"
"Strawberry, AZ",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-475+w+finnie+flat+rd-camp+verde-az-86322/id=12385,34.5653845,-111.8621415,,,w_551694665,"shop=chemist, brand=Walgreens"
"Strawberry, AZ",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/az/camp-verde/25558,34.5661687,-111.8712829,,,w_612478970,"shop=variety_store, brand=Dollar General"
"Strawberry, AZ",,retail,452319,Family Dollar,,,,34.5652314,-111.8651158,,,w_612478972,"shop=variety_store, brand=Family Dollar"
"Strawberry, AZ",,retail,446110,Walgreens,"100 South Beeline Highway, Payson, AZ, 85541",,https://www.walgreens.com/locator/walgreens-100+s+beeline+hwy-payson-az-85541/id=6533,34.2401024,-111.3238122,,,w_637652457,"shop=chemist, brand=Walgreens"
"Strawberry, AZ",,retail,445120,Circle K,"606 North Beeline Highway, Payson, AZ, 85541",,,34.2481279,-111.3233805,,,w_647553822,"shop=convenience, brand=Circle K"
"Strawberry, AZ",,retail,445120,Beaver Hollow Mini Mart,"1955 East Cornville Road, Rimrock, AZ, 86335",,,34.6409114,-111.8165781,,,w_828533640,shop=convenience
"Strawberry, AZ",,retail,445120,McGuireville Mini Mart,"2105 East Beaver Creek Road, Rimrock, AZ, 86335",+1-928-567-5419,,34.6374977,-111.8148701,,,w_828533642,shop=convenience
"Strawberry, AZ",,retail,445120,Rye Mercantile,,+19284746174,,34.0891852,-111.352882,,,w_974815701,shop=convenience
"Strawberry, AZ",,retail,445120,Speedway,"2010 North Beeline Highway, Payson, AZ, 85541",,https://www.speedway.com/locations/AZ/Payson/2010-N-Beeline-Hwy,34.2679268,-111.3228185,,,w_989265246,"shop=convenience, brand=Speedway"
"Strawberry, AZ",,retail,445120,Speedway,"701 East Highway 260, Payson, AZ, 85541",,https://www.speedway.com/locations/AZ/Payson/701-E-Hwy-260,34.2409876,-111.3126156,,,w_989773376,"shop=convenience, brand=Speedway"
"Strawberry, AZ",,retail,445120,Payson Marketplace,,,,34.2556473,-111.3229591,,,w_1014205719,shop=convenience
"Strawberry, AZ",,retail,445120,Ernie's,,,,34.5552852,-111.8534605,,,w_1080813629,shop=convenience
"Strawberry, AZ",,retail,445110,Bashas',"142 East Az Highway 260, Payson, AZ, 85541",,,34.2421899,-111.3211831,,,w_1182136082,"shop=supermarket, brand=Bashas'"
"Strawberry, AZ",,retail,445120,,"715 North Beeline Highway, Payson, AZ, 85541",,,34.2498103,-111.3217801,,,w_1182136109,shop=convenience
"Strawberry, AZ",,retail,445110,Safeway,"401 East Highway 260, Payson, AZ, 85541",+1 928-472-8208,https://local.safeway.com/safeway/az/payson/401-state-route-260.html,34.2396158,-111.3176168,,,w_1307340404,"shop=supermarket, brand=Safeway"
