Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Window Rock, AZ",,retail,445120,Speedway,"Navajo Route 12, Fort Defiance, AZ, 86504",,https://www.speedway.com/locations/AZ/Fort-Defiance/Navajo-Route-12-+-Kit-Carson-Dr,35.7349961,-109.0595121,,,n_2111444184,"shop=convenience, brand=Speedway"
"Window Rock, AZ",,retail,445120,Yah ta Hey,,,,35.6303331,-108.7852425,,,n_2111444771,shop=convenience
"Window Rock, AZ",,retail,445120,Xpress Dollar,,,,35.6658214,-109.055888,,,n_2269992530,shop=convenience
"Window Rock, AZ",,retail,445120,Red Mesa Express gas & convenience,,,,35.6275582,-108.779972,,,n_2510098240,shop=convenience
"Window Rock, AZ",,retail,445120,Speedway,"701 Highway 491, Gallup, NM, 87301",,https://www.speedway.com/locations/NM/Gallup/701-N-Hwy-491,35.5326491,-108.7596995,,,n_2510098870,"shop=convenience, brand=Speedway"
"Window Rock, AZ",,retail,445110,Shop-n-Save,,,,35.5293451,-108.7260709,,,n_2510099168,shop=supermarket
"Window Rock, AZ",,retail,445110,Albertsons,"1702 East Historic Highway 66, Gallup, NM, 87301",+1 505-722-4457,https://local.albertsons.com/nm/gallup/1702-e-66th-ave.html,35.5292227,-108.7167066,,,n_2510099198,"shop=supermarket, brand=Albertsons"
"Window Rock, AZ",,retail,446110,Walgreens,"1870 East Historic Highway 66, Gallup, NM, 87301",,https://www.walgreens.com/locator/walgreens-1870+e+historic+highway+66-gallup-nm-87301/id=9007,35.5290048,-108.71521,,,n_2510099356,"shop=chemist, brand=Walgreens"
"Window Rock, AZ",,retail,445120,Stateline General Stores,"Lupton, AZ, 86508",,,35.3595829,-109.0506832,,,n_6738246221,shop=convenience
"Window Rock, AZ",,retail,452319,Family Dollar,"Historic US Highway 66, Gallup",,,35.5286649,-108.6940453,,,n_8348365175,"shop=variety_store, brand=Family Dollar"
"Window Rock, AZ",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/nm/gallup/12336,35.5287047,-108.7058664,,,n_8348365196,"shop=variety_store, brand=Dollar General"
"Window Rock, AZ",,retail,445110,Pronto Food Mart,,,,35.5285236,-108.7046628,,,n_8354073809,shop=supermarket
