Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Wittmann, AZ",,retail,452210,JCPenney,"7750 West Arrowhead Towne Center;West Arrowhead Town Ctr, Glendale, AZ, 85308",,,33.6414553,-112.2267238,,,n_1355987216,"shop=department_store, brand=JCPenney, operator=jcpenny"
"Wittmann, AZ",,retail,452210,Dillard's,"7800 West Arrowhead Town Ctr, Glendale, AZ, 85308",+1 623-979-1128,https://www.dillards.com/stores/arizona/arrowhead-towne-center-glendale/0907,33.6419971,-112.2279837,,,n_1355987223,"shop=department_store, brand=Dillard's"
"Wittmann, AZ",,retail,452210,Macy's,"7600 West Arrowhead Towne Center;West Arrowhead Town Ctr, Glendale, AZ, 85308",,https://www.macys.com/stores/az/glendale/arrowhead-towne-center_452.html,33.6419238,-112.222811,,,n_1355987224,"shop=department_store, brand=Macy's"
"Wittmann, AZ",,retail,445110,Safeway,"3655 West Anthem Way, Anthem, AZ, 85086",+1 623-745-3800,https://local.safeway.com/safeway/az/anthem/3655-w-anthem-way.html,33.865149,-112.138994,,,n_1707643304,"shop=supermarket, brand=Safeway"
"Wittmann, AZ",,retail,445120,Circle K,,,,33.6245842,-112.201957,,,n_1798832871,"shop=convenience, brand=Circle K"
"Wittmann, AZ",,retail,445120,Shell,"31120 US Highway 60, Wittmann, AZ, 85361",,,33.7652314,-112.51401,,,n_1814508674,"shop=convenience, brand=Shell"
"Wittmann, AZ",,retail,445120,Wells Country Store,,,,33.7806269,-112.5331291,,,n_1815690242,shop=convenience
"Wittmann, AZ",,retail,445110,Walmart Neighborhood Market,"7450 West Glendale Avenue, Glendale, AZ, 85303",+1 623-915-2632,https://www.walmart.com/store/3314-glendale-az,33.5391322,-112.218867,,,n_2253094777,"shop=supermarket, brand=Walmart, operator=Walmart"
"Wittmann, AZ",,retail,452319,Family Dollar,"6744 North 67th Avenue, Glendale, AZ, 85303",,https://www.familydollar.com/,33.5395816,-112.204523,,,n_2253210754,"shop=variety_store, brand=Family Dollar"
"Wittmann, AZ",,retail,445120,Fast Market,"5905 West Cactus Road, Glendale, AZ, 85304",,,33.5959794,-112.1865463,,,n_2491828113,shop=convenience
"Wittmann, AZ",,retail,446120,Nails & Spa by Cindy,"6766 West Glendale Avenue, Glendale, AZ, 85303",623-322-3798,nailsbycindy.setmore.com,33.5389123,-112.205022,,,n_2557707564,shop=beauty
"Wittmann, AZ",,retail,445120,,,,,33.666932,-112.1684306,,,n_2605749613,shop=convenience
"Wittmann, AZ",,retail,445120,,,,,33.6389642,-112.1535066,,,n_2610747073,shop=convenience
"Wittmann, AZ",,retail,445120,Beer And Wine,"6448 West Glendale Avenue, Glendale, AZ, 85301",,,33.5387018,-112.1989331,,,n_2616445052,shop=convenience
"Wittmann, AZ",,retail,445120,Fry's Fuel,"1380 South Watson Road, Buckeye, AZ, 85326",,,33.4339288,-112.5567765,,,n_2766199480,shop=convenience
"Wittmann, AZ",,retail,445110,Fry's Food and Drug,"4315 West Bell Road, Phoenix, AZ, 85308",+1 602-978-2590,https://www.frysfood.com/stores/grocery/az/glendale/43rd-ave-bell-rd/660/00028,33.6379412,-112.152591,,,n_2810933508,"shop=supermarket, brand=Fry's Food and Drug"
"Wittmann, AZ",,retail,445120,,"10120 West Bell Road, Sun City, AZ, 85351",,,33.638643,-112.278432,,,n_2810933526,shop=convenience
"Wittmann, AZ",,retail,445120,Fry's Fuel,"7509 West Cactus Road, Peoria, AZ, 85381",,,33.595338,-112.220756,,,n_2856707981,shop=convenience
"Wittmann, AZ",,retail,446120,Belle Nails,"8345 West Glendale Avenue, Glendale, AZ, 85305",,,33.537138,-112.239546,,,n_2991621156,shop=beauty
"Wittmann, AZ",,retail,445120,4 Son's,,,,33.8718519,-112.1515875,,,n_3055556192,shop=convenience
"Wittmann, AZ",,retail,445110,Lee Lee Oriental Supermarket,"7575 West Cactus Road, Peoria, AZ, 85381",,,33.5947986,-112.222189,,,n_3085412780,shop=supermarket
"Wittmann, AZ",,retail,445110,Safeway,"3450 West Bell Road, Phoenix, AZ, 85053",+1 602-863-1431,https://local.safeway.com/safeway/az/phoenix/3450-w-bell-rd.html,33.6406864,-112.1333598,,,n_3093928259,"shop=supermarket, brand=Safeway"
"Wittmann, AZ",,retail,445120,Shell,"5904 West Greenway Road, Glendale, AZ, 85306",,,33.6255303,-112.186226,,,n_3095003391,"shop=convenience, brand=Shell"
