Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Circle City, AZ",,wholesale,424490,DashMart,,,,33.612009,-112.2487624,,,n_11216886212,shop=wholesale
"Circle City, AZ",,wholesale,424480,Grand Avenue Produce Co.,,,,33.6019013,-112.2521009,,,n_11218914455,shop=wholesale
"Circle City, AZ",,wholesale,424490,RE Michel Company,,,,33.5993425,-112.2540951,,,n_11218914464,shop=wholesale
"Circle City, AZ",,wholesale,424490,Eco Building Systems,,,,33.5993858,-112.2531441,,,n_11218914465,shop=wholesale
"Circle City, AZ",,wholesale,424490,Goodman Distribution Inc,,,,33.5996666,-112.251486,,,n_11218914468,shop=wholesale
"Circle City, AZ",,wholesale,424490,AAA Sun Control,,,,33.5740249,-112.2565819,,,n_11282543162,shop=wholesale
"Circle City, AZ",,wholesale,424490,Costco,"17550 North 79th Avenue, Glendale, AZ, 85308",+1 623-776-4003,https://www.costco.com/warehouse-locations/glendale-az-674.html,33.6432748,-112.233493,,,w_156541237,"shop=wholesale, brand=Costco"
"Circle City, AZ",,wholesale,424490,Sam's Club,"18495 North 83rd Avenue, Glendale, AZ, 85308",+1 623-825-9257,https://www.samsclub.com/club/glendale-az-sams-club/4732,33.6489468,-112.2344235,,,w_347132479,"shop=wholesale, brand=Sam's Club, operator=Walmart"
"Circle City, AZ",,wholesale,424490,Sam's Club,"16573 West Bell Road, Surprise, AZ, 85374",+1 623-584-0054,https://www.samsclub.com/club/surprise-az-sams-club/4955,33.6358623,-112.4153671,,,w_614365291,"shop=wholesale, brand=Sam's Club"
"Circle City, AZ",,wholesale,424490,Horizon Distributors,"8746 West Kelton Lane, Peoria, AZ, 85382",,,33.6358137,-112.2477172,,,w_842254979,shop=wholesale
"Circle City, AZ",,wholesale,424490,Costco,"16385 West Waddell Road, Surprise, AZ, 85388",+1 602-325-1799,https://www.costco.com/warehouse-locations/surprise-az-1375.html,33.6078769,-112.4109148,,,w_848965504,"shop=wholesale, wholesale=general, brand=Costco"
"Circle City, AZ",,wholesale,424490,Rail-Tek Supply,"9129 West Grand Avenue, Peoria, AZ, 85345",,,33.5924634,-112.2568741,,,w_1155064219,shop=wholesale
"Circle City, AZ",,wholesale,424490,Airgas Store,"9201 West Grand Avenue, Peoria, AZ, 85345",,,33.5927265,-112.2576818,,,w_1212413235,shop=wholesale
"Circle City, AZ",,wholesale,424490,Sun Living Designs,"10728 North 96th Avenue, Peoria, AZ, 85345",,,33.5828527,-112.26598,,,w_1214221622,shop=wholesale
"Circle City, AZ",,wholesale,424490,Costco,"1111 North Verrado Way, Buckeye, AZ, 85326",+1-480-618-4000;+1 480-618-4000,https://www.costco.com/warehouse-locations/buckeye-az-1653.html,33.4604443,-112.5014436,,,w_1304728462,"shop=wholesale, wholesale=yes, brand=Costco"
