Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"San Tan Valley, AZ",,wholesale,424490,Dulceria La Bonita Wholesale,"1232 East Southern Avenue, Mesa, AZ, 85204",,,33.3939591,-111.803837,,,n_8645702361,shop=confectionery
"San Tan Valley, AZ",,wholesale,424490,Mayesh Wholesale Florist Inc.,"3365 North Nevada Street, Chandler, AZ, 85225",,,33.354301,-111.8337468,,,w_827959322,shop=florist
"San Tan Valley, AZ",,wholesale,424490,Cayden's Place: A Discount Wholesaler,"1731 East Broadway Road, Tempe, AZ, 85282",,,33.4065465,-111.910984,,,w_1284296383,shop=variety_store
"San Tan Valley, AZ",,wholesale,424490,Raneem's Wholesale,"2080 East University Drive, Tempe, AZ, 85288",,,33.4225959,-111.8975211,,,w_1323548945,shop=greengrocer
"San Tan Valley, AZ",,wholesale,424490,Bargain Central Warehouse,,,,33.4211287,-111.8387738,,,n_7722359337,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Brown's Partsmaster,,,,33.3775302,-111.8331328,,,n_7727502109,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Dewey Enterprises,,,,33.353771,-111.8381767,,,n_7729146533,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Academy Paper & Janitorial,,,,33.3341087,-111.8354454,,,n_7732557300,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Cuda/Karcher,,,,33.3339891,-111.8358737,,,n_7732557337,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,ADL Solutions,,,,33.2826695,-111.8389008,,,n_7742630320,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,"CaseTech, Inc.","1810 North Rosemont, Mesa, AZ, 85205",,,33.4482452,-111.7227647,,,n_7811775138,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Arizona Aircraft Accessories,,,,33.4506496,-111.7221707,,,n_7811775253,shop=wholesale
"San Tan Valley, AZ",,wholesale,424480,Delightful Quality Produce,"4856 East Baseline Road, Mesa, AZ, 85206",,,33.3813866,-111.7281667,,,n_7821940861,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,SCP Distributors,,,,33.2781101,-111.777131,,,n_7895682505,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,HSP World,,,,33.2781619,-111.7776972,,,n_7895682507,shop=wholesale
"San Tan Valley, AZ",,wholesale,424420,FrozenYogurtParts.com,,,,33.279161,-111.7842022,,,n_7895682541,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Cyclone Cup LLC,,,,33.2786848,-111.7841889,,,n_7895682543,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Wudel International,,,,33.2784337,-111.7844357,,,n_7895682544,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Steam Generation Corporation,,,,33.4701605,-111.7368457,,,n_7900452972,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,"Better ATM Services, Inc",,,,33.4645562,-111.7399927,,,n_7903269190,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Hiker USA Inc.,"4749 East Ingram Street, Mesa, AZ, 85205",,,33.4468643,-111.7284106,,,n_7906271431,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Rain Deck,,,,33.2830855,-111.6409507,,,n_7946340621,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,American Refrigeration Supplies Inc,"7925 East Ray Road, Mesa, AZ, 85212",+1 480 702 0005,https://www.arsnet.com/,33.3258246,-111.6630248,,,n_9179013493,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Branded Bills,"2340 West Broadway Road, Mesa, AZ, 85202",,,33.4089431,-111.8814993,,,n_9241697291,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Costco,"595 South Galleria Way, Chandler, AZ, 85224",+1 480-375-2051,https://www.costco.com/warehouse-locations/chandler-az-736.html,33.2935099,-111.898832,,,n_10116912950,"shop=wholesale, brand=Costco"
"San Tan Valley, AZ",,wholesale,424490,Walts TV Warehouse,,,,33.277578,-111.802526,,,n_10236574676,shop=wholesale
"San Tan Valley, AZ",,wholesale,424490,Famigoes LLC,,,,33.3791106,-111.9425249,,,n_10296383812,shop=wholesale
