Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Alpine, CA",,retail,445110,Raley's,,,,38.9120046,-120.0057267,,,n_365763046,"shop=supermarket, brand=Raley's, operator=Raleys"
"Alpine, CA",,retail,445120,Kennedy Meadows Store,,,,38.3113373,-119.7461002,,,n_1423187286,shop=convenience
"Alpine, CA",,retail,445120,,,,,38.7035691,-120.0517396,,,n_1929110695,shop=convenience
"Alpine, CA",,retail,445110,Smith's,"1341 US 395, Gardnerville, NV, 89410",+1 775-782-0155,https://www.smithsfoodanddrug.com/storeHours?store=70600389,38.937551,-119.7386254,,,n_3482731991,"shop=supermarket, brand=Smith's"
"Alpine, CA",,retail,445120,Woodfords Station,290 Old Pony Express Road,,,38.7768531,-119.8225176,,,n_3547867168,shop=convenience
"Alpine, CA",,retail,445120,East Fork Resort,,,,38.6846117,-119.7529379,,,n_3548648280,shop=convenience
"Alpine, CA",,retail,445310,Keys Liquor Market,,,,38.919729,-119.9950401,,,n_3562121052,shop=alcohol
"Alpine, CA",,retail,445120,Bear Valley General Store,,,,38.4652401,-120.0403875,,,n_3778854172,shop=convenience
"Alpine, CA",,retail,452210,Ross,"1030 Al Tahoe Boulevard, South Lake Tahoe, CA, 96150",+1 530-541-5029,,38.9333346,-119.9756369,,,n_4217828499,"shop=department_store, brand=Ross"
"Alpine, CA",,retail,445110,Grocery Outlet,,,,38.9366262,-119.7377318,,,n_4291441784,"shop=supermarket, brand=Grocery Outlet"
"Alpine, CA",,retail,445310,Lucky Liquor,,,,38.933756,-119.747513,,,n_4372604776,shop=alcohol
"Alpine, CA",,retail,445110,Grocery Outlet,,,,38.9206975,-119.992198,,,n_4935971323,"shop=supermarket, brand=Grocery Outlet"
"Alpine, CA",,retail,445120,,,,,38.4787039,-120.0029996,,,n_5849265730,shop=convenience
"Alpine, CA",,retail,446120,Ulta Beauty,"1050 Emerald Bay Road, South Lake Tahoe, CA, 96150",,https://www.ulta.com/stores/south-lake-tahoe-ca-1850,38.9112104,-120.0050809,,,n_6711321701,"shop=cosmetics, brand=Ulta Beauty"
"Alpine, CA",,retail,452210,TJ Maxx,,,,38.914775,-120.004425,,,n_7258417835,"shop=department_store, brand=TJ Maxx"
"Alpine, CA",,retail,453110,Thran's Flowers,976 Emerald Bay Road,,http://www.thransflowers.com,38.913863,-120.0054094,,,n_7949402507,shop=florist
"Alpine, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/nv/gardnerville/805-tillman-ln-22590,38.896267,-119.7416658,,,n_8263202682,"shop=convenience, brand=7-Eleven"
"Alpine, CA",,retail,446120,Wynn Nail Bar,1066 Emerald Bay Road,,,38.9111931,-120.0039883,,,n_11091814387,shop=beauty
"Alpine, CA",,retail,453110,Beautiful Flowers,"1 South Lake St, South Lake Tahoe, CA, 96150",530-600-1506,https://beautifulflowerssouthlaketahoe.com,38.9292149,-119.9924705,,,n_11206970608,shop=florist
"Alpine, CA",,retail,445210,Overland Meat & Seafood Company,"2227 South Lake Tahoe Blvd, South Lake Tahoe, CA, 96150",+1-530-544-3204,,38.9184356,-119.9976422,,,n_11679013810,shop=butcher
"Alpine, CA",,retail,445120,,,,,38.7331241,-119.5563508,,,n_11774404506,shop=convenience
"Alpine, CA",,retail,445120,A & J Oriental Market,,+1-530-542-4443,,38.9275322,-119.9820032,,,n_13043484278,shop=convenience
"Alpine, CA",,retail,452319,Five Below,"1052 Emerald Bay Road, South Lake Tahoe, CA, 96150",,https://locations.fivebelow.com/ca/south-lake-tahoe/1052-emerald-bay-rd,38.9112682,-120.0048274,,,n_13045909905,"shop=variety_store, brand=Five Below"
"Alpine, CA",,retail,452319,Walker Country Store,"107700 US 395, Walker, CA, 96107",,,38.5172653,-119.48099,,,w_42148656,shop=variety_store
"Alpine, CA",,retail,445120,Walker General Store,"106651 US 395 (CA) (North), Coleville, CA",+15304952911,,38.5127054,-119.4630341,,,w_42150194,shop=convenience
"Alpine, CA",,retail,445120,Strawberry Market,,,,38.7961549,-120.1472404,,,w_156746523,shop=convenience
"Alpine, CA",,retail,452319,Echo Chalet,,,https://www.echochalet.com/,38.834651,-120.0438321,,,w_172998702,shop=general
"Alpine, CA",,retail,445110,,,,,38.9332706,-119.9763868,,,w_222695908,shop=supermarket
"Alpine, CA",,retail,445120,,,,,38.9254435,-119.9872788,,,w_222773120,"shop=convenience, brand=Food Mart"
"Alpine, CA",,retail,445110,Smart & Final Extra!,,,,38.9147321,-120.0031228,,,w_222773156,"shop=supermarket, brand=Smart & Final"
"Alpine, CA",,retail,453110,Enchanted Florist,,,,38.9109317,-120.0029945,,,w_222773173,shop=florist
"Alpine, CA",,retail,445120,7-Eleven,"2620 South Lake Tahoe Boulevard, South Lake Tahoe, CA, 96150-7709",+1 530-318-6773,https://www.7-eleven.com/locations/ca/south-lake-tahoe/2620-s-lake-tahoe-blvd-15047,38.9265759,-119.9835982,,,w_222773209,"shop=convenience, brand=7-Eleven"
"Alpine, CA",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/south-lake-tahoe-ca-pharmacies/1043-emerald-bay-rd-south-lake-tahoe-ca-96150/storeid=9713,38.9120298,-120.0026372,,,w_222773306,"shop=chemist, brand=CVS Pharmacy"
"Alpine, CA",,retail,445230,Grass Roots Natural Foods,,,,38.9142104,-120.0036524,,,w_222773319,shop=greengrocer
"Alpine, CA",,retail,445120,Swiss Mart Food and Gas,,,,38.9159959,-120.0068325,,,w_223413265,shop=convenience
