Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Auberry, CA",,retail,445110,Walmart Neighborhood Market,"1830 Shaw Avenue, Clovis, CA, 93611",+1 559-862-2718,https://www.walmart.com/store/5633-clovis-ca,36.807126,-119.680832,,,n_2653323103,"shop=supermarket, brand=Walmart, operator=Walmart"
"Auberry, CA",,retail,445120,Mini-Mart Liquor & Deli,,,,37.332078,-119.6545992,,,n_2926179877,shop=convenience
"Auberry, CA",,retail,445120,EZ Mart,"40135 Highway 41, Oakhurst, CA",,,37.3313773,-119.6544219,,,n_2926186729,shop=convenience
"Auberry, CA",,retail,445120,DJ's Dollar Daze,,,,37.0376926,-119.513003,,,n_2948376474,shop=convenience
"Auberry, CA",,retail,452319,G.I. Jim's Military Surplus,,,,37.0377821,-119.5133041,,,n_2948384514,shop=variety_store
"Auberry, CA",,retail,452319,Cloud's Cutter,,,,37.0376601,-119.5136799,,,n_2948397387,shop=variety_store
"Auberry, CA",,retail,445120,Millerton Country Store,,,,36.9704718,-119.62421,,,n_2948490923,shop=convenience
"Auberry, CA",,retail,446120,Royal Nails,,,,36.8388769,-119.6811825,,,n_3545960954,shop=beauty
"Auberry, CA",,retail,445120,Bob's Market,,,,37.1068112,-119.3190463,,,n_3549410919,shop=convenience
"Auberry, CA",,retail,445120,7-Eleven,"5630 East Ashlan, Fresno, CA, 93727",+1 559-291-9025,https://www.7-eleven.com/locations/ca/fresno/5630-e-ashlan-13916,36.7928168,-119.698805,,,n_4004486093,"shop=convenience, brand=7-Eleven"
"Auberry, CA",,retail,445110,Vons,"3100 Fowler Avenue, Clovis, CA, 93611",+1 559-294-6720,https://local.vons.com/ca/clovis/3100-fowler-ave.html,36.795317,-119.68425,,,n_4004486094,"shop=supermarket, brand=Vons"
"Auberry, CA",,retail,445110,SaveMart,Clovis,,,36.8101207,-119.6737704,,,n_4005055083,shop=supermarket
"Auberry, CA",,retail,445310,Vallee,"Clovis, CA",,,36.8099489,-119.6745965,,,n_4005055084,shop=alcohol
"Auberry, CA",,retail,446120,Bath & Body Works,"7820 North Via Del Rio, Fresno, CA, 93720",+15593533917,https://www.bathandbodyworks.com/?cm_mmc=local_BBW02156,36.8496986,-119.788852,,,n_4275280050,"shop=cosmetics, brand=Bath & Body Works"
"Auberry, CA",,retail,445292,Reimer's Candies and Gifts,"41969 Highway 41, Oakhurst, CA, 93644",+1-559-642-3232,https://www.reimerscandies.com/,37.359317,-119.6442488,,,n_4889009564,shop=confectionery
"Auberry, CA",,retail,445120,,,,,37.357387,-119.60852,,,n_5940951485,shop=convenience
"Auberry, CA",,retail,445110,Grocery Outlet,,,,37.3341395,-119.656658,,,n_6597719928,"shop=supermarket, brand=Grocery Outlet"
"Auberry, CA",,retail,453110,,,,,37.3338531,-119.6488783,,,n_6819116700,shop=florist
"Auberry, CA",,retail,445110,ALDI,"1725 Herndon Avenue, Clovis, CA, 93611-0530",+1 833-479-7011,https://stores.aldi.us/ca/clovis/1725-herndon-ave,36.8378683,-119.68617,,,n_8663633215,"shop=supermarket, brand=ALDI"
"Auberry, CA",,retail,445110,Dollar General Market,"Clovis, CA",+1 559-712-7970,https://www.dollargeneral.com/store-directory/ca/clovis/13518,36.8223918,-119.7104875,,,n_9196747449,"shop=supermarket, brand=Dollar General"
"Auberry, CA",,retail,452319,Goodwill,North Blackstone Avenue,,,36.8308398,-119.7910335,,,n_9791345017,shop=variety_store
"Auberry, CA",,retail,446120,DaVi Nails,,,,36.8395707,-119.6953598,,,n_10246141010,"shop=beauty, brand=DaVi Nails"
"Auberry, CA",,retail,445310,BevMo!,,,,36.8393283,-119.6975449,,,n_11253946628,"shop=alcohol, brand=BevMo!"
"Auberry, CA",,retail,445292,Rocky Mountain Chocolate Factory,"130 Paseo Del Centro, Fresno, CA, 93720",+15592408360,https://www.rmcf.com/CA/Fresno50958,36.8495008,-119.7887145,,,n_11853668050,"shop=confectionery, brand=Rocky Mountain Chocolate Factory"
"Auberry, CA",,retail,446120,Sephora,"7831 North Via Del Rio, Fresno, CA, 93720",+15594461986,https://www.sephora.com/happening/stores/river-park-fresno?utm_source=gmb&utm_medium=Yext,36.8496994,-119.7892767,,,n_11861524153,"shop=cosmetics, brand=Sephora"
"Auberry, CA",,retail,446120,Shi Nails & Spa,"7880 North Via Del Rio, Fresno, CA, 93720",+15594361288,https://shinailspafresno.com/,36.8502156,-119.7885796,,,n_11865418939,shop=beauty
"Auberry, CA",,retail,446120,European Wax Center,"7885 North Via Del Rio, Fresno, CA, 93720",+15594389700,https://locations.waxcenter.com/ca/fresno/fresno-riverpark-0214.html,36.8505611,-119.7887821,,,n_11865418945,"shop=beauty, brand=European Wax Center"
"Auberry, CA",,retail,445292,See's Candies,"65 East Via La Plata, Fresno, CA, 93720",+15594316560,https://chocolateshops.sees.com/ca/fresno/chocolate_shops_fresno_ca_2ca024.html,36.8484146,-119.7895126,,,n_11867778678,"shop=confectionery, brand=See's Candies"
"Auberry, CA",,retail,446120,The Lash Lounge,"70 El Camino, Fresno, CA, 93720",+15593777118,https://www.thelashlounge.com/ca-fresno-river-park/,36.8480631,-119.7892416,,,n_11867778687,"shop=beauty, brand=The Lash Lounge"
"Auberry, CA",,retail,452319,Five Below,"7628 North Blackstone Avenue, Fresno, CA, 93720",+1 559-400-0692,https://locations.fivebelow.com/ca/fresno/7628-north-blackstone-ave,36.846845,-119.7886887,,,n_11867778693,"shop=variety_store, brand=Five Below"
"Auberry, CA",,retail,446120,Apollo Nail Salon,"7622 North Blackstone Avenue, Fresno, CA, 93720",+15594386789,https://apollonailspa.com/,36.8466669,-119.7884969,,,n_11867778694,shop=beauty
"Auberry, CA",,retail,452210,Marshalls,"7440 North Blackstone Avenue, Fresno, CA, 93720",+15594399072,https://www.marshalls.com/,36.8449379,-119.7890522,,,n_11867778701,"shop=department_store, brand=Marshalls"
"Auberry, CA",,retail,445310,BevMo!,"7639 North Blackstone Avenue, Fresno, CA, 93720",+15594312626,https://www.bevmo.com/,36.8464689,-119.7916622,,,n_11868156403,"shop=alcohol, brand=BevMo!"
"Auberry, CA",,retail,446120,Envy Nail & Spa,"132 West Nees Avenue, Fresno, CA, 93711",+15592619983,,36.8526537,-119.7921152,,,n_11875044312,shop=beauty
"Auberry, CA",,retail,445310,Riverpark Liquor,"132 West Nees Avenue, Fresno, CA, 93711",+15594325468,,36.8522898,-119.7922849,,,n_11875044316,shop=alcohol
"Auberry, CA",,retail,452319,Soccer Express,"7975 North Blackstone Avenue, Fresno, CA, 93720",+15594327511,http://www.soccerexpressinc.com/,36.8514437,-119.792201,,,n_11875044324,shop=general
"Auberry, CA",,retail,445310,Total Wine,"7925 North Blackstone Avenue, Fresno, CA, 93720",+1 559-547-3160,https://www.totalwine.com/store-info/california-fresno/1119,36.8511723,-119.7944086,,,n_11878285535,"shop=alcohol, brand=Total Wine"
"Auberry, CA",,retail,446120,Ulta Beauty,"7911 North Blackstone Avenue, Fresno, CA, 93720",+1 559-490-0907,https://www.ulta.com/stores/fresno-ca-286,36.8504388,-119.7944014,,,n_11878285538,"shop=cosmetics, brand=Ulta Beauty"
"Auberry, CA",,retail,446120,QueenBee Nails and Spa,"7723 North Blackstone Avenue, Fresno, CA, 93720",+15594395891,https://queenbeenailspafresno.com/,36.8483685,-119.7916115,,,n_11878285567,shop=beauty
"Auberry, CA",,retail,445310,Pinedale Liquor & Video,"7339 North Blackstone Avenue, Pinedale, CA, 93650",+15594368979,,36.8434106,-119.7910046,,,n_11880436685,shop=alcohol
"Auberry, CA",,retail,452210,Big Lots,"7370 North Blackstone Avenue, Fresno, CA, 93650",+15595001010,https://local.biglots.com/ca/fresno/4061,36.8440053,-119.7889885,,,n_11880436686,"shop=department_store, brand=Big Lots"
"Auberry, CA",,retail,445120,Treading Post,,,,36.864115,-119.3466713,,,n_11882462598,shop=convenience
"Auberry, CA",,retail,445110,Ponderosa Market,,,,37.0775693,-119.4849116,,,n_11882478816,shop=supermarket
"Auberry, CA",,retail,445120,MR5 Food Mart,,,,36.8201068,-119.379605,,,n_11882537614,shop=convenience
"Auberry, CA",,retail,445110,Smart & Final Extra!,"5700 North Blackstone Avenue, Fresno, CA, 93710",+15594395954,https://www.smartandfinal.com/store,36.8210667,-119.7881552,,,n_11889588912,"shop=supermarket, brand=Smart & Final"
"Auberry, CA",,retail,446120,Lucky Star Nails & Spa,"5776 North Blackstone Avenue, Fresno, CA, 93710",+15594397499,,36.8221919,-119.7898513,,,n_11898068128,shop=beauty
"Auberry, CA",,retail,445310,Redwave Liquor,"2633 East Shaw Avenue, Fresno, CA, 93710",+15593480700,https://www.instagram.com/redwave_liquor/?hl=en,36.8079235,-119.7404852,,,n_11911077827,shop=alcohol
"Auberry, CA",,retail,446120,Eternity & Beyond,"4950 North Woodrow Avenue, Fresno, CA, 93726",+15599173750,https://www.eternity-and-beyond.com/contact-us.html,36.80757,-119.740629,,,n_11911077848,shop=cosmetics
"Auberry, CA",,retail,452210,Macy's,"1732 East Shaw Avenue, Fresno, CA, 93710",+15592226611,https://www.macys.com/stores/ca/fresno/fresno-furniture-and-mattress-gallery_365.html,36.8094336,-119.755571,,,n_11911123690,"shop=department_store, brand=Macy's"
"Auberry, CA",,retail,445310,Bulldog Liquor,"4968 North Cedar Avenue, Fresno, CA, 93726",+15592260148,,36.8080773,-119.7534141,,,n_11911123725,shop=alcohol
"Auberry, CA",,retail,445120,Retro Junction,"7010 North Cedar Avenue, Fresno, CA, 93720",+15597654124,http://places.singleplatform.com/retro-junction/menu,36.8377158,-119.7532991,,,n_11919222984,shop=convenience
"Auberry, CA",,retail,446120,Healthy Nails and Spa,"6737 North Cedar Avenue, Fresno, CA, 93710",+15595588613,,36.8359482,-119.7550636,,,n_11921596298,shop=beauty
"Auberry, CA",,retail,445110,R-N Market,"6670 North Cedar Avenue, Fresno, CA, 93710",+15594398044,https://rnsupermarkets.com/,36.8351018,-119.7522239,,,n_11921596314,shop=supermarket
"Auberry, CA",,retail,452319,Dollar Tree,"6728 North Cedar Avenue, Fresno, CA, 93710",+15595540476,https://www.dollartree.com/locations/ca/fresno/1730/,36.8361612,-119.7521989,,,n_11921596317,"shop=variety_store, brand=Dollar Tree"
"Auberry, CA",,retail,446110,CVS Pharmacy,"6750 North Cedar Avenue, Fresno, CA, 93710",+15592993115,https://www.cvs.com/store-locator/fresno-ca-pharmacies/6750-n-cedar-ave-fresno-ca-93710/storeid=9149?WT.mc_id=LS_GOOGLE_FS_9149,36.8365854,-119.7522066,,,n_11921596318,"shop=chemist, brand=CVS Pharmacy"
"Auberry, CA",,retail,446120,Bellagio Nails & Spa,"7032 North Cedar Avenue, Fresno, CA, 93720",+15593226219,,36.8388412,-119.7531004,,,n_11929288185,shop=beauty
"Auberry, CA",,retail,453991,Buddha Cigar Gallery,"7028 North Cedar Avenue, Fresno, CA, 93720",+15599007446,,36.8388431,-119.7531841,,,n_11929288186,shop=tobacco
"Auberry, CA",,retail,452319,Five Below,"639 East Shaw Avenue, Fresno, CA, 93710",+1 559-400-0253,https://locations.fivebelow.com/ca/fresno/639-east-shaw,36.8075091,-119.7765959,,,n_11944365230,"shop=variety_store, brand=Five Below"
"Auberry, CA",,retail,446120,Ulta Beauty,"639 East Shaw Avenue, Fresno, CA, 93710",+1 559-244-0907,https://www.ulta.com/stores/fresno-ca-1322,36.8075538,-119.7752664,,,n_11944365232,"shop=cosmetics, brand=Ulta Beauty"
"Auberry, CA",,retail,446120,Sephora,"639 East Shaw Avenue, Fresno, CA, 93710",+15592223434,https://www.sephora.com/happening/stores/fresno-fashion-fair?utm_source=gmb&utm_medium=Yext,36.8072732,-119.7761214,,,n_11944365234,"shop=cosmetics, brand=Sephora"
"Auberry, CA",,retail,452210,Macy's,"4888 North Fresno Street, Fresno, CA, 93710",+15592283333,https://www.macys.com/stores/ca/fresno/fashion-fair-mall_359.html,36.8063313,-119.7797664,,,n_11944365235,"shop=department_store, brand=Macy's"
"Auberry, CA",,retail,452210,JCPenney,"555 East Shaw Avenue, Fresno, CA, 93710",+15592248330,https://www.jcpenney.com/locations/ca/fresno/clothing-stores-fresno-ca-1932.html,36.8065747,-119.7779494,,,n_11944365236,"shop=department_store, brand=JCPenney"
"Auberry, CA",,retail,446120,LUSCE BEAUTY,"485 East Shaw Avenue, Fresno, CA, 93710",+15599345992,https://www.luscebeauty.com/,36.8065654,-119.7792969,,,n_11957856151,shop=cosmetics
"Auberry, CA",,retail,452319,Mainland,"705 East Shaw Avenue, Fresno, CA, 93710",+15592244595,https://mainlandskateandsurf.com/,36.8068065,-119.7745988,,,n_11964033085,shop=general
"Auberry, CA",,retail,446120,Bath & Body Works,"677 East Shaw Avenue, Fresno, CA, 93710",+15592221979,https://www.bathandbodyworks.com/?cm_mmc=local_BBW00903,36.8068273,-119.7752735,,,n_11964033092,"shop=cosmetics, brand=Bath & Body Works"
"Auberry, CA",,retail,446120,New Eyebrow Bar,"637 East Shaw Avenue, Fresno, CA, 93710",+15592281010,,36.8068953,-119.7760818,,,n_11964033111,shop=beauty
"Auberry, CA",,retail,446120,Lush,"645 East Shaw Avenue, Fresno, CA, 93710",+15592301693,https://www.lush.com/us/en_us/?y_source=1_ODM2OTI4OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,36.8070776,-119.7757045,,,n_11964033112,"shop=cosmetics, brand=Lush"
"Auberry, CA",,retail,452210,Macy's,"4888 North Fresno Street, Fresno, CA, 93726",+15592283333,https://l.macys.com/fashion-fair-mall-in-fresno-ca,36.8058253,-119.7759033,,,n_11964033121,"shop=department_store, brand=Macy's"
"Auberry, CA",,retail,452210,Ross,"7487 North Blackstone Avenue, Fresno, CA, 93720",+1 559-431-6783,https://www.rossstores.com/,36.8453062,-119.7932528,,,n_11965760605,"shop=department_store, brand=Ross"
"Auberry, CA",,retail,446120,Young Nail & Spa,"322 East Shaw Avenue, Fresno, CA, 93710",+15592244657,https://www.fresnopedicureservice.com/,36.8090322,-119.7835382,,,n_11965803053,shop=beauty
"Auberry, CA",,retail,446120,Perfect Threading & Henna,"349 East Shaw Avenue, Fresno, CA, 93710",+15593751800,,36.8077678,-119.7826329,,,n_11968367280,shop=beauty
"Auberry, CA",,retail,446120,Pretty Nails,"391 East Shaw Avenue, Fresno, CA, 93710",+15592300537,https://puty.top/list/pretty-nails,36.8070164,-119.781768,,,n_11968367282,shop=beauty
"Auberry, CA",,retail,452319,Korea Mart,"353 East Shaw Avenue, Fresno, CA, 93710",+15594470262,,36.8075196,-119.7826296,,,n_11968367291,shop=general
"Auberry, CA",,retail,446120,Simply Soothing Therapy,"7845 North Palm Avenue, Fresno, CA, 93711",+15594935184,https://simplysoothingtherapy.com/,36.8516857,-119.8064461,,,n_11998396174,shop=beauty
"Auberry, CA",,retail,446120,Michael Blunt Salon,,,,36.8516853,-119.8065174,,,n_11998396176,shop=beauty
"Auberry, CA",,retail,446120,Skin Remedy,"7845 North Palm Avenue, Fresno, CA, 93711",+15598628300,https://skinremedybybrenda.glossgenius.com/,36.8517379,-119.80644,,,n_11998396177,shop=beauty
"Auberry, CA",,retail,446120,Bella Nails & Spa,"784 West Palmdon Drive, Fresno, CA, 93704",+15594322934,,36.8366496,-119.8076928,,,n_12000305522,shop=beauty
"Auberry, CA",,retail,446120,In Style Nailspa,"7090 North Palm Avenue, Fresno, CA, 93650",+15593267788,https://www.facebook.com/In-Style-Nail-Spa-Fresno-104291574655263/,36.8383951,-119.8078065,,,n_12005788877,shop=beauty
"Auberry, CA",,retail,446120,Four Seasons Nails & Spa,"7076 North West Avenue, Fresno, CA, 93711",+15594326225,,36.8384797,-119.8244202,,,n_12005788955,shop=beauty
"Auberry, CA",,retail,452319,Dollar Tree,"625 West Herndon Avenue, Clovis, CA, 93612",+15598622029,https://www.dollartree.com/locations/ca/clovis/5404/,36.8388249,-119.725641,,,n_12037280092,"shop=variety_store, brand=Dollar Tree"
"Auberry, CA",,retail,446120,Sola Salons,"625 West Herndon Avenue, Clovis, CA, 93611",+15595692772,https://www.solasalonstudios.com/locations/clovis?utm_source=gmb&utm_medium=organic,36.8389611,-119.7256512,,,n_12037280093,"shop=beauty, brand=Sola Salons"
"Auberry, CA",,retail,453110,Buckin' Blooms,"635 West Herndon Avenue, Clovis, CA, 93612",+15594723383,https://www.buckinblooms.com/,36.839208,-119.7256815,,,n_12037280106,shop=florist
"Auberry, CA",,retail,446120,Palm Beach Tan,"635 West Herndon Avenue, Clovis, CA, 93612",+15599002164,https://palmbeachtan.com/locations/CA/Clovis-Commons,36.8394012,-119.7256775,,,n_12037280108,"shop=beauty, brand=Palm Beach Tan"
"Auberry, CA",,retail,446120,Ooh La La Nails & Spa,"635 West Herndon Avenue, Clovis, CA, 93612",+15593226363,https://oohlalanailsandspa.com/,36.8393518,-119.7256795,,,n_12037280109,shop=beauty
"Auberry, CA",,retail,446120,Facelogic Spa,"605 West Herndon Avenue, Clovis, CA, 93612",+15593247546,https://facelogicclovis.com/,36.8381894,-119.7254374,,,n_12041167840,shop=beauty
"Auberry, CA",,retail,446120,BouDoir Nailspa,"6825 North Willow Avenue, Fresno, CA, 93710",+15593234898,,36.8360545,-119.7299504,,,n_12041167863,shop=beauty
"Auberry, CA",,retail,453991,The Spot Smoke Shop,"6929 North Willow Avenue, Fresno, CA, 93710",+15595471954,,36.8372219,-119.7313393,,,n_12041173675,shop=tobacco
"Auberry, CA",,retail,446120,Spotlight Beauty Salon,"1057 North Willow Avenue, Clovis, CA, 93611",+15592979157,,36.8490179,-119.7291641,,,n_12043023011,shop=beauty
"Auberry, CA",,retail,453991,Cigarette Station,"1127 North Willow Avenue, Clovis, CA, 93611",,,36.8502956,-119.7281121,,,n_12047230530,shop=tobacco
"Auberry, CA",,retail,446120,iBeauty Nails and Spa,"1127 North Willow Avenue, Clovis, CA, 93611",+15599407968,https://ibeautynailsclovis.com/,36.8502651,-119.7281086,,,n_12047230532,shop=beauty
"Auberry, CA",,retail,452319,Dollar Tree,,,,37.3325324,-119.6560844,,,n_12050509862,"shop=variety_store, brand=Dollar Tree"
"Auberry, CA",,retail,446120,Le Nails & Spa,"1365 North Willow Avenue, Clovis, CA, 93619",+15592983807,,36.8539956,-119.7285852,,,n_12050638179,shop=beauty
"Auberry, CA",,retail,446120,Aqua Nail Bar,"2950 East Nees Avenue, Fresno, CA, 93720",+15592989818,https://aquanailsbar.com/,36.8536523,-119.7312629,,,n_12143522795,shop=beauty
"Auberry, CA",,retail,445310,JK Liquor,"2930 East Nees Avenue, Fresno, CA, 93720",+15592992476,https://www.fresnoliquorstore.com/,36.8530051,-119.7316256,,,n_12145177139,shop=alcohol
"Auberry, CA",,retail,445120,Sanjha Punjab,"2930 East Nees Avenue, Fresno, CA, 93720",+15595122500,,36.8531169,-119.7316341,,,n_12145177141,shop=convenience
