Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Avalon, CA",,retail,452319,Two Harbors General Store,"CA, 90704",+1 310 510 4217,https://www.visitcatalinaisland.com/activities-adventures/two-harbors/general-store,33.4414301,-118.4989382,,,n_4165586490,shop=general
"Avalon, CA",,retail,446120,Catalina Sea Spa,"115 Claressa Avenue, Avalon, CA, 90704",310-510-8920,https://www.catalinaseaspa.com/,33.3424981,-118.3249319,,,n_4428273980,shop=beauty
"Avalon, CA",,retail,445310,,112 Catalina Avenue,,,33.3430491,-118.3254659,,,n_4573787758,shop=alcohol
"Avalon, CA",,retail,445292,Lloyd's of Avalon Confectionery,"315 Crescent Avenue, Avalon, CA, 90704",,http://catalinacandy.com/,33.3439596,-118.326138,,,n_4574027676,shop=confectionery
"Avalon, CA",,retail,446120,Crazy Daisy Salon & Boutique,,,,33.3436236,-118.3261397,,,n_4574027680,shop=beauty
"Avalon, CA",,retail,446120,Catalina Hair & Nail Salon,"120 A Metropole Avenue, Avalon",,,33.344017,-118.3275363,,,n_4911757866,shop=beauty
"Avalon, CA",,retail,446120,A Touch of Heaven,121 A Metropole Avenue,,,33.344529,-118.3272141,,,n_4911757880,shop=beauty
"Avalon, CA",,retail,445120,Hermit Gulch Trading Post,,,,33.3291894,-118.3383679,,,n_12105395409,shop=convenience
"Avalon, CA",,retail,446120,Aurora Hotel & Spa,"137 Marilla Avenue, Avalon, 90704",310-510-0454,,33.345251,-118.3283407,,,w_438218960,shop=beauty
"Avalon, CA",,retail,446120,Island Spa Catalina,"163 Crescent Avenue, Avalon, CA, 90704",310-510-7300,www.islandspacatalina.com,33.3453303,-118.3273564,,,w_438218985,shop=beauty
"Avalon, CA",,retail,445110,Vons,"240 Sumner Avenue, Avalon, CA, 90704",+1 424-334-3221,https://local.vons.com/ca/avalon/240-sumner-ave.html,33.3420153,-118.3269892,,,w_839087143,"shop=supermarket, brand=Vons"
