Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Bear Valley Springs, CA",,retail,445120,Texaco,,,,35.1426802,-118.449464,,,n_956932003,"shop=convenience, amenity=fuel, brand=Texaco"
"Bear Valley Springs, CA",,retail,445120,Chevron,,,,35.1272922,-118.413633,,,n_957107122,"shop=convenience, amenity=fuel, brand=Chevron"
"Bear Valley Springs, CA",,retail,445120,,,,,35.1302326,-118.4346717,,,n_957107248,"shop=convenience, amenity=fuel, brand=Stop N Save Gas"
"Bear Valley Springs, CA",,retail,445120,Chevron,,,,35.1316787,-118.446229,,,n_957107365,"shop=convenience, amenity=fuel, brand=Chevron"
"Bear Valley Springs, CA",,retail,445120,Love's,,+1 661 823 1484,https://www.loves.com/locations/392,35.1260996,-118.408018,,,n_957482077,"shop=convenience, brand=Love's"
"Bear Valley Springs, CA",,retail,445120,Mountain Village,,,,35.1323033,-118.452687,,,n_961008565,"shop=convenience, amenity=fuel, brand=Shell"
"Bear Valley Springs, CA",,retail,445120,,,,,35.2663663,-118.915147,,,n_1659685749,shop=convenience
"Bear Valley Springs, CA",,retail,445120,Fastrip,,,,35.26166,-118.9140134,,,n_1659685781,shop=convenience
"Bear Valley Springs, CA",,retail,445110,County Fair Market,,,,35.2603549,-118.913783,,,n_1659685806,shop=supermarket
"Bear Valley Springs, CA",,retail,445120,,,,,35.2598991,-118.9149977,,,n_1659685812,shop=convenience
"Bear Valley Springs, CA",,retail,445110,Albertsons,"775 South Tucker Road, Tehachapi, CA, 93561",+1 661-823-7090,https://local.albertsons.com/ca/tehachapi/775-s-tucker-rd.html,35.125645,-118.469385,,,n_2955459533,"shop=supermarket, brand=Albertsons"
"Bear Valley Springs, CA",,retail,445110,Save Mart,"841 Tucker Road, Tehachapi, CA, 93561",,,35.1227278,-118.468393,,,n_3146557159,"shop=supermarket, brand=Save Mart"
"Bear Valley Springs, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/tehachapi/2430/,35.1226128,-118.4669952,,,n_3699391918,"shop=variety_store, brand=Dollar Tree"
"Bear Valley Springs, CA",,retail,445110,Walmart Neighborhood Market,"5037 East Brundage Lane, Bakersfield, CA, 93307",+1 661-448-8147,https://www.walmart.com/store/3141-bakersfield-ca,35.3533911,-118.947655,,,n_4093403024,"shop=supermarket, brand=Walmart, operator=Walmart"
"Bear Valley Springs, CA",,retail,452210,Pottery Barn Outlet,,,,34.9854867,-118.940138,,,n_4551553991,shop=department_store
"Bear Valley Springs, CA",,retail,445120,Minit Mart,,,,34.9831048,-118.947027,,,n_4553126790,"shop=convenience, brand=Minit Mart"
"Bear Valley Springs, CA",,retail,452319,As Seen On TV,,,,34.9845468,-118.942441,,,n_4787864883,shop=variety_store
"Bear Valley Springs, CA",,retail,446120,Fragrance Outlet,,,,34.9850479,-118.9406201,,,n_4788545764,shop=perfumery
"Bear Valley Springs, CA",,retail,446120,Perfumes 4U,,,,34.9851863,-118.9426586,,,n_4788545774,shop=perfumery
"Bear Valley Springs, CA",,retail,445230,Murray Family Farms,,,https://www.murrayfamilyfarms.org/,35.2949141,-118.753957,,,n_4938688126,shop=greengrocer
"Bear Valley Springs, CA",,retail,445110,Walmart Supercenter,"2601 Fashion Place, Bakersfield, CA, 93306",+1 661-873-7120,https://www.walmart.com/store/1624-bakersfield-ca,35.391531,-118.960829,,,n_5315601366,"shop=supermarket, brand=Walmart, operator=Walmart"
"Bear Valley Springs, CA",,retail,445292,Venita's Gourmet Sweets,,,,34.9849757,-118.9404336,,,n_7112981893,shop=confectionery
"Bear Valley Springs, CA",,retail,445110,Robert's Market,,,,35.3418772,-118.9316768,,,n_8229031554,shop=supermarket
"Bear Valley Springs, CA",,retail,445120,Speedway,"2023 Mettler Frontage Road West, Bakersfield, CA, 93313",,https://www.speedway.com/locations/CA/Bakersfield/2023-METTLER-FRONTAGE-RD-W,35.0606684,-118.9694666,,,n_8846897795,"shop=convenience, brand=Speedway"
"Bear Valley Springs, CA",,retail,445120,Speedway,"8200 Kimber Avenue, Bakersfield, CA, 93307",,https://www.speedway.com/locations/CA/Bakersfield/8200-KIMBER-AVE,35.3512226,-118.9132,,,n_9178725741,"shop=convenience, brand=Speedway"
