Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Blue Lake, CA",,retail,452210,Ross,"3300 Broadway Street, Eureka, CA, 95501",+1 707-443-1036,,40.7805969,-124.1888652,,,n_723329415,"shop=department_store, brand=Ross"
"Blue Lake, CA",,retail,452210,Kohl's,"3300 Broadway, Eureka, CA, 95501",+1 707-442-4279,https://www.kohls.com/stores/ca/eureka-1361.shtml,40.777633,-124.1916083,,,n_723329423,"shop=department_store, brand=Kohl's"
"Blue Lake, CA",,retail,445310,Libation Wine Bar & Shop,"761 8th Street, Arcata, CA, 95521",+1 (707) 499-7335,,40.8680614,-124.0866846,,,n_761654384,shop=wine
"Blue Lake, CA",,retail,446120,Soul to Soul Spa Eureka,"601 5th Street, Eureka, 95501",,,40.8022085,-124.1648134,,,n_1467729487,shop=beauty
"Blue Lake, CA",,retail,453110,Heuer's Florist,,,,40.8019427,-124.1650379,,,n_1467729489,shop=florist
"Blue Lake, CA",,retail,453991,Joe's Smoke Shop,,,,40.8026702,-124.1591116,,,n_1467729513,shop=tobacco
"Blue Lake, CA",,retail,445110,Grocery Outlet,,,,40.7995479,-124.174142,,,n_1476087010,"shop=supermarket, brand=Grocery Outlet"
"Blue Lake, CA",,retail,445110,Murphy's,"100 Alliance, 95503",,https://www.murphysmarkets.net/,40.8844162,-124.0909244,,,n_1979018863,shop=supermarket
"Blue Lake, CA",,retail,445120,Three Corners Market,,,,40.7852753,-124.085783,,,n_2094660249,shop=convenience
"Blue Lake, CA",,retail,445120,Roger's Market,"791 School Road, McKinleyville, CA, 95519",(707) 839-3866,,40.9342246,-124.120388,,,n_2107762096,shop=convenience
"Blue Lake, CA",,retail,445310,Myrtlewood Liquors & John’s Fine Cigars,"1648 Myrtle Avenue, Eureka, CA, 95501",+1 707-444-8869,https://johnsmyrtlewood.com/,40.7941904,-124.1362568,,,n_2246316266,shop=alcohol
"Blue Lake, CA",,retail,445120,Myrtle Avenue Market and Deli,"2500 Myrtle Avenue, Eureka, CA, 95501",,https://m.facebook.com/pages/Myrtle-Avenue-Market-Deli/134921516560313,40.7839635,-124.1299536,,,n_2246316267,shop=convenience
"Blue Lake, CA",,retail,445110,WinCo Foods,"636 West Harris Street, Eureka, CA, 95501",+1 707-442-4040,https://www.wincofoods.com/stores/win-co-foods-eureka-7/4761,40.7819597,-124.1779725,,,n_3646476049,"shop=supermarket, brand=WinCo Foods"
"Blue Lake, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/eureka/3770/,40.7818522,-124.1799373,,,n_3646476051,"shop=variety_store, brand=Dollar Tree"
"Blue Lake, CA",,retail,452210,Walmart,"3300 Broadway Bayshore Mall, Eureka, CA, 95501",+1 707-832-5269,https://www.walmart.com/store/5629-eureka-ca,40.780681,-124.190507,,,n_3646490505,"shop=department_store, brand=Walmart, operator=Walmart"
"Blue Lake, CA",,retail,445310,Cask & Flask Liquors,"1523 City Center Road, McKinleyville, CA, 95519",(707) 839-2048,,40.9438505,-124.1027519,,,n_3793533813,shop=alcohol
"Blue Lake, CA",,retail,445120,Stop and Shop Market,Eureka,,,40.791381,-124.1696,,,n_4081905389,shop=convenience
"Blue Lake, CA",,retail,453991,Thunderbird Intertribal Discount Center,,,,41.064956,-123.6856049,,,n_4270192569,shop=tobacco
"Blue Lake, CA",,retail,445110,Ray's Food Place,,,,41.0630259,-123.68692,,,n_4270192572,"shop=supermarket, brand=Ray's Food Place"
"Blue Lake, CA",,retail,446120,Carol's Country Curl,,,,40.9394236,-123.6299626,,,n_4270230307,shop=beauty
"Blue Lake, CA",,retail,445110,Rays Food Place,,,,40.9401086,-123.6328482,,,n_4270230309,shop=supermarket
"Blue Lake, CA",,retail,445120,Fernbridge Market,,,,40.6164555,-124.2014924,,,n_4322261643,shop=convenience
"Blue Lake, CA",,retail,445110,Eureka Natural Foods,"2165 Central Avenue, McKinleyville, 95519",(707) 839-3636,https://www.eurekanaturalfoods.com,40.9448341,-124.0999683,,,n_4987263453,shop=supermarket
"Blue Lake, CA",,retail,445120,College Creek Marketplace,,,,40.8740161,-124.0798697,,,n_5267116512,shop=convenience
"Blue Lake, CA",,retail,445120,Giant’s Cupboard,,,,40.8786764,-124.0785718,,,n_5271013151,shop=convenience
"Blue Lake, CA",,retail,445292,Cook N Sugar Candy and Kitchen,,,,40.8698243,-124.0870986,,,n_6298486744,shop=confectionery
"Blue Lake, CA",,retail,445310,,,,,40.8033255,-124.1647983,,,n_6582891699,"shop=alcohol, operator=Lost Coast Brewery"
"Blue Lake, CA",,retail,445310,,,,,40.7672126,-124.188847,,,n_6582891700,shop=alcohol
"Blue Lake, CA",,retail,445310,Liquor Still,,,,40.9046063,-124.0816616,,,n_7895856992,shop=alcohol
"Blue Lake, CA",,retail,452319,Dollar Tree,1111 West Avenue,,https://www.dollartree.com/locations/ca/eureka/1945/,40.7997583,-124.1468493,,,n_7968109918,"shop=variety_store, brand=Dollar Tree"
"Blue Lake, CA",,retail,446120,,,,,40.8009502,-124.1485312,,,n_7968110098,shop=beauty
"Blue Lake, CA",,retail,446120,Redwood Nails Spa,"1040 Myrtle Avenue, Eureka, CA",,https://redwood-nails-spa.hub.biz/,40.7995001,-124.1484904,,,n_7968193497,shop=beauty
"Blue Lake, CA",,retail,453110,Eureka Florist,524 Henderson Street,+1 (707) 443-4811,https://eurekaflorist.net/,40.7827048,-124.1629144,,,n_7978813797,shop=florist
"Blue Lake, CA",,retail,445110,Little Japan Market,"2848 F Street, Eureka, CA",,,40.7819787,-124.1637291,,,n_7979002988,shop=supermarket
"Blue Lake, CA",,retail,446120,U.S. Nails,,,,40.7923956,-124.1788326,,,n_8075951611,shop=beauty
"Blue Lake, CA",,retail,445110,Eureka Natural Foods,,,,40.7931695,-124.1783016,,,n_8075951612,shop=supermarket
"Blue Lake, CA",,retail,445110,Ray's Food Place,2009 Main Street,,,40.5958658,-124.146066,,,n_8547930667,"shop=supermarket, brand=Ray's Food Place"
"Blue Lake, CA",,retail,445110,Grocery Outlet,,,,40.9338587,-124.100402,,,n_9231441153,"shop=supermarket, brand=Grocery Outlet"
"Blue Lake, CA",,retail,445120,,,,,40.7938247,-124.1765606,,,n_10028625593,shop=convenience
"Blue Lake, CA",,retail,452319,Dollar General,"650 South Fortuna Boulevard, Fortuna, CA, 95540",,https://www.dollargeneral.com/store-directory/ca/fortuna/15232,40.585685,-124.147152,,,n_10041131494,"shop=variety_store, brand=Dollar General"
"Blue Lake, CA",,retail,446110,Rite Aid,,,https://www.riteaid.com/locations/ca/fortuna/725-south-fortuna-boulevard.html,40.5829983,-124.145003,,,n_10041139166,"shop=chemist, brand=Rite Aid"
"Blue Lake, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/fortuna/1878/,40.5833366,-124.14498,,,n_10041139167,"shop=variety_store, brand=Dollar Tree"
"Blue Lake, CA",,retail,446110,Walgreens,"1065 South Fortuna Boulevard, Fortuna, CA, 95540",,https://www.walgreens.com/locator/walgreens-1065+s+fortuna+blvd-fortuna-ca-95540/id=9703,40.5795634,-124.1462123,,,n_10041139220,"shop=chemist, brand=Walgreens"
"Blue Lake, CA",,retail,445110,Grocery Outlet,,,,40.579369,-124.144651,,,n_10041139225,"shop=supermarket, brand=Grocery Outlet"
"Blue Lake, CA",,retail,445110,River Song Grocery and Market,,,,40.9405932,-123.6299788,,,n_11803534226,shop=supermarket
"Blue Lake, CA",,retail,453110,Country Living Florist & Fine Gifts,"1309 11th Street, Arcata, CA, 95521",(707) 822-8967,https://countrylivingflorist.com/,40.8716471,-124.0921367,,,n_11976761444,shop=florist
"Blue Lake, CA",,retail,445120,,,,,40.7919971,-124.1776444,,,n_12115187599,shop=convenience
"Blue Lake, CA",,retail,445120,,,,,40.7982094,-124.1570909,,,n_12178558276,shop=convenience
"Blue Lake, CA",,retail,452210,TJ Maxx,,,,40.7798748,-124.1890036,,,n_12827514953,"shop=department_store, brand=TJ Maxx"
"Blue Lake, CA",,retail,446120,Ulta Beauty,,,,40.7785041,-124.1907873,,,n_12827514957,"shop=cosmetics, brand=Ulta Beauty"
"Blue Lake, CA",,retail,445120,Bear River Pump & Play,,,,40.6262523,-124.2096019,,,n_12924837543,shop=convenience
"Blue Lake, CA",,retail,445110,Wildberries Marketplace,"747 13th Street, CA",,https://www.wildberries.com/,40.8717172,-124.08534,,,w_42121635,shop=supermarket
"Blue Lake, CA",,retail,445110,North Coast Co-op,"811 I Street, Arcata, CA, 95521",(707) 822-5947,https://www.northcoast.coop/,40.8690422,-124.0887834,,,w_42168946,shop=supermarket
"Blue Lake, CA",,retail,452210,Target,"2525 4th Street, Eureka, CA, 95501-0823",+1 707-442-0201,https://www.target.com/sl/eureka/1421,40.8056064,-124.1438239,,,w_44076083,"shop=department_store, brand=Target"
"Blue Lake, CA",,retail,446110,Rite Aid,,,,40.9332239,-124.1013168,,,w_64932167,"shop=chemist, amenity=pharmacy, brand=Rite Aid"
"Blue Lake, CA",,retail,445310,Beverage Plus Foods,"1221 Main Street, Fortuna, CA, 95540",+1 707-725-9303,https://www.facebook.com/pages/Beverage-Plus-Foods/322467129559,40.597716,-124.154101,,,w_238190017,shop=alcohol
"Blue Lake, CA",,retail,445120,Loleta Market,"352 Main Street, Loleta, CA",,,40.6403158,-124.2250937,,,w_238193103,shop=convenience
"Blue Lake, CA",,retail,445120,Courthouse Market,"905 4th Street, Eureka, CA",,,40.8036745,-124.1615665,,,w_238219442,shop=convenience
"Blue Lake, CA",,retail,445120,Speed Mart,"1125 4th Street, Eureka, CA",,,40.8041415,-124.1589188,,,w_238219463,shop=convenience
"Blue Lake, CA",,retail,445292,Dick Taylor Craft Chocolate,"4 4th Street, Eureka, CA",+1 707-798-6010,https://dicktaylorchocolate.com/,40.802246,-124.1718089,,,w_238290507,shop=chocolate
"Blue Lake, CA",,retail,445110,North Coast Co-op,"25 4th Street, Eureka, CA, 95501",,https://www.northcoast.coop/,40.8025026,-124.1713286,,,w_238290511,shop=supermarket
"Blue Lake, CA",,retail,446110,Humboldt Herbals,"2nd Street, Eureka, 95501",(707) 442-3541,https://www.humboldtherbals.com/,40.8039148,-124.1685228,,,w_238354353,shop=chemist
"Blue Lake, CA",,retail,446120,The Spa at Personal Choice,"130 G Street, Eureka, CA, 95501",707-445-2041,http://www.thespaatpersonalchoice.com/,40.8048645,-124.1657501,,,w_238365963,shop=beauty
"Blue Lake, CA",,retail,445110,Safeway,"1503 City Center Road, McKinleyville, CA, 95519",+1 707-840-9770,https://local.safeway.com/safeway/ca/mckinleyville/1503-city-ctr-rd.html,40.9436859,-124.1031283,,,w_252695693,"shop=supermarket, brand=Safeway"
"Blue Lake, CA",,retail,445110,Safeway,"701 South Fortuna Boulevard, Fortuna, CA, 95540",+1 707-725-5104,https://local.safeway.com/safeway/ca/fortuna/701-s-fortuna-blvd.html,40.5842085,-124.1449088,,,w_253280941,"shop=supermarket, brand=Safeway"
"Blue Lake, CA",,retail,445120,Great Goods,"1791 Riverwalk Drive, Fortuna, CA",,,40.5780165,-124.1539165,,,w_259445337,shop=convenience
"Blue Lake, CA",,retail,445110,Safeway,"2555 Harris Street, Eureka, CA, 95503",+1 707-269-0133,https://local.safeway.com/safeway/ca/eureka/2555-harris-st.html,40.7811053,-124.1384681,,,w_327744200,"shop=supermarket, brand=Safeway"
"Blue Lake, CA",,retail,445110,Murphy's Market,,,https://www.murphysmarkets.net/,41.0608646,-124.140533,,,w_409186947,shop=supermarket
"Blue Lake, CA",,retail,445310,Moonstone Crossing Winery,,(707) 845-5492,https://www.moonstonecrossing.com/#modern-organic-thai,41.0590004,-124.1426604,,,w_454607144,shop=wine
"Blue Lake, CA",,retail,445120,Aztec Grill,"101 Main Street, Trinidad, CA, 95570",,https://www.yelp.com/biz/aztec-grill-trinidad-5,41.0618713,-124.1406837,,,w_454607254,shop=convenience
"Blue Lake, CA",,retail,453991,BigFish Vapor Lab,"774 9th Street, Arcata, CA, 95521",+1 707-672-5255,https://bigfishvaporlab.com/,40.8692072,-124.0864483,,,w_470145059,shop=tobacco
"Blue Lake, CA",,retail,445310,Arcata Liquors,"786 9th Street, Arcata, CA, 95521",+1 707-822-0414,,40.8692479,-124.086625,,,w_470145062,shop=alcohol
"Blue Lake, CA",,retail,445120,FoodMart,"4050 Broadway Street, Eureka, CA, 95503",,,40.7698864,-124.192104,,,w_554527083,shop=convenience
"Blue Lake, CA",,retail,445110,Murphy's Market,"785 Bayside Road, Arcata, CA, 95521",,,40.8583521,-124.0728571,,,w_580609198,shop=supermarket
"Blue Lake, CA",,retail,446120,Young Nails,"923 H Street, Arcata, CA, 95521",+1 (707) 840-6068,,40.8693226,-124.0869232,,,w_672450000,shop=beauty
"Blue Lake, CA",,retail,445110,4th Street Market,,,,40.8647079,-124.088204,,,w_672464758,shop=supermarket
"Blue Lake, CA",,retail,446110,CVS Pharmacy,"600 F Street, Arcata, CA, 95521",+1 (707) 822-2479,https://www.cvs.com/store-locator/arcata-ca-pharmacies/600-f-st-arcata-ca-95521/storeid=9482,40.8657241,-124.0852648,,,w_672472075,"shop=chemist, brand=CVS Pharmacy"
"Blue Lake, CA",,retail,445110,Safeway,"600 F Street, Arcata, CA, 95521",+1 707-822-5217,https://local.safeway.com/safeway/ca/arcata/600-f-st.html,40.865909,-124.0839548,,,w_672472077,"shop=supermarket, brand=Safeway"
"Blue Lake, CA",,retail,453991,Pacific Paradise Vape Shop,"1087 H Street, Arcata, CA, 95521",+1 (707) 822-7143,,40.8705139,-124.0864648,,,w_672575035,shop=tobacco
"Blue Lake, CA",,retail,446110,Barnes Arcata Family Drug,"1080 G Street, Arcata, CA, 95521",+1 (707) 822-1717,,40.8701581,-124.0850205,,,w_672613129,shop=chemist
"Blue Lake, CA",,retail,445120,Food Mart,,,,40.873128,-124.0845772,,,w_672613144,"shop=convenience, brand=Shell"
"Blue Lake, CA",,retail,445310,The Hutch,,,,40.8747293,-124.0833459,,,w_672613160,shop=alcohol
"Blue Lake, CA",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-1424+broadway-eureka-ca-95501/id=4681,40.7937446,-124.1781716,,,w_688445530,"shop=chemist, brand=Walgreens"
"Blue Lake, CA",,retail,445120,Chevron,"421 Samoa Boulevard, Arcata, CA, 95521",,,40.86597,-124.0906466,,,w_728986104,"shop=convenience, brand=Chevron"
"Blue Lake, CA",,retail,445110,Ray's Food Place,,,,40.9032259,-124.0817205,,,w_846292756,"shop=supermarket, brand=Ray's Food Place"
"Blue Lake, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/arcata/1845/,40.9038569,-124.081727,,,w_846292758,"shop=variety_store, brand=Dollar Tree"
"Blue Lake, CA",,retail,445120,Chevron,,,,40.9045797,-124.0824722,,,w_846309457,"shop=convenience, brand=Chevron"
"Blue Lake, CA",,retail,445120,Redwood Market,,,,40.8040648,-124.1441796,,,w_854417338,shop=convenience
"Blue Lake, CA",,retail,445120,Great Goods!,,,,40.7973472,-124.1427901,,,w_854455841,shop=convenience
"Blue Lake, CA",,retail,445120,SpeedMart,,,,40.7971801,-124.1746472,,,w_854773573,shop=convenience
"Blue Lake, CA",,retail,445310,BevMo!,,,,40.7926362,-124.1788778,,,w_866457367,"shop=alcohol, brand=BevMo!"
"Blue Lake, CA",,retail,445120,McKinleyville Mini Mart,"2698 Central Avenue, McKinleyville, CA, 95519",(707) 839-2661,https://www.76.com/station/U76-MCKINLEYVILLE-MINI-MART-0000808405?refer=psx_76,40.9544766,-124.1013392,,,w_872148857,shop=convenience
