Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Calipatria, CA",,retail,452210,Target,"2295 North Imperial Avenue, El Centro, CA, 92243",+1-760-482-5400,https://www.target.com/sl/el-centro/1816,32.8136699,-115.567066,,,n_4682522591,"shop=department_store, brand=Target"
"Calipatria, CA",,retail,445310,Date Shake,,,,33.0376783,-115.6221574,,,n_4728087489,shop=beverages
"Calipatria, CA",,retail,445110,Walmart Supercenter,"250 Wildcat Drive, Brawley, CA, 92227",+1 760-351-0186,https://www.walmart.com/store/5335-brawley-ca,32.962431,-115.545833,,,n_5315597613,"shop=supermarket, brand=Walmart, operator=Walmart"
"Calipatria, CA",,retail,452319,Dollar Tree,"2300 Cottonwood Drive, El Centro, CA, 92243",,https://www.dollartree.com/locations/ca/el-centro/3748/,32.8150303,-115.572345,,,n_5682901400,"shop=variety_store, brand=Dollar Tree"
"Calipatria, CA",,retail,445110,Food 4 Less,"2420 Cottonwood Drive, El Centro, CA, 92243",,,32.8157132,-115.572594,,,n_5682904280,"shop=supermarket, brand=Food 4 Less"
"Calipatria, CA",,retail,446120,Styles & Smiles,"1802 North Imperial Avenue, El Centro, CA, 92243",,,32.8091782,-115.5717337,,,n_5683001742,shop=beauty
"Calipatria, CA",,retail,445120,,,,,32.7717179,-115.5551695,,,n_5685926052,shop=convenience
"Calipatria, CA",,retail,452319,Dollar Tree,,,,32.7824316,-115.5512307,,,n_5691352262,"shop=variety_store, brand=Dollar Tree"
"Calipatria, CA",,retail,445110,Dollar General Market,"El Centro, CA",+1 442-258-3242,https://www.dollargeneral.com/store-directory/ca/el-centro/14455,32.7975055,-115.5714468,,,n_5700633292,"shop=supermarket, brand=Dollar General"
"Calipatria, CA",,retail,452319,Super 99 Cents Store,,,,32.7802143,-115.5527219,,,n_5700765243,shop=variety_store
"Calipatria, CA",,retail,445310,BevMo!,,,,32.7677768,-115.5343668,,,n_5718337841,"shop=alcohol, brand=BevMo!"
"Calipatria, CA",,retail,446120,Ulta Beauty,"508 East Danenberg Drive, El Centro, CA, 92243",+1 760-353-1745,https://www.ulta.com/stores/el-centro-ca-723,32.7674993,-115.53377,,,n_5718337846,"shop=beauty, brand=Ulta Beauty"
"Calipatria, CA",,retail,452210,dd's Discounts,,,,32.7698188,-115.532846,,,n_5718342532,"shop=department_store, brand=dd's Discounts"
"Calipatria, CA",,retail,452319,99 Cents Only Stores,,,,32.769798,-115.533179,,,n_5718342533,"shop=variety_store, brand=99 Cents Only Stores"
"Calipatria, CA",,retail,445110,El Sol Market,"El Centro, CA, 92243",,,32.7953109,-115.5822245,,,n_5718756702,shop=supermarket
"Calipatria, CA",,retail,452210,Dillard's,,+1 760-370-0190,https://www.dillards.com/stores/california/imperial-valley-mall-el-centro/0962,32.7652223,-115.5307199,,,n_6334495610,"shop=department_store, brand=Dillard's"
