Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Camp Nelson, CA",,retail,445110,California Oranges,"33100 California 190, Springville, CA, 93265",559-539-2251,https://www.californiaoranges.com/,36.1012355,-118.8280675,,,n_150943454,shop=supermarket
"Camp Nelson, CA",,retail,445120,Silver City Store,,,https://www.silvercityresort.com/,36.4667111,-118.6470069,,,n_2380935164,shop=convenience
"Camp Nelson, CA",,retail,445120,SaveMart,,,,36.0821006,-119.037375,,,n_4217389783,shop=convenience
"Camp Nelson, CA",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ca/porterville/18056,36.0576399,-118.9910806,,,n_5662366451,"shop=variety_store, brand=Dollar General"
"Camp Nelson, CA",,retail,445120,General Store,,,,36.1398367,-118.6135876,,,n_5963099386,shop=convenience
"Camp Nelson, CA",,retail,452319,Dollar Tree,"Porterville, CA, 93257",,https://www.dollartree.com/locations/ca/porterville/1245/,36.0790571,-119.0481727,,,n_6594911873,"shop=variety_store, brand=Dollar Tree"
"Camp Nelson, CA",,retail,452210,Target,"1363 West Henderson Avenue, Porterville, CA, 93257",+1 559-719-2203,https://www.target.com/sl/porterville/2420,36.0781272,-119.0472938,,,n_6594911876,"shop=department_store, brand=Target"
"Camp Nelson, CA",,retail,452210,Marshalls,"Porterville, CA, 93257",,,36.0787227,-119.0461248,,,n_6594911879,"shop=department_store, brand=Marshalls"
"Camp Nelson, CA",,retail,452210,Kohl's,"1275 West Henderson Avenue, Porterville, CA, 93257",+1 559-789-0149,https://www.kohls.com/stores/ca/porterville-1403.shtml,36.0787335,-119.0450277,,,n_6594916185,"shop=department_store, brand=Kohl's"
"Camp Nelson, CA",,retail,446120,Ulta Beauty,"1267 West Henderson Avenue, Porterville, CA, 93257",+1 559-783-8280,https://www.ulta.com/stores/porterville-ca-1243,36.0788755,-119.0444651,,,n_6594916186,"shop=beauty, brand=Ulta Beauty"
"Camp Nelson, CA",,retail,445110,Food 4 Less,,,,36.0816676,-119.0462696,,,n_6594968360,"shop=supermarket, brand=Food 4 Less"
"Camp Nelson, CA",,retail,445120,Shell,,,,36.0808184,-119.040378,,,n_6595277847,"shop=convenience, brand=Shell"
"Camp Nelson, CA",,retail,445120,,,,,36.0506639,-119.0267059,,,n_6608920057,shop=convenience
"Camp Nelson, CA",,retail,445120,Shell,"809 East Putnam Avenue, Porterville, CA, 93257",5597849079,,36.0689479,-118.999189,,,n_8108778964,"shop=convenience, brand=Shell"
"Camp Nelson, CA",,retail,445120,Qwik stop,"1445 West Henderson Avenue, Porterville, CA",+15597811018,,36.0799052,-119.0491985,,,n_9962311257,shop=convenience
"Camp Nelson, CA",,retail,445110,Town & Country,"1310 West Olive Avenue, 93257",,,36.0668798,-119.0465507,,,n_13040337002,shop=grocery
"Camp Nelson, CA",,retail,452319,Dollar General,"1316 West Olive Avenue, 93257",,,36.0663523,-119.0470266,,,n_13040337003,shop=variety_store
"Camp Nelson, CA",,retail,445120,,,,,36.0581944,-119.0082825,,,w_556246155,shop=convenience
"Camp Nelson, CA",,retail,452210,Walmart,"1250 West Henderson Avenue, Porterville, CA, 93257",+1 559-783-8195,https://www.walmart.com/store/1877-porterville-ca,36.0833854,-119.0454315,,,w_690834796,"shop=department_store, brand=Walmart, operator=Walmart"
"Camp Nelson, CA",,retail,445110,ALDI,"770 South Jaye Street, Porterville, CA, 93257-5310",+1 442-666-7351,https://stores.aldi.us/ca/porterville/770-s-jaye-st,36.0525599,-119.0255033,,,w_956214732,"shop=supermarket, brand=ALDI"
"Camp Nelson, CA",,retail,452319,,,,,35.9722995,-118.5389258,,,w_981644052,shop=general
"Camp Nelson, CA",,retail,445110,Grocery Outlet,"50 West Olive Avenue, Porterville, CA, 93257",+15597811788,,36.0655932,-119.0174689,,,w_1014433441,"shop=supermarket, brand=Grocery Outlet"
"Camp Nelson, CA",,retail,452319,Dollar Tree,"50 West Olive Avenue, Porterville, CA, 93257",+15595446167,https://www.dollartree.com/locations/ca/porterville/6313/,36.066008,-119.0174852,,,w_1014433443,"shop=variety_store, brand=Dollar Tree"
"Camp Nelson, CA",,retail,452319,Eagle Feather Trading Post,,,,36.0913778,-118.8818574,,,w_1079637253,shop=general
"Camp Nelson, CA",,retail,445110,Gifford's Market,,,,36.130462,-118.817401,,,w_1287051060,shop=supermarket
