Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Carpinteria, CA",,retail,445110,Ralphs,"615 West Channel Islands Boulevard, Port Hueneme, CA, 93041",+1 805-984-2005,https://www.ralphs.com/stores/grocery/ca/port-hueneme/mandalay-village-marketplace/703/00062,34.1770427,-119.2162359,,,n_433110819,"shop=supermarket, brand=Ralphs"
"Carpinteria, CA",,retail,446120,Ulta Beauty,,,,34.237197,-119.1792194,,,n_441983636,"shop=cosmetics, brand=Ulta Beauty"
"Carpinteria, CA",,retail,452210,TJ Maxx,,,,34.2347172,-119.176818,,,n_441983637,"shop=department_store, brand=TJ Maxx"
"Carpinteria, CA",,retail,446120,Euphoria Nails & Spa,,,,34.232491,-119.1751694,,,n_441983660,shop=beauty
"Carpinteria, CA",,retail,446120,Bath & Body Works,,,,34.2322566,-119.175168,,,n_441983662,"shop=cosmetics, brand=Bath & Body Works"
"Carpinteria, CA",,retail,445120,The Store at Buchanan,,,,34.4156123,-119.8446974,,,n_448803339,shop=convenience
"Carpinteria, CA",,retail,445120,UCSB Campus Store,,+1 (805) 893-8321,https://campusstore.ucsb.edu/home,34.4117597,-119.8482593,,,n_448863568,shop=convenience
"Carpinteria, CA",,retail,445120,The Corner Store,,+1 (805) 893-4593,,34.411781,-119.8478257,,,n_451025875,shop=convenience
"Carpinteria, CA",,retail,445120,EasyMart,,,,34.2642795,-119.2706893,,,n_452816020,shop=convenience
"Carpinteria, CA",,retail,445110,Lazy Acres,"302 Meigs Road, Santa Barbara, CA, 93109",+1 (805) 564-4410,https://www.lazyacres.com/find-a-store/santa-barbara,34.4002857,-119.7216572,,,n_467861362,"shop=supermarket, brand=Lazy Acres Market"
"Carpinteria, CA",,retail,445110,Vons,"2010 Cliff Drive, Santa Barbara, CA, 93109",+1 805-966-5011,https://local.vons.com/ca/santa-barbara/2010-cliff-dr.html,34.4025023,-119.723794,,,n_467874261,"shop=supermarket, brand=Vons"
"Carpinteria, CA",,retail,445110,Ralphs,"5170 Hollister Avenue, Goleta, CA, 93111",+1 (805) 692-0022,https://www.ralphs.com/stores/grocery/ca/goleta/goleta/703/00010,34.4359096,-119.803846,,,n_648508441,"shop=supermarket, brand=Ralphs"
"Carpinteria, CA",,retail,445110,Indo China Market,"6831 Hollister Avenue, Goleta, 93117",,,34.4296881,-119.8670757,,,n_648613536,shop=supermarket
"Carpinteria, CA",,retail,445110,Trader Joe's,"3025 De La Vina Street, Santa Barbara, CA, 93105",+1-805-563-7383,https://locations.traderjoes.com/ca/santa-barbara/183/,34.4389102,-119.728945,,,n_671782461,"shop=supermarket, brand=Trader Joe's"
"Carpinteria, CA",,retail,445110,Albertsons,"1018 Casitas Pass Road, Carpinteria, CA, 93013",+1 805-684-4815,https://local.albertsons.com/ca/carpinteria/1018-casitas-pass-rd.html,34.3949057,-119.5119971,,,n_775205719,"shop=supermarket, brand=Albertsons"
"Carpinteria, CA",,retail,445120,76,,,https://www.76.com/station/U76-ROSE-N-FIFTH-INC-0000824531/,34.1965346,-119.160276,,,n_897648426,"shop=convenience, amenity=fuel, brand=76"
"Carpinteria, CA",,retail,445120,Mobil,,,,34.2224569,-119.157837,,,n_898832805,"shop=convenience, amenity=fuel, brand=Mobil"
"Carpinteria, CA",,retail,445120,76,"East Thompson Boulevard, Ventura, CA",,https://www.76.com/station/U76-DBA-KASSRA-INC-0000898649/,34.2733888,-119.266789,,,n_900587735,"shop=convenience, amenity=fuel, brand=76"
"Carpinteria, CA",,retail,445120,Kwiki Mart,,,,34.2784952,-119.2872877,,,n_902353384,shop=convenience
"Carpinteria, CA",,retail,445120,Valero,,,,34.2785003,-119.294377,,,n_902740201,"shop=convenience, amenity=fuel, brand=Valero"
"Carpinteria, CA",,retail,445120,,,,,34.3260566,-119.2900531,,,n_904058042,shop=convenience
"Carpinteria, CA",,retail,445120,Shell,,,,34.4006103,-119.2999505,,,n_904625389,"shop=convenience, amenity=fuel, brand=Shell"
"Carpinteria, CA",,retail,445110,Dahl's Market,,,,34.3934338,-119.3013767,,,n_904625457,shop=grocery
"Carpinteria, CA",,retail,445120,Thrifty Gas Station,,,,34.3983342,-119.300029,,,n_904625479,"shop=convenience, amenity=fuel, brand=Thrifty"
"Carpinteria, CA",,retail,445120,Circle K,,,https://www.circlek.com/store-locator/US/ojai/11408-ventura-ave/2701045,34.4226352,-119.2894544,,,n_904625560,"shop=convenience, amenity=fuel, brand=Circle K"
"Carpinteria, CA",,retail,445310,Scotty's Liquor,,,,34.4003652,-119.2994457,,,n_904625700,shop=alcohol
"Carpinteria, CA",,retail,445310,,,,,34.4250921,-119.2885268,,,n_904883950,shop=alcohol
"Carpinteria, CA",,retail,445110,Albertsons,"5811 Calle Real, Goleta, CA, 93117",+1-805-964-2318,https://local.albertsons.com/ca/goleta/5801-calle-real.html,34.4407952,-119.826197,,,n_1348747767,"shop=supermarket, brand=Albertsons"
"Carpinteria, CA",,retail,445110,Trader Joe's,"5767 North Calle Real Avenue, Goleta, CA, 93117",+1 805-692-2234,https://locations.traderjoes.com/ca/goleta/110/,34.4407421,-119.8250202,,,n_1348747780,"shop=supermarket, brand=Trader Joe's"
"Carpinteria, CA",,retail,452210,Big Lots,"733 West Channel Islands Boulevard, Port Hueneme, CA, 93041",+1 805-985-8106,https://local.biglots.com/ca/port-hueneme/733-w-channel-islands-blvd,34.1768456,-119.2196973,,,n_1351008869,"shop=department_store, brand=Big Lots"
"Carpinteria, CA",,retail,446120,Minh Ly's Nails,"5120 Hollister Avenue, Santa Barbara, CA, 93111",,,34.4356917,-119.8028919,,,n_1469691011,shop=beauty
