Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Chinese Camp, CA",,retail,445120,Columbia Mercantile,,,,38.0357375,-120.4004094,,,n_614359380,shop=convenience
"Chinese Camp, CA",,retail,445110,Twain Harte Market,,,,38.0399728,-120.2248706,,,n_737551611,shop=supermarket
"Chinese Camp, CA",,retail,445120,7-Eleven,"22950 Joaquin Gulley, Twain Harte, CA, 95383-1689",+1 209-586-1157,https://www.7-eleven.com/locations/ca/twain-harte/22950-joaquin-gulley-26688,38.0382736,-120.2299722,,,n_765351096,"shop=convenience, brand=7-Eleven, operator=7-Eleven Store"
"Chinese Camp, CA",,retail,445110,Food Mart,,,,38.0860538,-120.5658153,,,n_990550930,shop=supermarket
"Chinese Camp, CA",,retail,445299,Oakdale Cheese,10040 Highway 120,1-209-848-3139,https://www.oakdalecheese.com/,37.7854523,-120.858988,,,n_1362362946,shop=cheese
"Chinese Camp, CA",,retail,445120,Buck Meadows General Store,,,,37.815397,-120.0630554,,,n_1748172896,shop=convenience
"Chinese Camp, CA",,retail,445120,Corona Market,,,,37.7645489,-120.8459616,,,n_2511043462,shop=convenience
"Chinese Camp, CA",,retail,445110,Save Mart,"260 South Main Street, Angels Camp, 95222",+1 209 736 4519,https://www.savemart.com/stores#/4914,38.0786638,-120.55566,,,n_2795626710,"shop=supermarket, brand=Save Mart"
"Chinese Camp, CA",,retail,445120,La Grange General Store,,,,37.6626101,-120.4646865,,,n_2891851311,shop=convenience
"Chinese Camp, CA",,retail,445110,Cost Less Food,,,,37.776124,-120.854776,,,n_3061220233,shop=supermarket
"Chinese Camp, CA",,retail,445110,Grocery Outlet,,,,37.7754159,-120.8532916,,,n_3364661724,shop=supermarket
"Chinese Camp, CA",,retail,445110,Grocery Outlet,,,,37.9755488,-120.378671,,,n_3441671975,"shop=supermarket, brand=Grocery Outlet"
"Chinese Camp, CA",,retail,445110,Safeway,"1291 Sanguinetti Road, Sonora, CA, 95370",+1 209-533-7810,https://local.safeway.com/safeway/ca/sonora/1291-sanguinetti-rd.html,37.9737519,-120.3620445,,,n_3441680643,"shop=supermarket, brand=Safeway"
"Chinese Camp, CA",,retail,452319,Dollar Store,,,,38.1393,-120.455513,,,n_4216515115,shop=variety_store
"Chinese Camp, CA",,retail,445120,R&L Mini Mart,,,,38.0273049,-120.4056947,,,n_4216515130,shop=convenience
