Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Cloverdale, CA",,retail,445120,Ocean Cove Store,23125 Coast Highway,707/847-3422,https://www.oceancove.org/,38.5554722,-123.3010248,,,n_3154865900,shop=convenience
"Cloverdale, CA",,retail,452319,Cazadero General Store,"6125 Cazadero Highway, Cazadero, CA, 95421",,,38.5337531,-123.0860046,,,n_3812037585,shop=general
"Cloverdale, CA",,retail,445310,DaVero Farms & Winery,766 Westside Road,,,38.604013,-122.8840787,,,n_4755700738,shop=wine
"Cloverdale, CA",,retail,445310,Gary Farrell,,,,38.5075587,-122.8961503,,,n_4998758248,shop=wine
"Cloverdale, CA",,retail,445120,Talmage Market,,,,39.1333951,-123.1664551,,,n_5127710511,shop=convenience
"Cloverdale, CA",,retail,445210,Contreras Meat Market,,,,39.1328824,-123.1719539,,,n_5127710512,shop=butcher
"Cloverdale, CA",,retail,445310,Mills Creek Vineyard,,,,38.5988099,-122.8852613,,,n_5742808721,shop=wine
"Cloverdale, CA",,retail,445310,MacRostie Vineyard & Winery,,,,38.5545944,-122.8732616,,,n_5826096153,shop=wine
"Cloverdale, CA",,retail,445310,Hartford Family Winery,"8075 Martinelli Road, Forestville, CA, 95436",,,38.4843131,-122.9094271,,,n_5826096253,shop=wine
"Cloverdale, CA",,retail,445110,FoodMaxx,"1235 Airport Park Boulevard, Ukiah, CA, 95482",+1 707-467-9007,https://luckysupermarkets.com/stores/95940da7-d5ec-4d99-9106-648fa9a3786b/UKIAH/473/UKIAH,39.131269,-123.196676,,,n_5912324337,"shop=supermarket, brand=FoodMaxx"
"Cloverdale, CA",,retail,446120,La Belle Nails & Spa,,,,39.1285897,-123.1992199,,,n_5914710047,shop=beauty
"Cloverdale, CA",,retail,445120,Yorkville market,,,,38.8997462,-123.2178296,,,n_6164833663,shop=convenience
"Cloverdale, CA",,retail,445310,Ferrari-Carano Vineyards and Winery,Dry Creek Road,,,38.7112935,-122.9781462,,,n_6373042186,shop=wine
"Cloverdale, CA",,retail,445120,The farm hand,,(707) 604-7795,https://www.thefarmhand.net/,38.5143129,-122.9832277,,,n_6673050085,"shop=convenience, amenity=restaurant"
"Cloverdale, CA",,retail,446120,,,,,38.502275,-122.9990817,,,n_6678112245,shop=beauty
"Cloverdale, CA",,retail,445120,MD liquor and food,,,,38.5022748,-122.999184,,,n_6678134739,shop=convenience
"Cloverdale, CA",,retail,445120,MD,,,,38.5114412,-122.9847732,,,n_6684942013,shop=convenience
"Cloverdale, CA",,retail,445120,,,,,38.5261012,-122.7868821,,,n_7012806520,shop=convenience
"Cloverdale, CA",,retail,445310,Ramey Wine Cellars,"25 Healdsburg Avenue, Healdsburg, CA, 95448",,https://www.rameywine.com,38.6037008,-122.8625616,,,n_7900619776,"shop=wine, operator=Ramey family"
"Cloverdale, CA",,retail,445310,J Rochioli Vineyards & Winery,"6192 Westside Road, Healdsburg, CA",,https://www.rochioliwinery.com/,38.535173,-122.8672532,,,n_7902348098,"shop=wine, operator=Rochioli family"
"Cloverdale, CA",,retail,452319,,,,,38.7078671,-123.0188244,,,n_8264468097,shop=general
