Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Coffee Creek, CA",,retail,445110,Dunsmuir Supermarket,"5529 Dunsmuir Avenue, Dunsmuir, CA, 96025",,,41.2133097,-122.2721058,,,n_2634690887,shop=supermarket
"Coffee Creek, CA",,retail,452319,General Store,,,,41.2768155,-122.3452282,,,n_3295605770,shop=variety_store
"Coffee Creek, CA",,retail,445120,Chevron,"20884 Antlers Road, Lakehead, 96051",,,40.892221,-122.3821212,,,n_4047640138,"shop=convenience, brand=Chevron"
"Coffee Creek, CA",,retail,445110,Trinity Center General Store,,,,40.9844935,-122.7052492,,,n_4274859114,shop=supermarket
"Coffee Creek, CA",,retail,445120,,,,,41.1951652,-122.2818287,,,n_7012369810,shop=convenience
"Coffee Creek, CA",,retail,445120,Ammirati's Market,,,,41.1483469,-122.3173329,,,n_8377352358,shop=convenience
"Coffee Creek, CA",,retail,445120,Callahan Emporium,,,,41.3089851,-122.8002901,,,n_8857742056,shop=convenience
"Coffee Creek, CA",,retail,445120,Trinity Alps Resort General Store,,,,40.8571461,-122.8890198,,,n_8861081955,shop=convenience
"Coffee Creek, CA",,retail,445120,Food Mart,,,,40.8876654,-122.3842484,,,n_9816006014,shop=convenience
"Coffee Creek, CA",,retail,452319,Dollar General,"5130 Florence Loop, CA",,https://www.dollargeneral.com/store-directory/ca/dunsmuir/16699,41.21898,-122.2742862,,,w_759297661,"shop=variety_store, brand=Dollar General"
"Coffee Creek, CA",,retail,445110,Lakeshore Villa Market,,+1 (530) 238-8615,,40.887968,-122.3849206,,,w_1069441013,shop=supermarket
