Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Collierville, CA",,retail,445110,Trader Joe's,"6535 Pacific Avenue, Stockton, CA, 95207",+1 209-951-7597,https://locations.traderjoes.com/ca/stockton/76/,38.0091681,-121.3226915,,,n_502635393,"shop=supermarket, brand=Trader Joe's"
"Collierville, CA",,retail,445110,Podesto's,,,,38.0114821,-121.3216023,,,n_502635397,shop=supermarket
"Collierville, CA",,retail,445110,S-MART Foods,,,,38.1140855,-121.2811715,,,n_660946004,shop=supermarket
"Collierville, CA",,retail,445110,Food 4 Less,,,,38.1140053,-121.305743,,,n_660946005,"shop=supermarket, brand=Food 4 Less"
"Collierville, CA",,retail,445120,Snug Harbor Bait & Groceries,,,,38.1993289,-121.6134957,,,n_761305299,shop=convenience
"Collierville, CA",,retail,445110,Bel Air Supermarket,"7465 Rush River Drive, Sacramento, CA, 95831",,,38.4866182,-121.5351981,,,n_761843487,shop=supermarket
"Collierville, CA",,retail,445110,Nugget Markets,"1040 Florin Road, Sacramento, CA, 95831",916-395-2875,https://www.nuggetmarket.com/locations/florin-sacramento/,38.4946211,-121.5211208,,,n_761845564,shop=supermarket
"Collierville, CA",,retail,446110,Rite Aid,,,,38.4936932,-121.522638,,,n_761845565,"shop=chemist, amenity=pharmacy, brand=Rite Aid"
"Collierville, CA",,retail,445110,Food 4 Less,"4551 Mack Road, Sacramento, CA, 95823",,,38.4755431,-121.4492316,,,n_1712260517,"shop=supermarket, brand=Food 4 Less"
"Collierville, CA",,retail,445110,Nugget Markets,"7101 Elk Grove Boulevard, Elk Grove, CA, 95758",916-226-2626,https://www.nuggetmarket.com/locations/elk-grove/,38.4100083,-121.4200614,,,n_1776777196,shop=supermarket
"Collierville, CA",,retail,452210,Kohl's,"9650 Bruceville Road, Elk Grove, CA, 95757",+1 916-714-6471,https://www.kohls.com/stores/ca/elkgrove-695.shtml,38.4074279,-121.4199611,,,n_1776792738,"shop=department_store, brand=Kohl's"
