Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Columbia, CA",,retail,445120,Columbia Mercantile,,,,38.0357375,-120.4004094,,,n_614359380,shop=convenience
"Columbia, CA",,retail,445110,Twain Harte Market,,,,38.0399728,-120.2248706,,,n_737551611,shop=supermarket
"Columbia, CA",,retail,445120,7-Eleven,"22950 Joaquin Gulley, Twain Harte, CA, 95383-1689",+1 209-586-1157,https://www.7-eleven.com/locations/ca/twain-harte/22950-joaquin-gulley-26688,38.0382736,-120.2299722,,,n_765351096,"shop=convenience, brand=7-Eleven, operator=7-Eleven Store"
"Columbia, CA",,retail,445110,Food Mart,,,,38.0860538,-120.5658153,,,n_990550930,shop=supermarket
"Columbia, CA",,retail,445120,Buck Meadows General Store,,,,37.815397,-120.0630554,,,n_1748172896,shop=convenience
"Columbia, CA",,retail,445110,Sender's Market,,,,38.2284773,-120.5408459,,,n_1904630537,shop=supermarket
"Columbia, CA",,retail,445120,,,,,38.2277664,-120.542538,,,n_2085378878,shop=convenience
"Columbia, CA",,retail,445110,Save Mart,"260 South Main Street, Angels Camp, 95222",+1 209 736 4519,https://www.savemart.com/stores#/4914,38.0786638,-120.55566,,,n_2795626710,"shop=supermarket, brand=Save Mart"
"Columbia, CA",,retail,445110,Grocery Outlet,,,,37.9755488,-120.378671,,,n_3441671975,"shop=supermarket, brand=Grocery Outlet"
"Columbia, CA",,retail,445110,Safeway,"1291 Sanguinetti Road, Sonora, CA, 95370",+1 209-533-7810,https://local.safeway.com/safeway/ca/sonora/1291-sanguinetti-rd.html,37.9737519,-120.3620445,,,n_3441680643,"shop=supermarket, brand=Safeway"
"Columbia, CA",,retail,445120,Camp Connell General Store,"4036 Highway 4, Camp Connell, CA, 95223",,,38.3098829,-120.2770425,,,n_4215379586,shop=convenience
"Columbia, CA",,retail,452319,Dollar Store,,,,38.1393,-120.455513,,,n_4216515115,shop=variety_store
"Columbia, CA",,retail,445120,R&L Mini Mart,,,,38.0273049,-120.4056947,,,n_4216515130,shop=convenience
"Columbia, CA",,retail,446110,CVS Pharmacy,"41 North Main Street, Angels Camp, CA, 95222",,https://www.cvs.com/store-locator/angels-camp-ca-pharmacies/41-n-main-st-angels-camp-ca-95222/storeid=9539,38.0824477,-120.5606473,,,n_4216515137,"shop=chemist, brand=CVS Pharmacy"
"Columbia, CA",,retail,445110,Sierra Hills Market,,,,38.1378861,-120.457094,,,n_4216517007,shop=supermarket
"Columbia, CA",,retail,445110,Sierra Hills Natural Foods,,,,38.13822,-120.4574172,,,n_4216517008,shop=supermarket
