Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Cutler, CA",,retail,445110,Sequoia Produce,,,,36.3254898,-119.1046608,,,n_2373998142,shop=supermarket
"Cutler, CA",,retail,445120,Lemon Cove Market,,,,36.3843926,-119.0255356,,,n_2374018192,shop=convenience
"Cutler, CA",,retail,445120,Prince Mart,,,,36.3950417,-119.0223598,,,n_2374020610,shop=convenience
"Cutler, CA",,retail,452319,The Thingerie Thrift Shop,,,,36.4283773,-118.9139534,,,n_2379767836,shop=variety_store
"Cutler, CA",,retail,445310,Franks Liquor,,,,36.3334616,-119.2975233,,,n_2529640614,shop=alcohol
"Cutler, CA",,retail,445120,Three Rivers Market,,,,36.4394893,-118.9049965,,,n_2934354042,shop=convenience
"Cutler, CA",,retail,452319,Minkler General Store,,,,36.7226118,-119.4575406,,,n_3202555939,shop=variety_store
"Cutler, CA",,retail,445110,best buy market,"Visalia, CA",,,36.3134312,-119.3059128,,,n_3447192034,shop=supermarket
"Cutler, CA",,retail,445120,Totem Deli & Bar,"Sierra Drive, Three Rivers, CA",,,36.4736532,-118.852974,,,n_4907668421,shop=convenience
"Cutler, CA",,retail,445120,,,,,36.6835281,-119.1873722,,,n_6422020628,shop=convenience
"Cutler, CA",,retail,445110,Cost Less,,,,36.3222534,-119.65593,,,n_6593325447,shop=supermarket
"Cutler, CA",,retail,452210,Big Lots,"150 South 11th Avenue, Hanford, CA, 93230",+1 559-583-1174,https://local.biglots.com/ca/hanford/150-s-11th-ave,36.3228326,-119.6575884,,,n_6593325450,"shop=department_store, brand=Big Lots"
"Cutler, CA",,retail,445110,Grocery Outlet,,,,36.3264932,-119.651394,,,n_6594608073,"shop=supermarket, brand=Grocery Outlet"
"Cutler, CA",,retail,445110,Harrods Market,,,,36.3258332,-119.6448523,,,n_7249785561,shop=supermarket
"Cutler, CA",,retail,445120,Chevron,,,,36.3596221,-119.65437,,,n_7282228751,"shop=convenience, brand=Chevron"
"Cutler, CA",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/hanford-ca-pharmacies/2539-n-11th-ave-hanford-ca-93230/storeid=9893,36.3577471,-119.65396,,,n_7282228868,"shop=chemist, brand=CVS Pharmacy"
"Cutler, CA",,retail,446120,Pure Tan,,,,36.3580701,-119.6540764,,,n_7282228869,shop=beauty
"Cutler, CA",,retail,453991,Sal's Tobacco & more,,,,36.3581344,-119.6540761,,,n_7282228871,shop=tobacco
"Cutler, CA",,retail,446120,Fargo Nail,,,,36.358008,-119.654071,,,n_7282228886,shop=beauty
