Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Davenport, CA",,retail,445110,Andronico’s,"690 Fremont Avenue, Los Altos, CA, 94024",,https://local.andronicos.com/ca/los-altos/690-fremont-ave.html,37.3607935,-122.0968991,,,n_314151916,"shop=supermarket, brand=Andronico’s"
"Davenport, CA",,retail,452319,Daiso Japan,"685 Saratoga Avenue, San Jose, CA, 95129",,,37.3146198,-121.9771,,,n_353697111,"shop=variety_store, brand=Daiso, operator=Daiso Japan LLC Saratoga"
"Davenport, CA",,retail,445110,Trader Joe's,"1875 South Bascom Avenue, Campbell, CA, 95008",+1 408-369-7823,https://locations.traderjoes.com/ca/campbell/73/,37.2882737,-121.9324361,,,n_357522348,"shop=supermarket, brand=Trader Joe's"
"Davenport, CA",,retail,445110,Whole Foods Market,"1690 South Bascom Avenue, Campbell, CA, 95008",+1 408-371-5000,https://www.wholefoodsmarket.com/stores/campbell,37.2929607,-121.930408,,,n_357524353,"shop=supermarket, brand=Whole Foods Market, operator=Eric F. Anderson, Inc."
"Davenport, CA",,retail,452210,Ross,"650 River Street, Santa Cruz, CA, 95060",+1 831-423-0551,,36.9838459,-122.0284718,,,n_395031702,"shop=department_store, brand=Ross"
"Davenport, CA",,retail,445110,Staff of Life,,,,36.9805889,-122.0082911,,,n_400699340,shop=supermarket
"Davenport, CA",,retail,445120,Om's Market,"335 Mission Street, Santa Cruz, CA, 95060",,,36.9760263,-122.032207,,,n_401461437,shop=convenience
"Davenport, CA",,retail,445120,7-Eleven,"2429 Mission Street, Santa Cruz, CA, 95060-5225",+1 831-458-2720,https://www.7-eleven.com/locations/ca/santa-cruz/2429-mission-street-29795,36.9602021,-122.049095,,,n_401461449,"shop=convenience, brand=7-Eleven"
"Davenport, CA",,retail,445120,Metropolitan Market,,,,36.9708418,-122.0249664,,,n_405661849,shop=convenience
"Davenport, CA",,retail,445310,Soif Wine Bar,,,,36.9733568,-122.0262054,,,n_409383304,shop=alcohol
"Davenport, CA",,retail,445120,DJ's Mini Mart,,,,36.9818496,-122.0141975,,,n_409452170,shop=convenience
"Davenport, CA",,retail,445310,Ernie's Liquor's,,,,36.9782257,-122.0132517,,,n_409452366,shop=alcohol
"Davenport, CA",,retail,445310,Grog Shop,,,,36.9820443,-122.0216474,,,n_409455094,shop=alcohol
"Davenport, CA",,retail,445310,Lloyd's Liquors,,,,36.9746945,-122.0198255,,,n_409476897,shop=alcohol
"Davenport, CA",,retail,445310,Mission Liquors,,,,36.9609601,-122.0475496,,,n_409834803,shop=alcohol
"Davenport, CA",,retail,445310,Bonesio's,,,,36.9693132,-122.0250549,,,n_410067707,shop=alcohol
"Davenport, CA",,retail,445110,Hernandez Market,,,,36.9685655,-122.0287856,,,n_414150589,shop=supermarket
"Davenport, CA",,retail,453110,Ferrari Florists & Gift,,,,36.9724436,-122.0241351,,,n_415277176,shop=florist
"Davenport, CA",,retail,453991,The Avenue,715 Pacific Avenue,,,36.9689284,-122.0249098,,,n_415277181,"shop=tobacco, amenity=bar"
"Davenport, CA",,retail,445292,Marini's,,,,36.9738235,-122.0258987,,,n_415492304,shop=confectionery
"Davenport, CA",,retail,445292,Pacific Cookie Company,"1203 Pacific Avenue, Santa Cruz, CA, 95060",,,36.9728825,-122.0259667,,,n_415515199,"shop=confectionery, amenity=cafe"
"Davenport, CA",,retail,445310,Santa Cruz Mountain Brewing,,,,36.9589787,-122.0481829,,,n_418107757,shop=alcohol
"Davenport, CA",,retail,445292,Marini's Munchies,,,,36.9586325,-122.0179303,,,n_418204213,shop=confectionery
"Davenport, CA",,retail,445110,Beach Market,,,,36.9653543,-122.0178469,,,n_421256658,shop=supermarket
"Davenport, CA",,retail,445120,Circle Market,,,,36.9591062,-122.0388429,,,n_421256660,shop=convenience
"Davenport, CA",,retail,445310,BevMo!,,,,37.2927516,-121.9928079,,,n_429186718,"shop=alcohol, brand=BevMo!"
"Davenport, CA",,retail,445110,Trader Joe's,"5269 Prospect Road, San Jose, CA, 95129",+1 408-446-5055,https://locations.traderjoes.com/ca/san-jose/62/,37.2930603,-121.9942009,,,n_429187144,"shop=supermarket, brand=Trader Joe's, operator=Trader Joe's"
