Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Del Rio, CA",,retail,445110,Trader Joe's,"6535 Pacific Avenue, Stockton, CA, 95207",+1 209-951-7597,https://locations.traderjoes.com/ca/stockton/76/,38.0091681,-121.3226915,,,n_502635393,"shop=supermarket, brand=Trader Joe's"
"Del Rio, CA",,retail,445110,Podesto's,,,,38.0114821,-121.3216023,,,n_502635397,shop=supermarket
"Del Rio, CA",,retail,445120,Shell,"3103 Atchison Street, Riverbank, CA, 95367",,,37.7382497,-120.9385527,,,n_1183476246,"shop=convenience, brand=Shell"
"Del Rio, CA",,retail,445299,Oakdale Cheese,10040 Highway 120,1-209-848-3139,https://www.oakdalecheese.com/,37.7854523,-120.858988,,,n_1362362946,shop=cheese
"Del Rio, CA",,retail,445120,Indian Bazaar,,,,37.6693399,-121.0322475,,,n_1417375929,shop=convenience
"Del Rio, CA",,retail,445110,Star Market,"2622 Patterson Road, Riverbank, 95367",,,37.7324364,-120.9487271,,,n_1419496725,shop=supermarket
"Del Rio, CA",,retail,445110,Save Mart,,,,37.4653026,-121.142362,,,n_1419609101,"shop=supermarket, brand=Save Mart"
"Del Rio, CA",,retail,445110,Qwik Serve,,,,37.3930048,-121.0721362,,,n_1607884652,shop=supermarket
"Del Rio, CA",,retail,445120,El Mercado,,,,37.5468826,-121.1983931,,,n_1607908494,shop=convenience
"Del Rio, CA",,retail,445110,Raley's,"2550 Tracy Blvd, 95377",,https://www.raleys.com/,37.7122935,-121.4327012,,,n_1729192485,"shop=supermarket, brand=Raley's"
"Del Rio, CA",,retail,445120,Rossetti's Corner,,,,37.8300142,-121.0007411,,,n_1796519456,shop=convenience
"Del Rio, CA",,retail,445120,Airport Grocery,,,,37.4675266,-120.8494645,,,n_1796560777,shop=convenience
"Del Rio, CA",,retail,445120,Chevron,,,,37.689445,-120.958817,,,n_1892847828,"shop=convenience, brand=Chevron"
"Del Rio, CA",,retail,445110,Raley's,,,,37.6884059,-121.0108125,,,n_1894046564,"shop=supermarket, brand=Raley's"
"Del Rio, CA",,retail,445120,Cheaper Cigarettes,,,,37.7977301,-121.1999437,,,n_2142093042,shop=convenience
"Del Rio, CA",,retail,445120,7-Eleven,"853 East Yosemite, Manteca, CA, 95336-5803",+1 209-823-4310,https://www.7-eleven.com/locations/ca/manteca/853-e-yosemite-21756,37.7978106,-121.205254,,,n_2142093043,"shop=convenience, brand=7-Eleven"
"Del Rio, CA",,retail,445310,Yosemite Bottle Shop,"943 Yosemite Avenue, Manteca, CA, 95336",,,37.79787,-121.2040394,,,n_2142093044,shop=alcohol
"Del Rio, CA",,retail,445120,Three Palms Grocery,,,,38.0054202,-121.2182039,,,n_2422016317,shop=convenience
"Del Rio, CA",,retail,445120,Corona Market,,,,37.7645489,-120.8459616,,,n_2511043462,shop=convenience
"Del Rio, CA",,retail,445310,Liquor King,,,,37.5881953,-120.9381062,,,n_2511051152,shop=alcohol
"Del Rio, CA",,retail,445120,Central Market,,,,37.5571831,-120.9573913,,,n_2511053373,shop=convenience
"Del Rio, CA",,retail,452210,Ross,,,,37.7584319,-121.4575681,,,n_2589550241,"shop=department_store, brand=Ross"
"Del Rio, CA",,retail,452319,Dollar Tree,"2250 Patterson Road, Riverbank, 95367",,https://www.dollartree.com/locations/ca/riverbank/2840/,37.7315779,-120.9567065,,,n_2613496981,"shop=variety_store, brand=Dollar Tree"
"Del Rio, CA",,retail,445110,O'Brian's Market,,,,37.7316163,-120.9600001,,,n_2613496982,shop=supermarket
"Del Rio, CA",,retail,452210,Target,"2425 Claribel Road, Riverbank, CA, 95367",+1 209-863-1270,https://www.target.com/sl/riverbank/2096,37.7134624,-120.9531038,,,n_2613496985,"shop=department_store, brand=Target"
"Del Rio, CA",,retail,445110,Save Mart,,,,37.713534,-120.9568004,,,n_2613496986,shop=supermarket
"Del Rio, CA",,retail,452210,Kohl's,"2351 Claribel Road, Riverbank, CA, 95367",+1 209-863-1350,https://www.kohls.com/stores/ca/riverbank-1077.shtml,37.7134181,-120.954346,,,n_2613496988,"shop=department_store, brand=Kohl's"
"Del Rio, CA",,retail,445120,The Grove,,,,37.9804535,-121.311083,,,n_2636064408,shop=convenience
"Del Rio, CA",,retail,445110,Sakura Japanese Groceries & Gifts,"4343 Pacific Avenue, Stockton, 95207",(209) 477 3939,,37.9870345,-121.311504,,,n_2674335031,shop=supermarket
"Del Rio, CA",,retail,452210,Dillard's,,+1 209-477-1230,https://www.dillards.com/stores/california/weberstown-mall-stockton/0960,37.9935109,-121.3114094,,,n_2675775140,"shop=department_store, brand=Dillard's"
"Del Rio, CA",,retail,446120,KJ Nails and Spa,,,,37.987591,-121.311635,,,n_2684512520,shop=beauty
"Del Rio, CA",,retail,452210,Macy's,,,https://www.macys.com/stores/ca/stockton/sherwood-place_338.html,37.9979499,-121.3133727,,,n_2686083700,"shop=department_store, brand=Macy's"
"Del Rio, CA",,retail,446120,Ulta Beauty,"5410 Pacific Avenue, Stockton, CA, 95207",+1 209-235-1209,https://www.ulta.com/stores/stockton-ca-314,38.0000786,-121.3145646,,,n_2690341499,"shop=beauty, brand=Ulta Beauty"
"Del Rio, CA",,retail,452210,Sears,,,,37.995853,-121.3124635,,,n_2690341506,"shop=department_store, brand=Sears"
"Del Rio, CA",,retail,452210,JCPenney,,,,37.9949792,-121.310403,,,n_2697114401,"shop=department_store, brand=JCPenney"
"Del Rio, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/stockton/1263/,37.9869454,-121.3225685,,,n_2711826822,"shop=variety_store, brand=Dollar Tree"
"Del Rio, CA",,retail,446120,USA Nails,,,,37.989284,-121.3223764,,,n_2711826832,shop=beauty
"Del Rio, CA",,retail,445110,New Cambodian Market Asian Grocery,,,,37.9899373,-121.3228924,,,n_2711826834,shop=supermarket
"Del Rio, CA",,retail,445310,Shop N Go Liquor,,,,37.9897239,-121.3229811,,,n_2711826838,shop=alcohol
"Del Rio, CA",,retail,452319,99 Cents Only Stores,,,https://locations.99only.com/ca/stockton/discount-store-264.html,37.9896282,-121.323301,,,n_2711826840,"shop=variety_store, brand=99 Cents Only Stores"
"Del Rio, CA",,retail,446120,Coop Discount Beauty Suppyl,,,,37.9906192,-121.3214595,,,n_2711826854,shop=beauty
"Del Rio, CA",,retail,446120,Sir Gauun's,,,,37.9906424,-121.3213871,,,n_2711826855,shop=beauty
"Del Rio, CA",,retail,446120,Exclusive Beauty Salon,,,,37.987473,-121.3120857,,,n_2711826891,shop=beauty
