Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Descanso, CA",,retail,445110,Vons,"2250 Otay Lakes Road, Chula Vista, CA, 91915",+1 619-656-0406,https://local.vons.com/ca/chula-vista/2250-otay-lakes-rd.html,32.6458007,-116.9664562,,,n_365319447,"shop=supermarket, brand=Vons"
"Descanso, CA",,retail,445110,Wisteria Candy Cottage,"39961 Old Highway 80, 91905",+1 (619) 766-4453,http://wisteriacandycottage.com,32.668419,-116.288345,,,n_365319500,shop=supermarket
"Descanso, CA",,retail,445110,Vons,"8011 University Avenue, La Mesa, CA, 91941",+1 619-464-1011,https://local.vons.com/ca/la-mesa/8011-university-ave.html,32.7653189,-117.0242861,,,n_365319534,"shop=supermarket, brand=Vons"
"Descanso, CA",,retail,445110,Albertsons,"2899 Jamacha Road, El Cajon, CA, 92019",+1 619-660-9717,https://local.albertsons.com/ca/el-cajon/2899-jamacha-rd.html,32.7393034,-116.937744,,,n_365319579,"shop=supermarket, brand=Albertsons"
"Descanso, CA",,retail,445110,Albertsons,"1608 Broadway, El Cajon, CA, 92021",+1 619-579-3127,https://local.albertsons.com/ca/el-cajon/1608-broadway-st.html,32.8089693,-116.920103,,,n_365319612,"shop=supermarket, brand=Albertsons"
"Descanso, CA",,retail,445110,Albertsons,"543 Sweetwater Road, Spring Valley, CA, 91977",+1-619-461-5700,https://local.albertsons.com/ca/spring-valley/543-sweetwater-rd.html,32.708019,-117.008632,,,n_365319644,"shop=supermarket, brand=Albertsons"
"Descanso, CA",,retail,445110,Food 4 Less,,,,32.8480954,-116.985351,,,n_365319679,"shop=supermarket, brand=Food 4 Less"
"Descanso, CA",,retail,445110,Albertsons,,,,32.796004,-116.96407,,,n_365319696,"shop=supermarket, brand=Albertsons"
"Descanso, CA",,retail,445110,Alpine Ranch Market,,,,32.8350132,-116.7544712,,,n_365319724,shop=supermarket
"Descanso, CA",,retail,445110,Dons Market,"30250 Highway 78, 92070",+1-760-765-3272,https://www.donsmarketsantaysabel.com/,33.1093752,-116.6749675,,,n_365319834,shop=supermarket
"Descanso, CA",,retail,445110,Salsa Market,,,,32.781016,-116.967177,,,n_365319933,shop=supermarket
"Descanso, CA",,retail,445110,Smart & Final Extra!,,,,32.8564347,-116.9721883,,,n_365319948,"shop=supermarket, brand=Smart & Final"
"Descanso, CA",,retail,445110,Albertsons,"1459 Main Street, Ramona, CA, 92065",+1 760-789-0023,https://local.albertsons.com/ca/ramona/1459-main-st.html,33.0394304,-116.8771513,,,n_365319952,"shop=supermarket, brand=Albertsons"
"Descanso, CA",,retail,445120,7-Eleven,"8625 Los Coches Road, Lakeside, CA, 92040",,https://www.7-eleven.com/locations/ca/lakeside/8625-los-coches-rd-13662,32.8334344,-116.9057243,,,n_365327846,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"375 West Madison Avenue, El Cajon, CA, 92020-3718",+1 619-440-7414,https://www.7-eleven.com/locations/ca/el-cajon/375-west-madison-ave-13658,32.800463,-116.966267,,,n_365327879,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/ca/la-mesa/4610-avocado-blvd-13664,32.763124,-116.961534,,,n_365327894,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,,,,32.729575,-116.961413,,,n_365327898,shop=convenience
"Descanso, CA",,retail,445120,7-Eleven,"10205 Lake Jennings Park Road, Lakeside, CA, 92040",,https://www.7-eleven.com/locations/ca/lakeside/10205-lake-jennings-pk-rd-22481,32.8609781,-116.9004943,,,n_365327911,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"1253 West Main Street, El Cajon, CA, 92020-4109",+1 619-444-8479,https://www.7-eleven.com/locations/ca/el-cajon/1253-w-main-st-21787,32.794693,-116.97922,,,n_365327953,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"394 West Chase Avenue, El Cajon, CA, 92020-6307",+1 619-442-3513,https://www.7-eleven.com/locations/ca/el-cajon/394-west-chase-ave-16070,32.780746,-116.966295,,,n_365327992,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"9805 Prospect Avenue, Santee, CA, 92071-4329",+1 619-449-5376,https://www.7-eleven.com/locations/ca/santee/9805-prospect-ave-20611,32.8311612,-116.9831611,,,n_365328011,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/ca/santee/9750-cuyamaca-st-20321,32.8548504,-116.9838746,,,n_365328173,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"108 West Washington Avenue, El Cajon, CA, 92020-5170",+1 619-447-1207,https://www.7-eleven.com/locations/ca/el-cajon/108-w-washington-ave-21834,32.787997,-116.962675,,,n_365328228,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"10133 Maine Street, Lakeside, CA, 92040-3111",+1 619-561-3171,https://www.7-eleven.com/locations/ca/lakeside/10133-maine-st-20245,32.8626651,-116.9217728,,,n_365328231,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"7602 University Avenue, La Mesa, CA, 91942",+1 619-375-8700,https://www.7-eleven.com/locations/ca/la-mesa/7602-university-ave-17945,32.7608951,-117.0330437,,,n_365328241,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"735 East Bradley Avenue, El Cajon, CA, 92021-3111",+1 619-448-8273,https://www.7-eleven.com/locations/ca/el-cajon/735-e-bradley-avenue-13646,32.818698,-116.951286,,,n_365328373,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"2441 Jamacha Road, El Cajon, CA, 92019",+1 619-588-2107,https://www.7-eleven.com/locations/ca/el-cajon/2441-jamacha-rd-108-29518,32.7452344,-116.9277811,,,n_365328377,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"8300 Parkway Drive, La Mesa, CA, 91942",+1 619-461-2855,https://www.7-eleven.com/locations/ca/la-mesa/8300-parkway-dr-13647,32.7787701,-117.0181446,,,n_365328398,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/ca/el-cajon/1522-graves-ave-17637,32.819525,-116.959515,,,n_365328402,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"10195 Riverford Road, Lakeside, 92040",,https://www.7-eleven.com/locations/ca/lakeside/10195-riverford-rd-26651,32.861088,-116.946802,,,n_365328422,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,,,,32.70765,-116.997831,,,n_365328562,shop=convenience
"Descanso, CA",,retail,445120,7-Eleven,"5640 Baltimore Drive, La Mesa, CA, 91942-1618",+1 619-461-5202,https://www.7-eleven.com/locations/ca/la-mesa/5650-baltimore-dr-21453,32.782378,-117.033674,,,n_365328677,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"2270 Fletcher Parkway, El Cajon, CA, 92020-2135",+1 619-466-7577,https://www.7-eleven.com/locations/ca/el-cajon/2270-fletcher-pkwy-13655,32.8032953,-116.9952748,,,n_365328715,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"5255 BALTIMORE, La Mesa, CA, 91942-2081",+1 619-462-6240,https://www.7-eleven.com/locations/ca/la-mesa/5255-baltimore-16119,32.7747166,-117.0265696,,,n_365328722,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"1076 Main Street, Ramona, 92065",,https://www.7-eleven.com/locations/ca/ramona/1076-main-st-20211,33.0408851,-116.8697258,,,n_365328743,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"12634 Campo Road, Spring Valley, 91978",,,32.726805,-116.917985,,,n_365328803,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"2840 Bancroft Drive, Spring Valley, CA, 91977-3315",+1 619-460-7263,https://www.7-eleven.com/locations/ca/spring-valley/2840-bancroft-dr-13571,32.7363179,-117.006782,,,n_365328923,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"7607 BROADWAY, Lemon Grove, CA, 91945-1607",+1 619-469-8667,https://www.7-eleven.com/locations/ca/lemon-grove/7607-broadway-24013,32.7423195,-117.034019,,,n_365328948,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,7-Eleven,"9111 Mission Gorge Road, Santee, 92071",,https://www.7-eleven.com/locations/ca/santee/9111-mission-gorge-rd-19006,32.8382026,-117.0003667,,,n_365328962,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445120,Chevron,,,,32.8416212,-116.78043,,,n_454079483,"shop=convenience, amenity=fuel, brand=Chevron"
"Descanso, CA",,retail,452319,99 Cents Only Stores,,,https://locations.99only.com/ca/elcajon/discount-store-293.html,32.8032021,-116.9961045,,,n_493839440,"shop=variety_store, brand=99 Cents Only Stores"
"Descanso, CA",,retail,445120,Mr. D's,,,,32.7650657,-117.0191607,,,n_566468186,shop=convenience
"Descanso, CA",,retail,452210,Walmart,"170 Town Center Parkway, Santee, CA, 92071",+1 619-449-7900,https://www.walmart.com/store/1917-santee-ca,32.8423055,-116.990308,,,n_596016608,"shop=department_store, brand=Walmart, operator=Walmart"
"Descanso, CA",,retail,452210,Marshalls,"855 Jackman Street, El Cajon, 92020",,,32.8065215,-116.9722618,,,n_596039463,"shop=department_store, brand=Marshalls"
"Descanso, CA",,retail,445120,76,"9822 Prospect Avenue, Santee, 92071",,,32.83171,-116.983094,,,n_596071778,"shop=convenience, brand=76"
"Descanso, CA",,retail,446191,Ramona Family Naturals Market,"325 6th Street, Ramona, 92065",,https://ramonafamilynaturals.com/,33.0447417,-116.8620691,,,n_596124644,"shop=health_food, operator=Robert Bradley"
"Descanso, CA",,retail,445120,7-Eleven,"10049 Campo Road, Spring Valley, CA, 91977",+1 619-670-7100,https://www.7-eleven.com/locations/ca/spring-valley/10049-campo-rd-13575,32.7471679,-116.9783958,,,n_596125839,"shop=convenience, brand=7-Eleven"
"Descanso, CA",,retail,445110,Smart & Final Extra!,"1090 North Marshall Avenue, El Cajon, CA, 92020",+16195624151,https://www.smartandfinal.com/stores/7985,32.8081859,-116.974953,,,n_596161862,"shop=supermarket, brand=Smart & Final"
"Descanso, CA",,retail,445310,Mr. Liquor,"10227 Mast Boulevard, Santee, CA, 92071",,,32.8548047,-116.9746005,,,n_596174521,shop=alcohol
"Descanso, CA",,retail,453991,Sam's Smoke Shop,"9534 Winter Gardens Boulevard, Lakeside, CA, 92040",+16193905676,,32.8509468,-116.9323285,,,n_596187271,shop=tobacco
"Descanso, CA",,retail,445120,ARCO,"135 West Bradley Avenue, El Cajon, CA, 92020",,,32.8185081,-116.9629678,,,n_596252602,shop=convenience
